Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linehanson,linepig,linenutshell,lineexcel,linemore,linedunk,linepyth,lineelo,lineeff,linesaggm,linel2,linel1,linel2h,linefox,lineca,linebihl,lineesp2,linesagr,linesagp,linepi,linemidweek,lineopen,linecurry,linejohns,linemass,linecoff,linetalis,lineesp,lineturner,linedonchess,linepim,linelog,linepugh,lineteamrank,linemed,linekerns,linejens,lineash,lineffw,lineburd,linecrunch,linedok,linepib,linecovers,lineround,lineclean,linewhatif,lineespn,linerwp,linedwig,linegametime,lineexcel2,linelinx,lineturner2,linestjohn,lineppg,linel2to,lineherbert,linefeng,lineiron,linekalin,linestd,rscore,hscore,week
Tennessee,Indianapolis,6.5,5.92,0.51,6,,7.05,-0.76,8,11,5,5.96,3.58,6.86,13.19,6.3,6.18,7,7,7,3,6.5,,3.7,3.7,6.43,7,8,7,8.02,13.96,4.98,5.84,2.63,3.7,7.41,10.46,6.7,13.58,19.76,8.5,6.48,9.5,-15.1,5,-1,12.1,4.1,9.01,6.9,4,15,3,5.6,13.53,17.7,19.2,10.5,7,7.49,,12.9,4.6,14.49,5.11,13.9,1.41,6.52,5.5740082055,22,36,6
Washington,San Francisco,10,12.18,9.84,12,,11.34,5.68,10,8,8,12.72,17.17,9.17,19.31,6.6,12.76,7,7,7,10,10,,10,13.71,11.42,11.2,10,10.5,17,17.46,11.87,14.7,4.36,10.5,14.24,10.15,11.1,7,20.3,9,11.15,19.8,-16.3,8,7,15.3,12.9,8.5,11.6,9,21,5.5,9.6,16.33,19.53,19.45,8,9,14.02,,10.96,6.95,15.58,2.26,13.2,6.93,8.54,5.7119356576,24,26,6
Buffalo,Tampa Bay,3,1.55,7.4,5,,5.05,3.21,4,-2,4,7.72,9.99,7.37,11.97,4.87,1.17,3.64,9.34,-12.22,4,3,10.01,4,7.6,-0.01,3.9,3,3,6.95,8.16,4.02,7.82,3.1,5.1,6.98,4.94,4.5,2.39,8.44,2.4,4.02,3.5,9,5,3,12,0.2,0.9,4.4,4.5,11,2,3.3,3.91,10.04,11.5,1.5,7,2.29,,3.57,-3.8,1.82,3.05,4,2.69,1.58,3.510372048,27,30,7
Chicago,Carolina,-3.5,-4.46,-2.5,-5,,-4.45,0.26,-1,1,-14,-5.71,-6.93,-4.86,-5.87,-1.09,-5.08,-9.58,-5.02,-9.17,-5,-3.5,-8.75,-4.2,-0.76,-5.52,-3.3,-3.5,-4,-6.73,-6.44,-6.19,-3.68,-7.54,-4.9,-2.29,-4.16,-2.6,-7.56,-8.36,-3.5,-4.46,-5.2,-7,-3,-4,-4.6,3.6,-3.77,-3.9,-3.5,-7,0.5,-7.8,-6.96,-8.31,-7.8,-4,1,-2.83,,-4.19,-1.83,-1.7,-2.17,-3.5,-0.83,-3.71,2.9520401431,3,17,7
Cleveland,Tennessee,-6,-6.15,-8.12,-7,,-5.62,1.57,-6,-10,-5,-5.28,-3.07,-4.13,-7.14,-1.71,-7.2,-9.87,-6.21,-15.5,-3,-6,-7.24,-5.5,-5.8,-5.51,-4.3,-6,-5,-7.41,-7.74,-8.22,-6.79,3.62,-5.6,-12.68,-6.06,-3.9,-7,-7.89,-4.6,-5.6,-3.4,-10.3,0.01,-3,-5.3,-0.7,-4.65,-3.8,-6.5,-9,-2.5,-8.3,-4.61,-13.53,-10.6,-5,-3,-12.34,,-5.18,-6.67,-0.26,-7.91,-6,-0.49,-4.86,3.3710329836,12,9,7
Green Bay,New Orleans,-4,2.36,-1.1,2,,-0.88,-2.33,4,6,-11,-0.65,-1.96,0.19,-6.8,1.1,3.35,-7.29,-16.5,-8.2,2,-3.5,-4.86,-4.5,-1.81,3.01,2.3,-4.5,-5.5,-2.1,-4.14,0.33,0.52,2.92,-3.5,3.65,-4.07,3.6,-3.4,-5.38,5.3,-0.65,-2.6,-3,2,6,-4.9,-6.3,-2.76,1.7,-2.5,-1,-0.5,3.7,-0.1,-1.81,-1.3,5,-6,4.59,,-4.17,-2.5,2.29,-2.68,2.4,3.86,0.12,4.2181339776,26,17,7
Indianapolis,Jacksonville,-3.5,-3.21,-10.71,-7,,-6.85,-0.93,-2,3,-1,-3.12,-11.5,-13.24,-13.09,-6.88,-1.6,-7,-13.31,-7,-3,-3.5,-18.16,-4.1,-6.65,-3.57,-2.2,-3.5,-3,-4.41,-13.84,-5.28,-7.04,-11.92,-5.2,-0.75,-4.26,-2,-7,-22.33,-5.1,-5.52,-14.6,-9.7,-6,2,-13.1,-3.7,-5.52,-2.7,1,-22,0.5,-6.5,-10.06,-13.05,-19.05,-3,-11,-0.07,,-8.31,-4.17,-12.87,-7.16,-7,4.69,-3.41,6.047407548,27,0,7
LA Chargers,Denver,0,0.11,1.2,-1,,0.31,-2.74,2,0.5,-7,-0.02,2.24,-1.81,4.87,0.65,-0.48,-0.54,-0.66,7,1,0,3.53,0.6,3.63,-0.54,-0.4,0,-1,4.25,1.36,-1.57,0.92,-6.85,-0.4,-0.74,0.43,-0.4,-1.02,1.32,0.7,0.43,0.8,5.5,-2,-1,4.6,3.9,-0.97,-0.5,-0.5,4,1.5,-7.1,3.21,-0.14,4.85,-2,-1,0.73,,1.03,-0.27,-5.94,-0.79,2.7,1.66,0.72,2.7824430018,0,21,7
LA Rams,Arizona,3,0.95,7.01,6,,4.33,0.76,3,-6,-16,0.76,8.24,11.07,10.12,6.66,-0.54,15.09,14.41,14,-1,3,10.3,3.6,5.06,0.86,-1.7,3,3,0.26,8,1.37,5.24,-0.6,3.7,2.81,2.3,-2.1,7,13.43,1.7,2.5,8.5,11.1,2,-2,11.4,8.7,2.19,-1.2,2.5,17,-2.5,1.5,1.03,9.03,25.1,0.5,-3,-1.14,,6.04,13.33,13.32,4.56,2.4,-3.3,1.63,6.6269419403,0,33,7
Miami,N.Y. Jets,3.5,6.15,3.49,2,,4.16,0.65,6,10.5,11,5,2.66,0.24,3.23,2.07,7.98,1.41,4.91,7,7,3.5,4.99,3,2.64,7.84,6.7,3.5,3.5,7.05,1.86,3.46,4.91,0.98,3,5.09,5.83,7,3.85,2.57,6.6,4,5.6,7.1,3,3,2.1,1.9,6.95,6.1,3.5,4,0.5,-3.6,8.64,2.13,5.2,4,9,7.31,,1.56,-3.97,1.76,0.43,5.2,4.48,4.16,2.881078977,28,31,7
Minnesota,Baltimore,5.5,5.75,10.2,6,,6.48,4.6,7,2,8,8.45,10.06,8.3,6.06,5.44,5.16,7.63,7.63,7,7,5.5,11.43,5.5,8.99,5.33,2.7,5.5,4.5,9.56,7.36,6.02,8.5,1.04,5.6,5.84,5.43,2.5,12.23,10.82,5.4,6.02,15,9.6,3,4,10.8,7.5,2.67,2.6,7.5,13,4.5,-1,9.05,9.93,8.55,4,8,8.8,,4.99,3.33,1.99,6.11,5,2.7,2.03,3.2033510052,16,24,7
N.Y. Giants,Seattle,-4.5,-1.33,-0.54,-3,,-1.26,-0.37,-1,5.5,7,-0.64,-4.57,-6.53,0.37,-1.55,-1.64,-2.33,0.5,5.47,-1,-3.5,-0.28,-4.9,-1.25,-1.11,1.9,-5.5,-7,-1.86,-0.54,-1.09,-3.61,-6.47,-4.3,-4.29,-0.87,1.6,-2.24,-0.72,-1.7,-1,-0.4,-2.4,-2,-3,0.01,1.5,-2.12,2.1,-5,-1,1.5,-11.3,-1.09,-4.21,-0.35,-1,5,0.38,,-3.17,-2.5,1.63,-3.64,-0.1,0.86,-0.32,2.8340505637,24,7,7
New England,Atlanta,3,6.31,5.52,6,,4.43,-0.19,6,7,2,5.82,6.53,2.46,6.17,2.8,6.82,4.9,-3.8,-3.86,5,3,11.12,3.6,5.85,6.73,3.9,3,4.5,9.13,5.06,3.23,5.48,5.36,3.8,4.76,5.23,4.6,6.32,6.77,7.8,5.06,3.1,8.9,3,4,7.2,-0.4,4.77,3.6,6,7,-2.5,-6.6,6.69,8.01,6.2,3.5,1,5.89,,3.74,6.47,-5.21,4.22,6,4.35,4.3,3.2564459104,7,23,7
Oakland,Kansas City,-3,-3.08,-8.98,-8,,-6.79,-1.97,-3,-11,-8,-8.25,-17.85,-3.56,-11.24,-0.51,-2.85,-11.41,-16.7,-7,-6,-3,-9.91,-5.9,-8.82,-1.75,-1.6,-3,-3,-10.58,-11.44,-8.6,-9.8,-10.54,-8.9,-5.13,-2.47,-1.2,-15.49,-10.89,-1.7,-6,-15.9,-9.6,-4,-6,-11.1,0.4,-2.95,-2.4,-4,-13,-3,-4.7,-2.6,-10.55,-8.25,-4,-6,-5.2,,-4.59,-6.83,0.18,-2.86,-3.5,0.46,-3.4,4.6252938657,30,31,7
Philadelphia,Washington,5.5,5.38,8.34,7,,6.77,4.64,8,14.5,11,11.27,10.83,8.36,7.32,6.21,5.33,5.88,4.02,7,10,5.5,10.35,4.9,4.91,5.66,6.7,5,5,13.32,5.96,4.95,7.22,5.97,5.4,7.21,5.63,5.9,8.98,7.65,7.1,6.1,8.8,10.3,5,4,10,2,4.75,7.4,6,7,1,1,7.3,10.15,7.6,4.5,8,8.98,,4.54,6.1,1.52,4.33,5.8,2.78,5.6,2.8546529743,24,34,7
Pittsburgh,Cincinnati,5.5,6.83,8.76,5,,5.8,0.63,7,9.5,3,6.28,4.38,5.79,6.97,4.19,7.67,5.37,1.24,8.97,3,5.5,9.94,4.5,5.97,6.44,7.2,5.5,6,9.14,7.56,4.73,6.71,4.25,3.4,7.93,6.63,7,10.3,6.27,7,6.15,6.9,11.6,4,3,3.8,4.2,4.65,7,5.5,9,4,7.9,7.46,12.05,6.15,8.5,-2,8.14,,4.04,4.87,-2.15,7.08,9.1,3.56,7.05,2.5789568451,14,29,7
San Francisco,Dallas,-6,-7.95,-4.23,-6,,-5.43,-1.03,-4,-13,-20,-6.71,-7.24,-1.09,0.1,0.6,-8.92,-3.68,-5.56,16.1,-5,-6,-0.02,-5.5,-5.28,-8.34,-6.5,-6,-6,-10.39,-3.34,-7.06,-3.64,0.4,-5,-7.39,-4.77,-6.4,-7,-2.83,-4.3,-5,-4.5,-1.2,-4,-6,-0.1,-4.6,-7.11,-6.2,-3,-3,1,-9.6,-8.12,-13.44,-2.55,-2,-15,-9.07,,-3.88,-4.17,-9.44,-7.38,-2.4,-2.95,-4.19,3.8026083965,40,10,7
Baltimore,Miami,3,2.25,1.13,-0.25,,3.03,-3.24,3,9.5,9,2.79,-0.68,4.22,2.16,3.62,1.92,4.3,7,-13.07,5,3,1.28,1.9,-1.68,4.01,5.5,3,3,-0.63,3.85,2.67,-0.62,6.49,0.7,0.57,2.74,6.1,-4.58,3.37,5.7,3,-0.5,4.4,4,3,5.8,2.3,1.83,5.7,1,4,2.5,4.3,6.12,4.66,1.8,7,6,-2.41,,2.28,5.24,2.65,-1.69,3.6,3.63,3.67,2.639861954,0,40,8
Buffalo,Oakland,2.5,2.59,8.21,4,,4.51,1.36,4,6.5,1,7.07,13.07,6.19,5.64,4.9,0.27,2.08,10,-1.23,6,2.5,6.16,3.6,8.64,2.7,3.3,2.5,3,5.52,3.35,4.41,6.79,5.36,4.7,8.27,3.04,3,6.33,3.46,1,4.41,5.6,6.8,2,5,8.7,4.5,1.04,4.2,5,5,3,3.9,1.13,7.19,5.15,4,4,5.24,,2.66,-0.31,-4.62,-0.38,0.1,2.46,2.77,3.0551192667,14,34,8
Cincinnati,Indianapolis,10.5,8.65,6.59,8,,10.14,1.15,9,11.5,5,12.08,16.38,10.38,14.1,8.76,7.26,16.65,7,14.74,13,10.5,15.98,10,8.94,10.89,11.4,11,10,16.89,10.35,9.14,9.4,9.77,10,4.79,9.54,11.4,7,17.82,10.8,10,11.2,12.8,10,6,20.4,10.4,11.81,12,8.5,16,2,-1,14.33,17.98,16.6,9.5,5,5.64,,10.45,1.33,7,8.53,10.5,3.48,8.77,4.497603099,23,24,8
Cleveland,Minnesota,-10.5,-14.34,-15,-13,,-11.9,-0.55,-11,-13,-10,-13.75,-17.53,-12.13,-14.34,-6.54,-15.21,-7,-7,-15.94,-13,-10.5,-17.57,-10.9,-16.8,-13.35,-9.2,-9.5,-7.5,-13.85,-15.7,-15.5,-16.38,-5.73,-12.2,-18.01,-13,-9,-7,-17.45,-10.3,-12.3,-17.3,-13.3,-7,-6,-12.3,-1.8,-6.71,-9.2,-10,-19,0.01,-7.9,-12.15,-16.63,-32.4,-8,-8,-18.23,,-10.79,-13.29,-6.64,-8.35,-9.8,-1.82,-9.1,5.4609888471,33,16,8
Detroit,Pittsburgh,-3,-0.84,2.97,-1,,-1.72,-4.51,0.01,-9,-6,-0.72,-3.49,0.1,-1.95,1.49,-2.29,-3.05,-11,-8.99,1,-3,-0.47,-2.6,-1.17,0.42,-0.4,-2.5,-3,-6.73,-2.75,-0.99,-0.88,-0.81,-2.1,-0.64,-1.57,1.4,-1.38,-1.59,-1.7,-1,-1.2,-0.8,-1,-1,-3.8,-8,0.23,-1.5,0.01,-2,2.5,-4.2,-0.39,-2.99,1.65,0.01,-4,1.12,,-2.42,7.83,-9.79,-1.86,-3.4,-0.19,-1.01,3.120951549,20,15,8
Kansas City,Denver,7,9.45,8.24,9,,9.76,-0.96,8,13.5,7,11.13,15.15,9.28,14.2,7.01,8.48,14.16,7,7,11,7,17.31,7.4,11.22,10.19,7.7,7,7,13.13,14.15,11.23,11.21,4.89,7.2,7.05,9.24,8.3,11,15.02,8.7,9.24,13.1,15.3,5,4,15.3,5.5,7.31,7.8,8,18,4,8,10.09,15.82,12.55,6.5,9,8.75,,9.87,13.57,2.53,6.17,11,3.86,8.37,3.9521738224,19,29,8
N.Y. Jets,Atlanta,-6.5,-4.68,1.01,-1,,-2.92,-0.73,-1,-16,-5,-2.95,-2.23,0.57,0.98,1.65,-8.48,-3.42,-1.04,7,-9,-5.5,0.45,-2.7,0.88,-4.37,-6.4,-5,-4.5,-3.31,-2.25,-4.93,1.07,-1.28,-1,1.8,-4.77,-6.9,-1.91,-0.88,-4.6,-2.23,-6.4,0.1,-2,-3,-0.5,-1.9,-6.37,-6.1,-1.5,-1,-1.5,-3.9,-7.4,-0.94,1.5,-5.5,-10,-1.01,,-2.08,0.24,-4,-6.13,-3.4,-3.56,-3.26,3.2164559376,25,20,8
New England,LA Chargers,7,9.1,7.02,8,,8.52,-0.22,8,19,9,11.11,11.97,5.16,6.54,4.39,12.27,6.4,11,-0.62,12,7,10.13,6.4,7.55,7.76,6.7,7,7.5,15.16,7.35,10.2,9.21,11.14,5.3,8.86,9.53,7.5,9.81,7.28,10.4,8.63,7.1,10.7,6,12,7.5,0.4,8.63,6.5,10,11,3,5.9,9.73,12.16,6.9,10,10,10.89,,5.53,10.29,3.79,7.99,9.2,7.95,7.76,3.237617405,13,21,8
New Orleans,Chicago,9.5,9.99,12.12,9,,10.79,2.92,8,12,17,14.14,15.7,11.56,10.77,8.18,10,13.48,10.61,7,13,9.5,15.61,8.1,7.61,11.31,11.6,9,9,16.87,9.65,10.26,10.19,12.83,7.2,7.41,9.53,10.9,8.3,13.77,9.5,10.61,12.1,14.9,8,9,13.2,3.6,9.57,12.2,9,15,9,11.6,13.84,12.28,11.15,9.5,16,8.27,,10.08,13.07,3.55,5.2,8.2,6.36,8.33,3.1325040759,12,20,8
Philadelphia,San Francisco,12,17.69,18.79,18,,16.52,7.61,15,18,19,21.98,27.79,15.79,18.86,11.27,18.8,7,7,15.71,18,12.5,23.8,14,20.13,16.71,16.9,12,13,27.26,16.25,15.95,20.82,10.52,15.1,20.59,14.43,15.9,7,21.96,13.7,16.25,23.6,18.9,11,11,23.2,13.3,12.71,17.9,11,25,6,11.9,18.35,19.63,22.1,9.5,15,20.9,,16.08,12.86,14.7,4.29,13.3,7.01,12.17,5.3472243528,10,33,8
Seattle,Houston,6.5,4.45,5.51,4,,3.94,2.64,8,-1.5,13,4.41,1.81,5.85,4.1,5.27,5.64,-0.75,-0.32,3.72,6,6.5,2.05,5.3,3.89,3.55,6.3,5.5,6,6.71,-0.85,3.83,3.72,7.05,5,5.46,5.74,5.9,1.07,0.05,6,4.43,-0.7,9.1,5,7,6.6,0.6,2.63,6.5,6,-1,-2,4.9,7.41,2.19,2.65,4,13,4.43,,1.6,-5.17,-5.32,6.24,5.5,5.36,6.63,3.3659248936,38,41,8
Tampa Bay,Carolina,1.5,1.21,-1.67,-1,,0.47,-1.58,3,5.5,3,0.85,-2.49,3.35,-1.31,3.22,0.7,1.88,-5,16.4,4,1.5,-1.45,0.6,0.52,1.73,2.7,2,1,0.08,-1.95,0.45,-1.64,-1.13,-0.7,-1.73,0.43,2.6,-2.6,-0.03,2,0.45,-1.7,0.9,0.01,-1,4,3.6,-0.37,2.5,1,-3,0.5,-6.3,4.48,-4.04,-3.15,2,6,0.01,,0.38,7.45,-3.71,3.34,0.7,2.22,2.16,2.632640544,17,3,8
Washington,Dallas,-2.5,0.94,2.18,4,,1.3,0.36,-1,-9.5,-4,-0.94,2.01,-0.6,5.01,0.57,0.96,3.2,8.11,0.72,-3,-1.5,7.59,-1.8,5.23,-0.52,-1.1,-2,-2.5,-0.51,3.45,-0.44,4.64,-0.34,-1,5.99,-0.06,-0.8,12.44,4.11,-0.7,0.57,6,7.5,0.01,-4,-1.9,0.4,0.28,-0.9,0.01,7,3.5,1.1,-0.54,5.14,7.25,3,-3,2.85,,2.77,-2,1.5,-3.3,3.6,1.33,-0.87,3.3638498932,33,19,8
Carolina,Atlanta,-2.5,2.54,3.66,3,,2.22,1.73,3,1.5,-7,3.98,3.82,3.61,4.16,3.22,1.61,3.27,7.33,-13.42,0.01,-1,5.59,2.6,1.55,3.56,1.2,1,1.5,3.76,2.75,0.85,4.31,1.86,3.3,4.36,0.1,0.6,3.24,5.03,3.2,2.58,3.3,5.7,3,-1,5,-0.5,-0.14,1.8,2,7,-3,1,2.56,6.69,3.85,,-7,2.12,,2.39,-1.36,3.09,-2.07,1.7,-0.7,1.5,2.4488050133,17,20,9
Dallas,Kansas City,2.5,-0.69,-3.26,-5,,-0.61,7.79,4,3,-9,1.28,-0.52,1.97,-0.12,1.89,-1.54,-5.51,-6,-11.92,3,2,-3.93,1.3,1.19,-0.83,3.2,0,1,5.71,-6.05,-2.75,-3.23,-3.29,2.6,-0.44,-0.7,2.3,-8.25,-3.76,0.9,-0.52,-4.8,-1.2,0.01,-3,8.2,4.4,-0.33,2.9,0.01,-7,3,-5.4,2.96,-5.34,-2.9,,-5,0.73,,-1.38,0.79,-1.84,2.64,-2.1,2.06,1.88,3.6435779211,17,28,9
Green Bay,Detroit,-2,4.32,4.71,5,,2.52,-1.22,5,4.5,-6,4.05,3.71,2.61,0.83,2.72,6.41,2.23,2.58,5.05,5,-1,4.46,-1.2,2.48,3.4,1.8,-2.5,-2,4.09,0.55,2.37,5.12,5.14,0.1,3.83,0.01,1.7,3.85,3.35,5.8,3,1.5,5.8,4,8,2.1,0.5,-0.75,1.6,-1,5,3,-4.4,5.19,3.42,3.9,2,-5,5.06,,-0.09,0.29,3.55,-5.21,4.7,5.2,0.53,2.576629928,30,17,9
Houston,Indianapolis,6.5,12.59,8.15,14,,13.19,6.38,13,13,13,15.74,23.81,13.73,14.68,12.21,10.19,7,16.22,7,14,7.5,20.28,11.9,12.96,15.28,13.1,12,13,18.48,13.65,9.88,14.22,14.51,11.3,6.85,11.6,12.9,7,21.77,12.6,13,21.1,14.2,10,6,19.5,15.6,11.17,13.4,9,24,7,5.3,17.26,18.8,21.1,,6,7.84,,15.42,14.96,7,5.02,12.4,1.49,10,4.9767319676,20,14,9
Jacksonville,Cincinnati,6.5,6.27,9.73,6,,7.32,6.11,6,14,-6,7.16,8.37,12.69,10.8,8.97,3.18,13.49,7,-11.57,6,6.5,15.23,4.8,6.15,9.48,4.4,5.5,3.5,3.26,9.25,5.83,7.77,12.94,5.1,6.97,5.8,4.1,5.43,15.44,6.4,6.29,14.1,11.9,5,-1,13.5,10.2,4.04,4.4,3,17,6,5.6,10.58,12.76,13.1,,-5,4.67,,6.76,10.71,0.72,8.25,6.3,-0.18,5.41,4.4699768904,7,23,9
Miami,Oakland,-3,-1.16,1.13,1,,0.1,1,0.01,2.5,-3,1.19,4.79,-2.79,1.53,-0.53,-0.69,-4.94,5.86,5.13,-1,-2.5,1.1,-0.7,1.89,-3.19,-1.4,-3,-2.5,3.51,-0.65,0.86,4.38,-0.45,1.7,6.88,0.4,-2,5.81,-4.53,-2,-0.43,-0.4,3.9,-1,1,-2.7,-2.8,-1.56,-1.2,3,-2,2.5,-1,-1.16,2.07,-1.25,,-2,6.05,,-3.22,-5.98,-5.93,-5.97,-0.8,1.85,0.01,2.8816574566,27,24,9
N.Y. Giants,LA Rams,-5,-1.8,-7.61,-6,,-4.17,-3.59,1,3,-5,-2.21,-8.71,-9.43,-5.69,-4.84,1.63,-7.86,-7,-10.41,0.01,-5,-8.13,-4.6,-5.13,-4.01,4,-3.5,-4,-2.81,-6.95,-2.3,-7.39,-8.31,-5.8,-6.49,-0.7,4.5,-4.59,-9.71,0.4,-4.77,-8,-4.7,-2,1,-8.1,-9.1,-2.22,3.2,-4,-11,0.5,-8.9,4.15,-9.71,-6.95,,-13,0.87,,-4.64,-12.29,-8.46,-7.31,1.2,6.8,0.77,4.5677174047,51,17,9
N.Y. Jets,Buffalo,-3,-5.43,-2.54,-4,,-3.94,-0.47,-3,-6,2,-6.94,-8.51,-4.76,-4.68,-1.68,-6.64,-8.01,-6.34,7,-8,-3,-3.88,-4.3,-4.53,-5.65,-5.9,-3.5,-3.5,-5.14,-5.55,-4.14,-3.44,-4.51,-5.6,-1.45,-4,-6.5,-3.92,-6.35,-3.4,-4.17,-6.2,-4.5,-2,-1,-8.6,-1,-2,-6.1,-2,-6,2.5,-3.9,-4.2,-5.7,-2.95,,1,0.12,,-3.32,-0.23,-1.06,-2.39,-2.4,0.23,-2.94,2.591072435,21,34,9
New Orleans,Tampa Bay,6.5,9.24,11.2,11,,10.43,5.59,10,15,2,14.74,19.39,9.88,15.24,7.62,7.24,11.2,7,13.11,10,7,15.44,9.8,15.71,9.41,8.9,6.5,7,19.24,11.95,9.28,12.97,11.18,12.6,8.7,9.1,8.5,10.52,13.61,6.6,9.35,15.2,15.2,7,3,18.6,7.3,6.62,9.6,7.5,16,7.5,8.8,6.43,15.49,16.35,,4,7.68,,7.91,8.14,6.02,6.36,7.2,3.31,8.07,4.2096855053,10,30,9
Philadelphia,Denver,7,9.09,11.38,7,,10,3.06,10,11,18,14.25,21.45,12.01,12.59,9.04,7.29,10.25,13.65,7,11,7.5,13.54,9.7,14.4,9.21,8.3,7.5,7.5,17.15,9.75,9.26,12.36,3.92,11.8,8.82,6.9,7.2,13.18,12.06,6.8,9.6,7.4,14,4,6,17,3.5,4.98,9.5,9.5,13,4.5,2.4,7.44,14.95,12.25,,14,10.65,,7.36,12.86,0.47,6.78,8.1,2.11,8.03,4.5049439882,23,51,9
San Francisco,Arizona,-2.5,-2.96,-3.06,-4,,-1.41,0.1,-1,-3,-9,-1.52,-5.67,2.68,1.01,2.74,-5.73,5.07,1.66,2.54,0.01,-2.5,2.81,-0.3,-4.32,0.29,-1.1,-2,-1,-5.02,0.45,-2.73,-3.34,2.92,1.5,-8.09,-0.6,-1.4,-7,2.84,-1.1,-0.51,1.2,-0.1,0.01,-4,3,1.3,-3.7,-1.1,1,2,-1,-6.8,-0.41,-13.19,2.6,,-7,-8.79,,-0.42,1.63,4.07,-2.05,1.1,-2.97,-0.21,3.6605708925,20,10,9
Seattle,Washington,8,7.21,6.32,6,,7.11,4.6,11,13.5,9,8.52,12.47,9.83,7.75,7.58,6.91,5.48,4.22,-2.72,11,8,7.05,7.5,9.15,6.91,8.6,7,7,11.09,3.75,5.31,7.14,11.02,8.1,5.62,6.9,8.8,4.09,6.26,9.8,7.03,2.2,10.5,6,7,12.8,4.1,5.12,8.3,7.5,5,0.01,-1,9.63,8.2,6.75,,10,6.66,,5.67,4.14,-1.12,6.47,6.5,4.2,7.78,3.1143422651,17,14,9
Tennessee,Baltimore,3.5,-1.15,-2.17,-1,,0.3,2.46,2,1,17,0.96,-1,-1.01,-2.14,0.48,0.64,-4.52,-9.41,-5.33,-4,2.5,-0.72,1.8,-2.61,-2.26,-1.1,3.5,4,1.49,-2.25,-0.78,0.29,-8.2,-1.8,5.53,1.8,-1.7,-0.86,-3.81,0.9,-0.75,-2,1.1,-3,-1,-3.2,4.5,3.45,-1.5,7,-4,5.5,2,3.13,-1.78,0.2,,11,6.22,,1.92,3.32,-3.53,3.86,2.9,1.39,0.84,3.9366864239,20,23,9
Arizona,Seattle,-6.5,-5.41,-2.53,-3,,-5.11,-2.21,-5,-3.5,-3,-3.87,-11.29,-7.08,-3.47,-3.36,-4.53,-11.29,-10.25,-8.99,-6,-6.5,-5.34,-5.4,-3.59,-7.36,-4.3,-6.5,-6.5,-2.4,-5.85,-5.9,-1.6,-9.91,-5.2,-1.12,-2.9,-4.5,-7,-9.11,-4.3,-5,-8.6,-3.4,-4,-1,-9.9,-5,-3.58,-4.1,-4.5,-7,3,-6.7,-8.6,-5.53,-8.25,-5,-6,-1.33,,-6.73,-4.25,-6.95,-5.01,-5.2,2.47,-3.81,3.0271859763,22,16,10
Atlanta,Dallas,3.5,-0.88,0.57,1,,-0.37,-1.23,0.01,-3.5,2,-3.05,-3.18,-1.27,-3.1,0.15,0.92,-3.07,-5.89,-8.11,1,2.5,0.64,-0.9,-3.15,-1.59,-0.7,3,3,-2.4,-2.05,-0.7,-0.1,0.62,-4.7,3.14,1.79,0.1,4.19,-3.67,0.3,-0.54,1.3,0.4,0.01,-1,-6.6,-0.7,1.55,-0.9,3,1,5.5,4.1,0.25,-1.81,-1.65,2,6,4.16,,-0.54,-5,-0.2,2.88,1.5,4.62,-0.76,2.5294878081,7,27,10
Buffalo,New Orleans,-3,-4.35,0.38,-3,,-3.35,0.56,-3,-3.5,-4,-2.61,-4.47,-0.15,-6.15,0.75,-3.87,-7.69,-7.72,-11.37,-3,-3,-3.36,-2.6,-6.05,-4.48,-2.2,-2.5,-2.5,-7.97,-6.45,-4.41,-3.59,-2.74,-2.8,2.66,-2.3,-1.1,-4.93,-6.55,-1.1,-3.36,-12.4,-4.6,-2,2,-6.4,-5.1,-1.79,-2.7,2.5,-6,-2,-1,-2,-6.07,-4.75,-1,-5,0.31,,-3.55,-3.88,-9.74,-1.27,-1.6,2.09,-1.65,2.9803765941,47,10,10
Carolina,Miami,8.5,9.42,10.58,7,,9.1,3.47,9,13,-2,11.43,13.47,10.89,9.29,7.42,7.98,10.75,14.04,8.32,12,8.5,12.4,8.7,10.16,11,9.8,9,9,13.68,8.15,9.68,9.04,7.96,8.3,3.74,7.19,9.2,7.6,13.23,9.4,9.29,12.9,11.3,8,7,15.7,6.2,6.6,10.6,5.5,15,5,2.9,10.45,13.25,11.45,10,5,3.92,,8.77,6.17,11.64,4.1,6.9,3.68,7.78,3.4242535588,21,45,10
Chicago,Green Bay,4,-2.11,3.96,-1,,0.98,3.76,3,-4,5,0.91,3.1,-0.2,5.14,1.06,-5.65,-1.82,5.79,8.48,-2,3.5,1.2,4.3,5.91,-2.16,-0.7,5.5,5,4.23,-0.35,-0.79,1.09,-5.13,3.5,0.69,2.89,-1.4,0.94,-0.08,-3.1,0.8,1.8,1.7,-2,-2,7.8,6.3,3.32,0.01,3,-1,-1.5,-3,0.35,0.14,1.05,4,7,0.1,,0.8,-3.88,3.54,2.42,-1.5,-2.22,1.53,2.9997351777,23,16,10
