Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linehanson,linepig,linenutshell,lineexcel,linemore,linedunk,linepyth,lineelo,lineeff,linesaggm,linel2,linel1,linel2h,linefox,lineca,linebihl,lineesp2,linesagr,linesagp,linepi,linemidweek,lineopen,linecurry,linejohns,linemass,linecoff,linetalis,lineesp,lineturner,linedonchess,linepim,linelog,linepugh,lineteamrank,linemed,linekerns,linejens,lineash,lineffw,lineburd,linecrunch,linedok,linepib,linecovers,lineround,lineclean,linewhatif,lineespn,linerwp,linedwig,linegametime,lineexcel2,linelinx,lineturner2,linestjohn,lineppg,linel2to,lineherbert,linefeng,lineiron,linekalin,linestd,rscore,hscore,week
Indianapolis,Arizona,-7,-0.5,-4.22,0.25,-4.56,-1.92,,-1,-10,-14,-0.4,0.96,1.15,0.11,1.91,-0.16,0.99,11.67,7.44,-4,-6,,-4.9,-0.26,-0.69,-1.5,-7,-7,,,1.45,,-1.06,-2.3,3,-0.06,-1.8,5.9,-7.05,-2.3,-1.24,-5.8,-3.4,-4,-3,-4.6,-2.2,-7.35,-1.8,-4,,2,-2.3,-3.77,3.43,-7.85,-1.5,-14,-0.56,,-5.28,-0.18,-0.23,-4.17,1.5,1.18,-1.42,3.8833652881,16,13,2
Jacksonville,Tennessee,-1,0.53,-2.78,2,3.08,1.89,,3,-1,-26,3.56,7.22,-1.49,5.25,0.35,0.36,1.72,0.01,-3.93,7,-0.5,,2,0.74,0.38,2.2,-1.5,0,,,0.07,,9.35,5.6,24,-0.46,1.4,0.35,6.8,3.1,1.96,2.6,12.3,6,3,16.2,3,-3.93,3.1,0.01,,1,-3.1,2.47,-6.2,16.8,2,-26,1.52,,-0.27,-1.94,4.48,-1.95,-0.7,1.92,2.09,6.6794909105,37,16,2
Kansas City,Philadelphia,6,4.88,1.65,6,5.59,5.85,,6,6.5,5,5.9,7.21,4.96,6.22,4.22,4.91,7.07,8.12,-4.94,7,6,,4.3,5,4.79,6.7,6,4.5,,,6.68,,8.97,4,3,5.73,8.2,6.31,6.86,6.6,5.81,3.2,9.6,6,6,8.2,7.2,5.19,6.1,7,,1.5,4.1,9.34,13.92,3.1,5.5,5,6.64,,5.27,2.89,5.17,6.03,4.6,4.45,5.1,2.105594695,20,27,2
LA Chargers,Miami,3.5,2.01,2.92,2,2.18,2.55,,3,3.5,-1,1.91,0.33,3.65,1.11,3.33,1.76,1.35,4,-8.41,3,3.5,,2.6,1.72,2.22,5.4,4,5,,,2.26,,-3.11,1.2,-4.57,2.83,3.7,-0.37,5.53,4.1,2.77,8.7,6.4,2,2,4.9,3.1,5.62,6.3,5.5,,7.5,-1,6.32,-0.94,-0.65,3,-1,-6.21,,3.17,5.57,4.48,0.15,3.2,3.42,2.71,2.8045917392,19,17,2
LA Rams,Washington,3,-0.66,-8.88,0.25,-0.48,-1.69,,5,-1,-24,-3.38,-7.95,-7.1,-3.5,-3.21,-1.17,1.39,1.64,8.3,-4,2,,3.5,-0.79,-0.56,-4.2,3,2,,,-5.41,,-6.41,4.6,22.1,-4.37,-3.5,3.09,3.67,5.1,-1.34,-5.4,6.1,3,-1,-0.3,4.9,-3.11,-4.7,1.5,,-1.5,-4.3,4.03,-9.7,18.15,3,-24,0.2,,-1.54,-10.4,1.27,2.69,-1.8,-1.95,1.31,6.698894641,27,20,2
N.Y. Giants,Detroit,3,3.07,9.87,2,2.13,2.56,,7,15.5,4,3.65,3.05,4.74,3.8,3.92,3.23,-1.85,-2.87,-2.97,2,3,,2.2,3.02,3.09,3.9,3.5,3,,,6.74,,2.25,-0.6,-10.2,4.64,3,0.31,-1.26,2.8,3,0.1,2.4,0.01,3,2.6,-2.7,1.16,3.9,2.5,,-1.5,6.5,3.02,5.54,-8.85,2,3,3,,6.19,0.29,-0.48,-0.93,5.4,3.6,2.45,3.9623792417,24,10,2
New Orleans,New England,-6,-5.41,-4.98,-3,-6.32,-4.19,,-5,-20,-14,-8.97,-9.84,-5.78,-5.43,-3.54,-5.48,4.02,5.12,-0.74,-8,-6,,-4.5,-5.29,-5.5,-2.6,-7,-6.5,,,-5.55,,-4.48,-2.5,8.9,-4.76,-4.6,2.19,-4.79,-5.6,-4.68,-3.7,0.6,-1,-5,-3.4,-1.4,-10.63,-2.3,-4.5,,8,-9.1,-3.16,-6.9,5.05,-1,-14,-2.88,,-8.96,2.63,3.25,-4.16,-6,-2.19,-3.37,5.0936725762,36,20,2
Oakland,N.Y. Jets,13.5,17.55,10.44,6,7.67,11.99,,14,21.5,13,11.71,13.33,10.97,10.56,7.94,17.54,8.73,12,7.15,10,13.5,,13.1,17.61,17.51,16,13,13.5,,,7.63,,8.16,12.1,18.1,13.43,17.6,8.57,14.92,14.7,12.25,14.4,16.2,5,4,12.6,14.4,10.87,15.6,13,,6.5,6.7,19.23,16.71,4.65,12.5,12,11.68,,13.05,10.11,6.14,10.56,12.4,5.31,10.62,4.2278942054,20,45,2
Pittsburgh,Minnesota,7,5.58,10.79,4,6.7,5.56,,7,-2.5,14,3.39,7.93,4.65,5.47,4.03,5.91,-0.69,2,4.41,4,7,,5.1,5.82,5.42,7.2,4.5,6.5,,,7.44,,10.52,3.2,4.9,6.43,7.7,3.63,0.77,6.5,5.44,3.1,4.3,4,5,2.4,2.8,7.76,6.4,5,,6.5,5.4,5.07,9.77,3.75,6,14,9.84,,4.56,5.46,-1.87,5.28,7.3,4.29,5.91,2.9857039108,9,26,2
Seattle,San Francisco,14,15.48,14.65,9,18.95,14.59,,15,18,29,14.94,15.58,13.32,14.12,9.62,15.08,16.88,7,14.99,17,14,,12.7,15.01,15.84,13.8,14,13,,,14.61,,15.97,12.3,8.9,19.93,14.2,14.28,16.91,15.3,14.63,14.6,18.4,12,13,17.8,12.2,16,13.6,12.5,,4,11.1,17.74,18.22,21.05,10.5,28,17.27,,15.76,6.06,11.37,6.41,13.5,8.37,11.83,4.0896351724,9,12,2
