Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linepasteur,linepig,linenutshell,linecpa,lineexcel,linemore,linedunk,linecpa2,linepyth,lineelo,lineeff,linesaggm,linel2,linebmc,linel1,linel2h,linefox,lineca,linebihl,lineesp2,linesage,linesagp,linepi,linemidweek,lineopen,linemds,linecurry,linejohns,linemass,linecoff,linetalis,lineesp,lineturner,linedonchess,linepim,linelog,linepugh,lineshark,linemed,linekerns,linejens,lineash,lineffw,lineburd,linemrr,linedok,linepib,linest,linecovers,lineround,lineclean,linewhatif,lineespn,linerwp,linedwig,lineps,linegametime,lineshadow,linedoi,linexwp,linelinx,linecombo,linegirl,linestjohn,lineppg,linel2to,linelock,linefeng,lineiron,linekalin,linenseye,linestd,rscore,hscore,week
Green Bay,Seattle,3,3.86,0.54,1,2.92,2.74,,4,0.01,4.14,13,0.67,0.95,6.18,2.07,3.78,2.66,4.54,0.81,,1.03,3.55,-3,3,,3.6,3.37,3.7,4.6,3.5,3.5,1.29,12.38,,-1,,-2.6,3.7,,0.41,4,0.7,2.85,3.3,2.37,0.01,1.6,3,1,1,,3.47,5,1,4.5,,3,1,4.6,0.99,10.6,,3.5,1,1.71,,7.87,0.01,,3.07,7.41,1.29,,1.5,1.63,0.56,,3.0593767084,17,27,2
Indianapolis,N.Y. Jets,7.5,4.66,13.98,5,10.42,6.9,,9,4.63,16.24,14,6.6,4.17,13.97,14.94,1.85,11.4,4.81,5.99,,6.04,6.45,5,7.5,,3.1,6.96,4.38,7.4,7,6,4.52,-2.59,,7,,8.3,0.8,,8.21,8.1,6.92,2.52,7.5,6.93,5.3,4.2,4,5,0.3,,6.75,6.9,13,6.5,,7.5,8.4,7.82,8.05,-10.35,,6,8,9.48,,12.84,5,,10.29,11.42,9.47,,12.5,3.94,7.93,,4.4861064273,20,7,2
Jacksonville,Miami,-7,-7.01,-5.23,-3,-11.49,-6.23,,-7,1.45,-12.08,-4,-2.53,-8.67,-12.67,-5.09,-7.58,-3.11,-7.25,-5.34,,-5.82,-6.86,-3,-7,,-6.6,-6.47,-7.01,-7.2,-7,-4,-8.26,-12.47,,-7,,-5.22,-7.2,,-9.39,-3.9,-5.66,-9.66,-1.3,-6.64,-14.2,-9.1,-7,-7,0.5,,-10.09,-8,-8.5,-5,,-1.5,-8.1,-5.21,-7.38,0.2,,-3,-4,-6.12,,-13.19,1.5,,-6.42,-6.69,-3.84,,-5.7,-1.82,-4.72,,3.3930497286,20,23,2
Kansas City,Denver,3,-0.73,-0.44,2,-0.14,0.21,,0.01,1.52,2.2,-1,-1.35,-1.17,1.5,2.29,2.74,2.62,-0.71,1.12,,1.8,6.09,1,2.5,,2,-1.29,-0.68,-2.4,3,1.5,1.65,-11.51,,3,,4.25,1.1,,0.01,0.4,-0.01,-0.32,0.3,0.41,-0.9,4.8,2,2,1.8,,-0.54,-1.7,1,1.5,,-6,-2.9,1.2,-0.8,7.65,,1,-3,0.42,,-2.37,0.01,,-1.01,-5.06,1.12,,-1.8,1.62,0.75,,2.7658435927,31,24,2
Minnesota,Detroit,2.5,-0.55,-0.77,0.25,-0.77,-0.56,,2,-1.19,5.3,8,-0.5,4.48,2.51,0.31,-4.02,1.41,0.15,-0.54,,0,1.86,-3,1.5,,1.3,0.43,-0.87,-1,2.5,3,-3.17,-3.4,,-2,,-1.41,-0.4,,-0.39,-3,-1.29,-3.82,0.01,-0.66,-8,-3.9,-1,-2,-6.1,,-2.68,0.2,-3,2,,-1,-4.9,-0.22,-2.64,-3.9,,2,7,-1.4,,-2.72,0.01,,-1.21,2.25,1.52,,1.2,0.47,-2.2,,2.9496185974,16,26,2
N.Y. Giants,Atlanta,1,3.31,4.68,3,2.14,3.08,,2,3.57,0.55,2,2.95,5.71,-2.05,3.64,5.82,3.51,2.19,6.15,,6.39,2.31,6,1.5,,1,2.92,3.66,7.1,2.5,2,4.4,-6.97,,3,,8.07,0.01,,4.41,6.6,1.88,3.72,0.4,3,3,5.8,2,7,10.3,,5.44,7.4,2.5,0.5,,2,1.6,2.64,1.66,1.3,,2,-3,2.25,,-7.75,2.5,,3.21,1.94,6.34,,2.9,3.55,3.15,,3.1299924069,24,20,2
New Orleans,Tampa Bay,10.5,8.79,9.23,7,12.54,9.35,,10,1.74,15.02,4,7.9,14.06,13.04,8.13,13.4,6.61,8.7,7.58,,8.25,-2.26,11,10.5,,8.9,8.43,8.88,12.7,11,10.5,10.88,-5.9,,7,,8.57,7.8,,12.72,7.2,9.35,14.63,9.4,8.89,8.8,17.5,10,13,13.4,,12.31,13.7,11,7.5,,6,6.6,10.97,10.69,10.15,,7,7,9.97,,17.6,-1,,9.91,9.75,8.62,,8.4,6.49,7.93,,3.7304061572,26,19,2
Oakland,Baltimore,-4.5,-5.17,-7.4,-2,-11.14,-8.11,,-7,-5.12,-10.29,-9,-9.68,-9.71,-9.55,-9.81,-11.72,-6.39,-4.36,-9.87,,-9.57,-9.69,-12,-5,,-5.6,-4.45,-5.51,-13.5,-7,-6,,-1.98,,-7,,-13.93,-4.2,,-10.38,-6.6,-2.09,-13.78,-7.4,-7.36,-13.4,-12.4,-7,-12,-14,,-7.29,-17.2,-10,-4,,-2.5,-6.6,-7.23,-7.05,-0.1,,-5,-13,-7.36,,-9.9,-4,,-6.45,-8.3,-8.19,,-7.2,-4.57,-6.44,,3.4995249798,33,37,2
Philadelphia,Dallas,7,2.12,1.05,3,0.53,1.58,,3,-8.28,5.33,1,-1.02,7.49,2.3,1.81,0.43,1.98,1.06,4.24,,4.87,2.84,-1,5.5,,3.1,1.7,2.45,0.7,5,5,2.09,-4.46,,1,,5.42,1.2,,3.11,1.3,0.21,-0.12,4.8,1.77,-1.3,1.9,7,-2,-3.6,,2.21,0.4,0.01,4,,2.5,1,4.16,-0.32,11.35,,3,-2,3.43,,-7.52,-9.5,,2.87,3.35,6.11,,1.1,1.73,1.19,,3.2950837642,20,10,2
Pittsburgh,San Francisco,7,4.8,5.96,1,1.68,5.17,,7,7.56,13.24,9,8.18,8.2,9.97,6.89,4.71,5.91,4.41,3.79,,3.46,9.12,7,7,,3.2,6.15,4.79,6.3,6,6.5,3.45,-2.99,,3,,1.64,-0.2,,5.12,8.8,3.3,2.48,2.9,5.15,-0.6,6.1,-1,7,8.1,,5.7,6.1,9.5,5,,9,3,7.41,4.35,-9.05,,5,5,5.15,,5.14,8,,6.29,9.52,8.14,,10.1,3.11,5,,3.616713278,18,43,2
