Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linepasteur,linepig,linenutshell,linecpa,lineexcel,linemore,linedunk,linecpa2,linepyth,lineelo,lineeff,linesaggm,linel2,linebmc,linel1,linel2h,linefox,lineca,linebihl,linebmc2,linesage,linesagp,linepi,linemidweek,lineopen,linemds,linecurry,linejohns,linemass,linecoff,linetalis,lineesp,lineturner,linedonchess,linepim,linelog,linepugh,lineshark,linemed,linekerns,linejens,lineash,lineffw,lineburd,linemrr,linedok,linepib,linest,linecovers,lineround,lineclean,linewhatif,linenseye,linerwp,linedwig,lineps,linegametime,lineshadow,linedoi,linexwp,linelinx,linecombo,linegirl,linestjohn,lineppg,linel2to,linelock,linefeng,lineiron,linestd,rscore,date,hscore,date1,week
Houston,Indianapolis,-2.5,-0.4,-1.52,1,-2.99,-2.3,1.02,-2,-8,-2.33,4,3.28,2.98,4.48,0.31,-2.11,1.36,0.03,-3.29,-4.27,1.57,-2.84,-7,-2.5,,-0.33,-0.24,-1.01,-6.1,-2.5,-2.5,-1.26,-8.1,-0.7,-3,-0.01,-3.82,-2.6,3.7,-2.89,-7.6,2.27,-5.36,-13.1,-2.11,-8.1,-2.8,-3,-4,-5.2,0.97,-1.09,-5.4,-2,0.01,-3,0.2,-2,-8.25,-1.15,-2.45,-0.5,,1,-0.67,4.8,-6.28,-8.13,-6.79,-2.26,-8.4,-6.75,-3,-3.2,,3.6848006222,33,20010,28,19973,6
Miami,Green Bay,-1,-1.9,0.02,-1,-3.2,-1.45,1.95,-6,3.5,0.78,10,3.69,-6.57,9.83,-0.8,-4,0.05,-1.15,-4.32,-3.78,2.44,-7,-5,-1,,-2.67,-2.28,-2.38,-3,-3,-3.5,-4.49,-2.5,-1,1,-0.23,0.33,-5.2,-4.8,-1.11,-4.4,-1.4,-3.64,-3.2,-1.99,-2.9,-2.3,-3,-5.5,-8.6,1.66,-2.87,-2.2,-6,-1.5,-5,2.2,-3,2.75,-1.99,-4.3,0.6,,2,-0.81,-6.3,-1.43,3.12,4.31,-1.3,-0.8,0.76,-4,-2.6,,3.4927987387,27,20010,24,19973,6
Minnesota,Detroit,1,-2.38,-4.23,-2,0.68,-2.33,-2.44,0.01,2.5,-6.22,5,-1.09,-4.62,2.28,-3.95,-2.56,-1.37,-3.07,-11.12,-4.89,-14.82,-7,-2,0.5,,-2,-1.67,-2.3,-3.4,-1.5,-1,-8.68,2.1,-6.2,0.01,-1.96,0.02,-2.2,-4.7,3.03,-2,-7.86,-9.13,-6.4,-2.2,-4.2,-2,-3,1.5,-1,-0.11,1.14,-4.2,-7,-0.75,-7,10.6,-7,-1,-6.13,-4.2,-4.1,,1,-3.65,-4.4,3.75,0.75,5.47,-2.18,2.4,-0.81,-4,-3.7,,3.9849889007,17,20010,3,19973,6
N.Y. Jets,Denver,-11,-10.45,-9.63,-12,-12.68,-12.28,-2.71,-10,-8.5,-20.1,-16,-5.96,-14.68,-12.63,-8.2,-18.75,-5.33,-10.04,-7,-18.02,-7,-10.4,-12,-11,,-21.67,-10.8,-10.48,-9.9,-11,-7,-14.14,-19.7,-16.1,-14,-9.6,-15.76,-12.5,-20.7,-8.27,-9.7,-15.19,-23.31,-9.2,-11.2,-17.8,-17,-15,-12.5,-18.6,-2.7,-6.35,-11,-10,-8.25,-21,-10.8,-10,-9.25,-15.68,-17.65,-16.3,,-7,-5.1,-19.8,-5.13,-8.87,-12.63,-6.22,-11.2,-16.1,-11,-11.4,,4.8802918418,31,20010,17,19973,6
Oakland,San Diego,-8,-8.84,-14.23,-12,-15.24,-14.98,-5.34,-12,-14.75,-26.26,-14,-10.43,-18.82,-25.77,-15.37,-25.14,-10.51,-8.55,-7,-17.52,-7,-7,-22,-9,,-21.67,-9.13,-8.86,-13.8,-8,-7,-17.01,-26,-21.1,-15,-14.79,-13.38,-13.2,-29,-11.19,-13.4,-7,-25.4,-23.4,-14,-21.6,-18.3,-11,-13,-25,-0.94,-7.01,-14.1,-14,-6,-23,-6.1,-7,-12,-19.81,-22.8,-20.6,,-13,-5.73,-19.7,-18,-13.38,-11.72,-9.13,-11.85,-12.54,-14,-14.3,,6.2531957522,31,20010,28,19973,6
Philadelphia,N.Y. Giants,0,3.68,-3.07,3,1.14,2.83,6.03,5,6.75,-4.12,1,4.54,-0.96,6.33,2.79,-1.4,2.55,2.84,-4.2,1.76,0.83,-7,6,0.5,,2.33,5.23,3.26,3.5,2.5,3,-1.36,5.4,3.1,3,1.94,4.68,2,11.6,6.05,3.7,1.49,-2.76,6.3,3,0.1,5.9,3,3.5,-0.3,4.96,2.22,3.3,0.5,3.25,-3,0.5,5,4.75,1.06,-2.5,8.6,,4,8.13,-5.8,6.84,5.75,7.1,0.46,6.6,6.33,1,6,,3.4377918408,0,20010,27,19973,6
Seattle,Dallas,10,10.74,5.6,8,13.44,9.49,2.33,7,8.75,18.91,7,5.66,4.53,10.8,3.16,10.31,2.74,10.62,16.28,14.64,9.11,7,14,10,,18.67,10.5,11,9.9,9.5,8,9.14,13.2,14,10,6.83,16.83,4.8,-2.2,7.62,8.1,10.41,14.18,9,10,11,11.9,13,15,10.7,10.37,10.21,10.2,12,9.75,13,0.01,6,5.25,8.12,12.2,15,,6,11.43,19.8,6.89,7,10.39,7.49,2.5,10.44,4,12.4,,4.3907753116,30,20010,23,19973,6
St. Louis,San Francisco,-3,-3.74,-7.02,-5,-7.93,-6.3,-1.76,-5,-0.25,-17.83,-12,-2.06,-5.97,-13.08,-2.82,-8.93,-1.44,-2.11,-15.35,-9.63,-9.21,-7,-5,-3.5,,-6.33,-4.99,-4.56,-7,-3,-3.5,-5.97,-7.6,-8.9,-6,-5.59,-4.49,-4.1,-11.6,-4.35,-6.3,-15.4,-14.28,-6.8,-6,-11.4,-9.4,-6,-5.5,-6.4,-3.15,-2.04,-7,-7.5,-3.25,-13,-1.5,-10,1,-8.45,-11.95,-3.8,,-6,-4.76,-12.1,-3.55,0.37,-8.84,-4.78,1,1.05,-6,-5.1,,4.0314620069,31,20010,17,19973,6
Tampa Bay,Baltimore,-3.5,-3.25,-7.52,-8,-4.87,-6.87,-3.4,-4,-5.25,-18.18,1,-3.21,-1.14,-1.99,-8.63,-7.91,-5.77,-2.89,-7,-10.96,-9.55,-7,-7,-3.5,,-11.67,-2.69,-4.12,-4.3,-3,-3,-12.03,-4.6,-11.6,-4,-8.32,-6.16,-8,-14.1,-3.9,-7.3,-7,-20.02,-9.9,-5.77,-17.5,-9.8,-10,1.5,-6.9,0.12,-3.9,-4.2,-9,-2.5,-21,-0.6,-6,-4.75,-9.26,-20.4,-8.1,,1,-2.38,-15.6,-2.81,-5,-4.87,-3.64,-0.6,-5.81,-11,-5,,5.0932271582,48,20010,17,19973,6
Tennessee,Jacksonville,4.5,8.27,8.28,9,10.97,9.57,6.69,6,7.25,14.65,5,6.71,9.92,26.44,6.88,15.37,7.89,7.99,13.99,9.88,9.56,-7,10,6,,10,8.2,8.56,14.6,,4,7.77,8.8,12.4,10,7.24,8.06,6.6,11.1,7.72,12.2,13.98,13.01,4.7,8.56,12.8,13.1,10,7.5,8.8,8.29,8.12,15.7,13.5,7.25,13,-2,11,5.75,15.5,16.05,11.2,,3,7.83,16.9,7.5,6.5,8.13,6.87,6.2,5.56,7,6.6,,4.0251036358,14,20010,16,19973,6
Baltimore,Atlanta,6.5,7.72,11.48,13,12.41,11.2,9.6,10,8,22.79,10,9.91,3.97,17.56,11.36,15.74,10.14,8.37,7,21.94,7,7,13,7,,11.33,6.92,7.94,12.3,7.5,7,15.73,16.5,18.6,13,11.68,12.13,13.2,12.5,6.84,12.8,4,16.99,3.8,11.48,15.6,16.6,10,17.5,20.7,4.7,8.8,12.1,12,7.25,21,12.2,2,7.5,11.57,15.55,16.6,,10,3.72,20.6,8.93,6.87,4.06,7.27,2,12.05,6,12.1,,4.9244474602,7,20017,29,19973,7
Buffalo,Minnesota,5,6.19,8.44,6,7.7,7.14,3.54,5,4.5,10.34,-1,5.74,3.14,8.64,6.99,9.49,5.52,7.13,11.38,12.08,7,1.85,7,5,,19.67,5.13,6.46,7.2,7,4.5,12.56,6.8,12.3,5,7.78,-0.64,6.5,13,5.45,7.5,2.82,13.08,3.4,6.8,7.5,10.6,2,10,9.2,3.51,5.12,8.2,9.5,6.25,13,5.8,6,8.5,8.37,11.75,12.8,,7,1.61,14,2.84,6.13,5.84,6.58,4.33,1.16,4,8.3,,3.7130886415,16,20017,17,19973,7
Chicago,Miami,3.5,4.9,5.02,4,1.26,3.69,3.37,7,3,1.6,5,3.8,5.33,1.22,3.43,2.72,3.27,5.27,1.17,0.94,14.2,4.05,5,3.5,,3.33,5.02,4.48,5.6,3,3,6.14,4.3,4.7,3,2.57,0.78,4.1,0.3,5.36,7.7,1.93,-0.79,-1.9,3.8,5.6,6.2,1,5,3.1,3.77,4.47,4.9,5,5.25,4,3.2,3,3,2.65,3.9,5.8,,6,2.39,6.4,4.53,2.25,0.63,0.84,1.83,-0.36,1,5,,2.3988284701,27,20017,14,19973,7
Dallas,N.Y. Giants,7,5.53,6.9,7,7.62,7.86,8.67,7,6,7.61,3,7.8,13.93,8.44,7.99,8.59,6.59,5.55,7.16,12.18,16.8,6.29,11,7,,19.67,5.57,5.54,7.5,7,4.5,9.15,11.8,10,7,7.07,0.67,8.2,13.2,5.84,7.2,3.01,7.79,5.4,7.16,13.9,12,3,9.5,12.9,2.92,5.66,8.1,7,5.75,7,3.4,5,9,6.58,6.3,11.1,,8,0.86,10.2,5.11,6.5,3.21,4.29,7.33,12.8,7,8,,3.5282021053,21,20017,31,19973,7
Denver,San Francisco,7,5.93,2.93,6,4.72,6,5.44,6,3.5,11.14,3,6.74,2.92,6.22,6.21,6.45,5.64,5.71,7,8.63,7,7,3,7,,5.67,5.58,6.39,6.5,7,6,6.61,5.7,11.4,6,6.48,6.5,4.4,7,5.91,6,3.2,11.26,3.8,6,9.5,10.3,8,9,7.6,3.05,5.44,7.1,8.5,5.5,9,1.9,3,3,6.19,11.85,7.6,,1,5.05,11.3,4.44,6.62,-1,1.93,7.9,7,4,6.1,,2.5724278883,17,20017,42,19973,7
Detroit,New Orleans,1,2.78,5.79,8,4.33,5.84,5.21,5,5.25,13.67,-14,10.03,5.07,12.24,9.6,9.46,6.93,3.32,15.89,8.92,15.8,13.56,3,2,,7.67,2.5,2.5,2.3,2.5,2.5,12.56,4.1,12.8,4,8.6,1.6,6.4,10.6,3.47,2.7,3.57,13.23,1.9,5.14,9.6,10.5,3,0.01,8.4,1.39,1.15,2.7,7,3.25,12,1.9,4,6.75,8.4,11.45,9.5,,4,-1.48,13.4,1.83,4,1.78,5.14,-5.07,0.86,6,5.8,,4.9598537413,23,20017,24,19973,7
Green Bay,Carolina,7,6.89,5.1,7,2.5,6.49,6.14,10,3,10.65,2,1.74,10.3,3.68,8.31,8.16,7.22,6.44,7.34,11.17,0,8.99,8,7,,23,6.53,7.72,7.7,7.5,7,6.21,5.4,7.9,3,6.4,1.62,6.3,5.5,5.87,8.8,1.16,14.29,4.1,6.3,11.8,9.6,5,4.5,14.4,2.34,6.27,7.3,9.5,7,7,2.5,1,2,3.42,11.85,3.9,,3,6.24,18.6,1.86,1.88,-1.72,5.28,0.63,9.8,7,5,,4.2814548828,17,20017,38,19973,7
Indianapolis,Cincinnati,3.5,3.25,5.51,4,0.12,4.99,7.28,6,3.75,9.57,10,2.31,-0.25,5.56,5.42,8.64,5.35,4.06,8.8,10.91,7,6.33,3,3.5,,24,2.4,3.32,6,3,3,3.92,4.1,8.9,3,6.47,-4.54,4.9,-2.4,2.75,6.9,0.84,8.04,1.6,4.62,10.8,8.6,0.01,3.5,12.2,2.09,4.62,6.3,4,3.5,7,-4.6,3,-0.5,3.83,6.9,7.4,,6,0.72,14.2,4.58,1.63,-2.87,5.38,0.01,15.61,5,6.3,,4.6522967085,0,20017,27,19973,7
Jacksonville,Cleveland,-6,-5.28,-8.4,-10,-10.92,-8.7,-5.06,-6,-4.5,-14.19,-12,-5.28,-11.04,-21.68,-9.97,-10.13,-7.87,-4.14,-11.69,-9.1,-6.67,1.6,-10,-6,,-4,-5.9,-5.93,-10,-5.5,-4,-8.54,-9.4,-7.7,-7,-8.17,-3.38,-9.1,-18.3,-5.5,-9.5,-7,-12.83,-11.1,-9,-12.5,-10.7,-9,-3,-11.2,0.1,-4.42,-11,-11.5,-3,-16,0.4,-12,-4,-15.3,-13.75,-7.2,,-4,-5.18,-17,-3.09,-5.62,-9.13,-7.48,-11.3,-3.38,-15,-4.7,,4.2816598597,6,20017,24,19973,7
New England,N.Y. Jets,11,12.06,9.72,13,16.02,13.03,7.48,14,8.5,17.83,19,9.8,18.32,15.59,13.98,17.17,10.93,11.63,14.53,17.39,7,7,17,11,,11,11.97,12.66,13.6,11,9,12.32,22.1,12.7,14,11.09,15.75,13.9,24.1,8.21,12.7,16.25,14.78,12.8,13,9.3,16.1,11,15.5,20.2,6.88,10.63,14.1,8,10.75,13,17.3,7,14,15.01,16.15,13.1,,13,7.38,20.2,8.27,8.37,14.01,7.61,12.67,4.06,11,11,,4.000160105,25,20017,27,19973,7
Oakland,Arizona,-3.5,-7.12,-9.6,-12,-7.96,-9.24,3.32,-7,-8.5,-10.53,-6,-5.09,-7.66,-22.22,-6.3,-13.5,-3.62,-6.67,-11.43,-7.75,-15,-7,-14,-4.5,,-4.67,-9.32,-6.05,-9.2,-3,-4,-6.56,-17.3,-10.9,-10,-10.7,-12.45,-5.8,-24.2,-10.17,-8.3,-7,-12.14,-16.4,-9,-9.9,-14.5,-8,-4.5,-9.3,-1.44,-4.02,-9.1,-8.5,-6,-16,-3.5,-9,-4,-17.51,-13.6,-7.2,,-5,-4.64,-13.9,-16.04,-10,-13.22,-7.55,-5.4,2.77,-9,-6.6,,4.9107840515,24,20017,13,19973,7
Pittsburgh,Houston,2.5,2.02,2.36,-0.25,4.37,0.73,2.48,2,3,-4.74,5,-0.28,-2.17,4.88,-0.5,-3.77,0.74,0.87,-9.95,-5.94,-10.4,-6.28,8,2.5,,2.33,3.8,1.7,2.8,3,4,-1.58,3.6,-2.4,3,0.06,7.04,-2.7,2.9,5.43,3.7,0.99,-8.97,5.6,1.66,-1.8,2,1,2,-3.8,3.53,3.35,1.6,-3.5,2,-3,6.3,-1,2.5,-2.89,-4.85,-2.8,,4,6.41,-6.8,8.52,5.5,4.2,1.66,0.67,1.38,-1,-0.9,,4.1427568975,23,20017,30,19973,7
San Diego,Kansas City,3.5,4.26,4.19,8,4.85,5.48,5.14,6,8,5.83,6,9.16,0.31,8.47,8.72,5.03,7.61,3.51,4.84,3.04,6.21,-3.67,7,3.5,,2.33,4.98,4.4,6.6,4,5.5,2.2,9.9,8.1,4,7.29,7.39,3.2,20.9,6.87,7.1,3.72,4.32,4.1,5.53,5.2,5.2,4,6.5,2.7,2,3,6.1,5,3.5,4,-5,6,3.25,7.85,6.6,7.6,,7,7.41,6.6,9.42,6.5,5.93,5.28,5.53,-0.27,6,5.6,,3.1919820826,23,20017,20,19973,7
St. Louis,Seattle,-7.5,-8.12,-5.45,-10,-9.03,-9.16,-1.98,-7,-1.25,-16.41,-9,-6.08,-4.18,-11.98,-5.86,-12.44,-4.03,-7.4,-11.59,-13.08,-11.4,-7,-10,-7.5,,-6.33,-8.15,-9.05,-10.2,-7.5,-6.5,-5.81,-12.3,-11.9,-10,-8.04,-10.88,-5.9,-16.6,-6.81,-8,-0.5,-18.28,-15.6,-8.5,-16.9,-11.9,-12,-2.5,-9.1,-5.36,-6.16,-10.5,-13.5,-6.5,-17,-4.1,-12,-3.25,-10.58,-19.2,-8.5,,-9,-8.17,-23.8,-4.42,-3,-7.34,-7.78,-4.4,-1.49,-7,-7.9,,4.5113137531,26,20017,28,19973,7
Washington,Tennessee,7,4.01,1.57,2,0.93,2.83,5.22,6,-0.5,-0.05,-9,3.93,2.61,-8.23,5.28,3.75,5.01,5.79,3.94,3.76,7,-10.18,3,6,,3.33,1.95,4.05,3.4,5.5,4,5.72,0.9,4.5,2,1.61,4.08,4.2,1.9,-0.87,4.7,-12.13,4.45,-2,3.33,6.2,0.3,5,6,6.9,0.99,5.81,3.8,1.5,4.5,4,7.8,1,6,-6.98,4.65,3.2,,-1,2.8,7.5,-0.54,1,-1.37,1.93,6.67,12.61,3,2.4,,3.5135562879,17,20017,19,19973,7
Arizona,Philadelphia,1,2.05,4.2,4,3.8,1.67,0.74,0.01,3.25,1.94,8,1.17,4.5,7.82,0.68,1.92,1.12,2.2,1.35,1.92,-0.14,-2.74,1,1,,,2.25,2,1.5,2.5,2.5,1.92,2.1,4.6,3,2.79,3.72,-0.3,0.6,4.7,0.3,3.06,0.94,-2.8,1.97,-1.3,2.5,0.01,4.5,-1.8,2.46,-1.41,2,1,3.75,4,-4.5,2,-0.25,2.41,3.55,1,,-3,2.61,9.8,2.96,1.5,5.81,5.01,-5.17,-11.03,-4,0.6,,3.1586278761,20,20024,24,19973,8
Atlanta,Detroit,-3.5,-7.46,-6.66,-8,-3.87,-6.58,0.55,-6,-0.5,-9.79,7,-9.32,-10.39,-14.48,-6.61,-9.34,-4.72,-6.35,-11.16,-9.12,-16.4,-7,-6,-4,,,-5.41,-7.64,-6.9,-3.5,-4,-8.27,-9.8,-11.7,-7,-4.69,-7.2,-7.9,-9.65,-2.72,-5.8,-3.19,-10.01,-6.7,-7.08,-10.1,-11.5,-7,-6,-7.9,-1.59,-7.15,-7.8,-1.5,-5.25,-9,4.9,-8,-2.5,-9.81,-16.4,-9.8,,1,-2.74,-10.3,-3.88,-1.5,4.25,-4.73,-9,-7.94,-3,-5.2,,4.4377496353,22,20024,21,19973,8
Carolina,Seattle,-5.5,-4.99,-0.8,-3,-4.06,-4.28,-2.43,-2,-1,-5.37,-4,0.05,-7.08,4.73,-2.04,-3.86,-1.46,-3.9,-5.7,-7.51,-3.44,7,-8,-5.5,,,-3.46,-4.61,-2.1,-5,-3.5,-5.6,-3.2,-5.9,-5,-1.68,-9.12,0.1,3.6,-3.56,-1.4,-0.49,-12.92,-13,-3.89,-13.1,-4,-8,4,-6.6,-1.37,-6.56,-2.3,-3.5,-3.25,-7,-4.7,-4,0.5,-3.88,-8.3,-6.9,,-1,-7.87,-13.1,2.11,-0.25,-3.09,-2.72,1.83,-10.73,-3,-7.3,,3.7712325065,13,20024,9,19973,8
Cincinnati,Baltimore,0,-0.21,-2.7,-2,2.31,-1.82,-4.39,-3,5.25,-2.73,4,-0.45,-6.33,8.47,-5.73,-4.71,-5.26,0.18,-4.73,-8.06,-9.3,-10.33,-5,0,,,2.91,-3.35,-2.6,0,2.5,-5.75,-2.4,0.1,3,-1.12,4.74,-4.8,2.7,4.71,-3,3.39,-5.46,-2.8,-2.6,-7.4,-1.4,-3,-1,-13.8,4,-2.59,-2.6,-1,1.25,-7,-5.6,-4,5.5,-1.57,-5.5,-0.9,,-3,-0.98,-8.4,2.59,5.38,8.87,1.6,1.23,-7.23,-9,-1.3,,4.5516534776,24,20024,27,19973,8
Cleveland,Oakland,7.5,9.1,10.69,10,5.94,8.81,7.11,7,11.25,11.64,4,7.43,2.64,25.57,10.42,8.22,8.63,7.37,7.86,6.25,2.06,9.24,11,7.5,,,8.57,9.12,6.7,7.5,7,8.56,10.9,8.5,7,9.02,5.27,7.7,16.25,9.53,7.8,7,5.5,10.3,8.4,7.5,12.4,6,2.5,6.1,4.55,6.76,6.6,9,7,11,7.6,10,9.25,25.26,9.3,9.3,,4,8.29,15.4,15.84,10.25,8.64,4.51,10,12.78,5,7,,4.1577204643,13,20024,23,19973,8
Dallas,Washington,10,10.8,11.98,14,10.71,11.04,9.13,11,13.5,10.54,3,11.08,7.31,3.86,10.21,13.49,8.81,7.75,13.18,12.62,11.15,1.23,17,10,,,9.58,12.32,11.9,10,7.5,5.31,21.3,13.9,11,11.42,5.99,12.8,22.85,8.05,11.9,16.1,12.45,9.5,11,11.1,15.3,6,15.5,18.5,4.01,8,12.2,12,9,15,9,8,10,10.54,13.15,11.6,,7,8.58,19.7,16.07,11.75,14.33,8.65,8.43,8.7,11,9,,3.8163664333,20,20024,17,19973,8
Denver,San Diego,10,9.46,9.27,8,7.99,7.75,4.44,8,2.5,15.35,12,6.99,5.45,12.84,2.63,8.21,2.4,8.59,10.83,11.06,13.86,7,6,10,,,9.18,7.61,6.7,10,7,9.44,9,11,7,8.5,8.48,8.1,0.35,7.41,7.7,8.14,10.24,-1.3,8,13.5,11.7,10,10.5,13.4,7.21,8.07,5.5,9,8.25,12,3.8,6,3,5.53,9.05,8.7,,6,9.6,12.7,3.58,2.75,2.69,4.82,7.21,12.61,4,7.5,,3.4323799965,21,20024,35,19973,8
Jacksonville,Miami,-7,-6.96,-4.7,-8,-12.43,-6.32,-2.49,-4,-4,-7.37,-17,-4.18,-8.45,5.07,-5.85,-6.46,-4.57,-5.7,-10.1,-10.75,-7,-0.63,-5,-7,,,-5.04,-6.32,-10.6,-7,-4.5,-3.85,-9.3,-4.1,-6,-4.5,-4.99,-6.7,-6.1,-3.89,-8.4,-7.12,-10.61,-10.4,-6.05,-12.4,-6.4,-7,-1.5,-5.7,-2.29,-7.2,-11.9,-3.5,-4,-9,-0.5,-6,-2,-6.71,-10.45,-1.7,,-9,-7.33,-13.5,-4.79,-3,-5.44,-7.47,-7.5,3.46,-6,-2.2,,3.6615034501,27,20024,13,19973,8
Kansas City,St. Louis,8,11.46,10.11,10,9.93,10.38,7.09,10,4.25,17.05,-1,7.54,3.99,17.57,10.04,15.84,8.65,8.85,14.25,18.12,11.86,-8.8,10,8,,,8.68,13.99,13.7,7.5,6,10.35,14.3,15.2,10,9.73,6.73,9.2,8.6,6.87,10.2,3.71,19.03,9,10,14.4,16.6,9,11,15,5.99,6.3,12.5,14,10.25,17,1.9,7,9.5,9.01,21.15,12.4,,10,12.93,28.9,4.58,6.88,8.22,9.25,4.17,9.95,-7,9.3,,5.309791025,7,20024,34,19973,8
N.Y. Jets,Buffalo,3,-1.14,-3.66,-4,0.59,-1.39,0.69,0.01,-2,-3.19,5,-0.72,-0.18,-11.84,-2.25,-0.79,-0.71,0.37,-2.1,0.3,-1.28,2.48,-1,1.5,,,-1.34,-1.07,1.1,2.5,2.5,-1.43,-1.2,0.6,-1,-2.66,0.62,-1,-6.75,-3.14,0.9,-7,-2.41,-5.5,-1,-2.8,-2.6,0.01,2.5,4.3,3.22,0.75,0.5,2,0.25,-5,-1.8,-4,-0.5,-11.67,-3.65,-1.4,,-3,-0.98,-6,1.37,-1.25,-5.25,1.76,0.01,3.72,-3,-0.3,,2.9817162043,43,20024,23,19973,8
New England,Chicago,5.5,7.79,3.72,9,7.37,7.84,6.07,8,4.5,8.57,8,7.09,12.19,7.57,7.28,9.53,6.32,6.3,8.77,11.03,2.57,-5.75,11,6,,,7.65,7.61,7.7,7,6.5,6.19,15.4,9.6,7,7.79,13.54,9.2,8.45,6.73,6.4,9.25,9.79,11.3,7.63,5.6,12.1,7,13.5,14.1,4.62,8.7,7.8,3.5,6,8,1.1,1,10,6.19,8.75,5.5,,9,7.77,14.7,6.55,7.25,10,6.57,6.29,4.9,7,5.3,,2.8841602,23,20024,51,19973,8
New Orleans,Green Bay,1,-1.53,-0.92,-6,3.6,-2.4,1.62,-4,0.25,-6.67,9,-0.88,3.5,-8.19,-2.46,-5.76,-1.44,0.35,-10.73,-7.98,-7,-1.72,-1,0.5,,,-0.71,-2.63,-0.2,0,2,-3.18,-4.6,-3.8,-1,-4.06,3.7,-6.7,-5.05,-1.02,-1.5,-12.38,-10.35,-4.2,-1.41,-5.1,-5.7,0.01,0.01,-7.1,4.16,-1.37,-0.1,-0.5,-0.5,-9,-1.2,-8,1.25,-5.4,-7.85,-1.1,,-4,-2.41,-13.4,-0.34,0.75,-0.74,-0.31,-0.6,6.52,-1,-1.6,,4.1622765891,23,20024,44,19973,8
Pittsburgh,Indianapolis,-3,-5.95,-6.82,-6,-3.77,-6.5,-2.37,-5,-6,-16.37,3,-2.34,-0.82,2.27,-4.26,-9.77,-3.12,-4.74,-7,-11.21,-7,-7,-5,-3.5,,,-1.86,-8.57,-7.8,-3,-3,-7.67,-8.3,-9.1,-4,-5.62,0.33,-8.3,-1.95,-2.94,-8.6,-6.45,-18.36,-5.8,-6.2,-16.4,-9.4,-7,-4.5,-13,1.5,-5.5,-7.8,-11,-4.5,-15,-3.6,-4,-6.5,-6.86,-14.3,-8.6,,2,-7.37,-18.2,-2.77,-6.25,-7.1,-6.15,-6.86,-14.13,-4,-7.7,,4.701831077,34,20024,51,19973,8
Tampa Bay,Minnesota,2.5,1.6,-0.07,-2,-1.8,-1.46,-2.9,0.01,0.01,-8.41,-6,-1.52,-0.68,0.55,0.07,-3.53,0.33,2.78,-7.14,-1.33,4.58,-0.8,-1,1.5,,,2.05,-0.3,1.9,2.5,2.5,0.4,1.3,-0.8,-2,-3.02,-3.99,0.3,-1,2.72,0.1,-7,-8.77,-6.8,-0.9,-12.3,-1.8,-5,8,-1.8,3.34,-1.67,1.4,-2,1.75,-8,4.1,-4,5.5,-2.82,-7.9,0.1,,-3,-2.6,-8.4,0.75,2.75,0.63,-0.42,4.86,-4.3,-5,-0.8,,3.6240722369,19,20024,13,19973,8
Tennessee,Houston,-3,-1.86,-0.24,-2,-0.45,-1.03,-1.91,-3,-1,-3.37,-5,-1.64,-4.54,3.72,-2.64,-2.47,-0.99,-1.78,-3.95,-6.15,-12,-8.79,2,-3,,,0.55,-2.3,1.9,-1,-1,-3.61,-1.2,-0.2,1,-0.27,3.28,-1.1,-1.7,3.94,0.6,-0.98,-4.06,0.3,-1.15,-2.1,1.2,-1,-4,-3.1,3.94,-2.98,1.7,-3,-0.25,-4,2.7,-1,3.5,-2.41,-4,1.6,,4,-1.31,-6.3,3.49,1.25,4.02,1.02,-2.86,-2.32,-3,0.9,,2.9937162324,30,20024,16,19973,8
Carolina,New Orleans,-3.5,-1.98,-2.58,2,0.24,-0.22,-0.9,-2,1,4.71,7,1.86,0.31,13.73,-1.36,-2.9,-0.63,-2.56,2.35,-1.08,6.5,10.26,-3,-3,,,-0.69,-1.04,-2.6,-3.5,-1.5,-0.69,-1.1,1.53,2,1.86,0.51,-2.8,2.27,-0.67,-2.5,4.53,-3.08,-8.3,-0.63,-1,-0.1,-2,-3.5,-7.9,2.5,-1.88,-2.8,-3,-0.5,-2,-0.1,-1,-2.5,0.56,2.45,0.8,-2,3,0.8,-6.8,2.7,1,7.37,0.54,-2.57,-5.85,-3,-0.2,-0.57,3.4250562311,28,20031,10,19973,9
Cincinnati,Jacksonville,11,15.59,11.59,15,17.76,13.57,6.99,11,13,20.04,21,12.58,8.6,20.04,11.01,9.32,10.13,13.74,15.51,5.02,15,7,14,11.5,,,13.91,13.95,16.9,11.5,13,10.15,18.9,13.33,17,13.14,17.88,12.7,14.43,11.03,16.7,15.09,15.09,14.9,13.5,13.5,13,14,20,9.7,10.29,10.71,17.2,17.5,12.25,18,12.6,8,15,11.6,15.95,11.9,12.5,14,9.15,19.1,12.64,15.75,23.25,12.87,14.08,4.32,12,10,11.36,3.6925359887,23,20031,33,19973,9
Cleveland,Tampa Bay,7.5,8.15,9.99,12,5.99,9.97,8.89,8,7.5,22.83,5,9.96,9.04,24.4,11.44,9.94,9.69,7.09,15.72,7.28,6.5,16.75,8,7.5,,,6.46,9.78,6,7,6,10.98,8.6,12.53,9,14.63,5.66,8.5,11.3,6.7,8.4,7,17.47,12.4,9,17,11.7,8,4,7.8,2.49,5.89,7,12,6.75,17,8.7,8,9,10.79,16.95,12.2,5.5,5,10.45,23,3.12,7.75,10.25,8.09,6.29,13.79,8,10.5,6.53,4.3699882063,17,20031,22,19973,9
