Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linehanson,linepig,linenutshell,linecpa,lineexcel,linemore,linedunk,linecpa2,linepyth,lineelo,lineeff,linesaggm,linel2,linel1,linel2h,linefox,lineca,linebihl,lineesp2,linesagr,linesagp,linepi,linemidweek,lineopen,linemds,linecurry,linejohns,linemass,linecoff,linetalis,lineesp,lineturner,linedonchess,linepim,linelog,linepugh,lineteamrank,linemed,linekerns,linejens,lineash,lineffw,lineburd,linecrunch,linedok,linepib,linest,linecovers,lineround,lineclean,linewhatif,lineespn,linerwp,linedwig,lineps,linegametime,linedoi,linelinx,linestjohn,lineppg,linel2to,lineherbert,linefeng,lineiron,linekalin,linestd,rscore,hscore,week
Carolina,Minnesota,6.5,4.2,5.32,3,7.26,6.39,16.22,6,6.5,1.84,9,10.76,8.88,1.33,2.69,6.47,3.19,3.31,-1.62,-2.62,3.63,10,6.5,,4.9,3.2,4.92,9.5,7,7.5,5.28,9.57,14.91,4.67,,4.49,2.8,-8.78,6.68,9.3,-7,10.68,5.9,6.23,15.2,8.8,4,7,8.9,4.8,8.32,9.9,,6,15,11,5.3,6.52,3.29,1,8.2,7,4.04,3.74,7.47,14,4.69,8.46,9.1,5.4,7.15,4.3489832437,22,10,3
Cincinnati,Denver,3.5,1.79,-4.39,-1,1.29,0.15,0.53,2,1.75,-0.54,-7,-4.04,-1.09,-0.75,-6.32,3.24,-2.5,1.4,-0.68,0.12,8.8,4,3,,1.4,1.31,2.12,3.5,3,3,4.7,-5.17,-19.19,-0.16,,2.56,-0.2,4.44,4.68,6.2,-5.02,-0.29,3.1,1.3,-0.9,1.2,2,2,0.5,-2.8,4.23,4.3,,2,5,1.5,-1,2.28,-14.25,3.35,1.7,3,2.23,0.42,1.77,-6,-2.08,4.36,2.9,2.34,0.89,4.2798569858,29,17,3
Dallas,Chicago,6.5,6.43,4.25,3,1.64,3.69,-0.27,10,5.75,12.47,-8,7.68,8.49,9.6,14.74,4.75,9.64,6.74,5.6,6.35,2.38,7,6.5,,6.9,6.83,6.16,2.2,7,7.5,-0.67,6.38,-20.49,0.72,,-1.82,6.3,-2.22,2.18,4.6,4.48,3.53,5.1,4.68,4.3,8.5,3,6,7.4,3.5,6.57,2,,8,-5,1.5,-4.3,4.45,-8.17,1.25,-13,6,6.52,1.89,5.19,11,3.89,4.66,6.6,4.29,4.5,5.8647824602,17,31,3
Green Bay,Detroit,6.5,8.23,9.33,5,10.38,6.87,23.99,12,3.25,8.66,15,7.05,7.11,9.57,2.35,9.64,2.67,7.9,1.82,1.24,12.21,10,6.5,,7.6,7.78,8.55,7.7,7.5,8.5,7.12,9.51,2.71,5.86,,5.11,7.8,3,7.08,7.2,9.57,6.23,9.1,7.1,5.3,10.5,5,7,13.4,3.2,6.67,8.1,,8.5,6,0.5,11.4,11.43,1.8,6.4,0.6,9,6.27,3.91,8.82,-4.5,-1.51,0.36,11.3,4.95,6.94,4.2489585929,27,34,3
Indianapolis,San Diego,0,2.38,-4.76,2,0.13,-0.99,-4.01,4,0.5,1.94,-1,-2.86,-0.72,1.42,-8.6,-6.74,-6.04,2.85,-5.58,-5.15,1.04,-3,0,,-0.1,2.63,2.19,0.2,3,3,2.94,1.04,-5.49,-0.2,,0.54,-3.3,-2.22,2.69,1,-3.28,-6.67,0.5,0.02,-12.6,-6.5,-1,1,-11,-3.9,0.22,-0.7,,2,4,1,9.3,3.4,-9.53,-0.45,-13.7,2.5,2.63,8.42,0.64,-3,-3.38,2.15,7.3,0.14,2.47,4.6475560524,22,26,3
Jacksonville,Baltimore,-3,-1.76,-6.97,-4,-4.38,-3.86,11.18,0.01,-0.25,-4.07,-3,-8.18,-7.13,-4.24,-13.18,-4.34,-5.61,-2.55,-10.37,-10.89,-4.09,-6,-3,,-2.7,-2.73,-1.12,-0.6,-1,0,1.6,-12.32,-2.99,-4.04,,-3.6,-4.4,-12.56,-0.52,-1,-7,-6.5,-0.4,-3.79,-6.1,-4.6,-4,-1,-6.5,1.2,-5.38,-1,,-1,0.01,4,-1,1.29,-9.38,-6.65,-23.2,0.5,-1.47,-3.92,-3.66,1.5,-9.69,-1.63,1.9,-0.91,-2.05,4.9480749524,19,17,3
Kansas City,N.Y. Jets,3,3.48,2.59,5,7.96,4.74,-4.13,5,3,2.75,7,0.1,4.32,4.27,0.79,0.72,2.03,3.8,9.83,10.01,2.04,6,3,,3.1,3.72,3.3,0.9,3,3.5,6.85,1.1,20.01,5.8,,9.99,3.2,18.56,4.88,2.9,7,5.35,6.6,4.11,-2.6,4.8,7,6,2.2,2.7,0.93,0.4,,4,17,0.01,2.4,4.08,12.57,6.25,2.9,4.5,5.09,6.14,3.37,-5,11.95,7.14,5.5,4.14,4.04,4.5587901402,3,24,3
Miami,Cleveland,9.5,8.84,3.61,5,5.47,6.68,8.38,9,8.25,6.94,12,10.22,8.68,10.8,8.45,12.66,6.26,7.8,6.35,6.51,14.41,8,9.5,,8.9,7.74,9.54,9.2,9.5,7.5,4.82,8.54,-8.69,6.21,,4.89,8.3,3,7.68,9,9.9,8.53,9.6,7.9,6.7,12.5,6,7,11.1,8.9,8.11,9.8,,8.5,-1,2.5,7.4,12.27,-5.47,10.15,-15.9,6.5,5.49,8.03,8.84,4,3.18,9.4,8,5.46,6.77,4.7172469947,24,30,3
N.Y. Giants,Washington,3,6.38,9.62,5,3.42,5.77,2.72,8,4.75,17.59,4,6.1,9.31,12.89,14.37,9.09,9.15,7.17,1.61,0.94,4.23,1,3,,5.2,7.32,5.71,4.2,4.5,4,2.55,5.76,3.31,2.93,,-0.12,6,20,5.58,2.7,8.61,2.74,6.5,4.88,11.9,11.2,4,4,5.2,4.3,5.32,4.5,,4.5,5,2.5,1,6.26,11.96,13.1,1.4,6.5,6.57,-1.2,4.33,0.5,3.29,2.83,1.8,4.16,4.64,4.2000016949,29,27,3
New England,Houston,0,6.44,0.73,5,9.87,3.36,-2.08,9,8.25,7.61,5,6.41,7.29,7.11,-2.01,6.11,0.28,6.31,-6.39,-6.85,-4.87,9,0.5,,1,6.2,6.6,2.6,0,-1.5,7.43,6.04,-17.69,7.23,,6.38,3,4.44,5.88,-0.7,-7,6.8,8.2,5.43,4.4,11.9,4,9,6.6,1,-1.79,2.7,,2.5,9,7,-2.6,4.7,-11.13,-0.6,-19.9,0.01,7.96,5.7,5.15,8,-7.03,3.85,8.2,5.09,4.84,6.2059203076,0,27,3
