Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linehanson,linepig,linenutshell,linecpa,lineexcel,linemore,linedunk,linecpa2,linepyth,lineelo,lineeff,linesaggm,linel2,linel1,linel2h,linefox,lineca,linebihl,lineesp2,linesagr,linesagp,linepi,linemidweek,lineopen,linemds,linecurry,linejohns,linemass,linecoff,linetalis,lineesp,lineturner,linedonchess,linepim,linelog,linepugh,lineteamrank,linemed,linekerns,linejens,lineash,lineffw,lineburd,linecrunch,linedok,linepib,linest,linecovers,lineround,lineclean,linewhatif,lineespn,linerwp,linedwig,lineps,linegametime,linedoi,linelinx,linestjohn,lineppg,linel2to,lineherbert,linefeng,lineiron,linekalin,linestd,rscore,hscore,week
Seattle,Atlanta,6,3.91,-0.88,3,11.87,2.15,6.61,4,2,-2.63,-1,0.28,5.17,0.2,5.22,-6.28,4.62,4.07,-4.94,-5.77,-7,8,5.5,,2,3.78,4.02,7.9,6.5,5.5,,5.21,-5.41,3.15,0.03,11.84,-2.1,3,5.57,2.8,-7.27,-3.65,7.4,3,-3.6,-0.3,4,8,1,0.5,5.68,8.3,-1,5,-7,3,1.4,6.92,-4.34,-0.55,-4.5,5,0.91,4.59,0.51,-13.25,1.39,9.16,6.5,5.56,5.81,4.7377923948,24,26,6
Tennessee,Cleveland,7,7.62,9.13,9,0.72,8.11,6.26,8,4,8.57,-4,10.2,8.38,13.56,9.06,12,7.43,7.9,10.51,10.59,-3.42,3,7,,6.8,8,7.42,9.6,7,6,,8.96,12.59,5.26,9.92,7.07,6.6,10.97,8.97,10.2,7,11.2,6.4,8.42,12.4,13.8,7,4,9.5,6,8.46,9.8,10.5,6.5,13,5,3.3,12.36,21.36,11.55,11.3,7,10.06,9.32,7.11,3,11.21,8.08,7.5,4.78,3.88,3.6783780282,26,28,6
Washington,Philadelphia,-2.5,-2.36,-5.21,-2,-5.36,-3.95,-0.2,2,-0.75,-14.04,1,-5.57,-2.93,-1.89,-7.97,-10.52,-5.97,-1.28,-12.81,-13.48,-9.7,-3,-2.5,,-1.3,-1.37,-3.12,-3.3,-2.5,1.5,,2.16,-6.91,-2.84,-0.73,-0.73,-0.6,-1.38,-1.93,0.2,7.23,-11.74,-1.5,-2.93,-13,-5.7,-5,-1,-5.7,-1.2,-4.78,-2.8,-10,1.5,-7,1,-4.5,-2.41,-6.26,-10.85,-9.8,3,-5.07,1.18,-6.61,-3.75,-11.02,-3.7,1.8,-0.85,-0.36,4.311654013,20,27,6
Arizona,Seattle,1,3.22,0.83,0.25,3.32,2.8,6.66,1,3.46,6.07,-2,4.33,1.39,4.14,4.14,1.43,3.9,1.58,6.27,6.51,12.94,1,1,6.46,1.4,1.49,4.74,2.5,2,2.5,,-0.12,4.16,2.04,-0.02,-1.88,0.2,-0.74,3.45,3.3,-3.38,7.24,4.2,2.5,5.3,2.8,2,2,0.3,1.6,0.32,2.3,12,1,8,2.5,-3.4,5.28,1.22,6.1,2.6,2.5,6.08,1.79,6.12,6.5,3.7,6.51,2.8,2.27,1.65,2.6904017067,6,6,7
Atlanta,San Diego,6,5.4,3.5,9,3.38,6.7,6.44,8,7.7,9.16,11,6.7,8.73,8.14,4.06,8.02,4.2,6.19,5.8,6.24,2.72,7,6,8.94,5.8,6.31,4.77,6.1,6.5,6,,12.66,7.56,4.84,8.55,2.7,5.1,10.86,7.05,6.6,13.5,5.57,3.7,6.44,10.5,10,4,6,10.5,5.4,4.82,7,1,9,7,6.5,5,4.48,11.02,7.3,8.6,5,4.47,12.18,6.76,6.33,4.99,7.97,6.7,4.79,4.88,2.3780277258,33,30,7
Cincinnati,Cleveland,11.5,10.68,4.78,10,13.33,10.16,5.69,11,10.4,10.59,18,11.63,16.22,15.08,4.97,5.89,4.46,11.88,6.51,6.22,7.56,15,11.5,8.85,9.3,11.69,10.26,14.1,10,10,,12.22,7.36,11.97,8.59,15.51,8.5,13.75,15.74,12.9,7,6.42,11.7,10.26,9.3,11.1,10,11,9.7,4.8,10.03,14.6,8,10,8,4.5,4.2,12.35,19.67,7.05,6.9,9,10.68,15.19,7.37,1.33,6.97,11.14,10.9,8.54,10.38,3.7596894316,17,31,7
Denver,Houston,7.5,6.98,2.37,4,9.84,7.32,4.29,7,8.06,8.18,9,7.59,10.29,6.1,9.28,6.3,7.22,5.33,9.94,9.96,15.2,10,7.5,7.83,5.2,5.22,8.3,11.1,7.5,6,,11.21,6.86,8.43,3.39,4.07,2.8,4.96,7.25,8.1,-1.62,7.32,7.8,7.25,7.1,9.6,6,9,12.8,5.4,6.16,11.1,12.5,7,5,2.5,3.8,9.06,5.64,5.5,7.8,6,6.72,5.42,7.42,7.33,9.25,9.06,7.2,6.82,7.43,2.3797786849,9,27,7
Detroit,Washington,0,1.16,-0.01,0.25,4.31,0.34,3.62,0.01,0.74,-1.58,1,-1.85,0.88,-2.18,2.7,-2.33,2.78,0.62,-1.1,-0.4,-14.24,2,0,-0.27,-0.3,0.56,1.6,0.5,1,1,,-0.78,-0.54,0.15,-1.49,2.35,-1.6,0.84,-0.55,1.3,-7.05,-1.14,3.9,0.7,-3.8,0.7,3,3,-0.6,-8.2,1.67,1.1,1.5,1,-2,2.5,-5.3,1.29,-3.98,0.95,-0.1,1.5,1.63,1.45,-2.36,3.33,0.96,0.16,-0.3,2.26,0.95,2.1556522495,17,20,7
Green Bay,Chicago,7.5,9.86,10.87,11,10.93,10.49,4.51,11,8.87,9.62,10,9.29,15.17,13.43,8.14,9.01,7.18,10.71,10.86,10.85,10.55,13,8.5,13.22,9,10.69,9.32,11.8,7.5,9,,14.61,12.66,10.44,11.97,6.68,9,9.44,16.05,12.7,7,11.3,10.5,10.8,6.5,11.7,8,11,11.3,4.7,8.43,12.1,12,10.5,15,3,8.5,10.8,16.49,11.15,12.8,9,10.94,8.85,5.89,7.97,12.81,4.72,12.6,7.19,9.11,2.7319217613,10,26,7
Jacksonville,Oakland,1.5,-0.26,-2.48,-3,-2.61,-0.77,3.79,3,-0.71,0.26,-1,0.37,-3.3,0.94,0.66,-0.79,1.58,-0.75,-3.08,-3.47,-5.81,-2,1.5,-3.66,0.5,-0.76,0.09,1.4,1,1,,-1.34,-0.74,-1.8,-2.39,-2.07,-0.01,-3.47,-4.05,1.8,-7.77,-2.38,0.5,-0.76,-0.6,-2.6,0.01,1,2.2,5.7,0.24,0.8,1.5,-1.5,-7,4.5,-4.3,1.87,-4.82,-1.45,-1.4,2.5,-2.66,-2.97,-4.71,-3.13,3.12,1.48,-0.8,0.92,0.95,2.4553243713,33,16,7
Kansas City,New Orleans,6.5,8.35,6.33,9,12.05,7.59,4.5,10,6.22,8.7,9,8.88,12.2,11.16,5.24,7.76,4.64,8.8,6.02,5.15,-10.09,14,6.5,8.12,7.3,8.74,8.09,8.4,6.5,6.5,,9.92,7.66,8.92,7.46,17.06,8.1,5.65,9.45,5.9,8.5,5.06,9.1,8.09,6.7,10.5,9,10,10.5,0.3,4.97,9.5,3,9,6,0.5,5.1,5.6,9.88,8.8,6.1,8,4.88,7.13,3.81,-7.2,4.35,7.31,7.5,7.89,9.25,3.4416257281,21,27,7
Los Angeles,N.Y. Giants,-2.5,-0.59,-3.98,-1,-0.54,-0.43,1.94,-2,0.01,-1.5,15,-0.85,3.7,-2.23,-1.43,0.45,-0.85,-0.37,-3.11,-3.27,3.05,3,-2.5,0.76,-2,-0.4,-0.75,0.5,-2.5,-3,,4.77,-3.8,-1.13,-2.24,1.34,-0.9,2.59,-1.9,1.7,-1.98,-4.15,0.6,-0.75,-1.9,3.3,-1,1,2.2,-8.3,-3.24,0.4,-3,-0.5,-3,2,1.2,-4.86,-4.37,-2.7,-2.2,-2,-0.14,3.96,-0.24,-2,-8.02,4.4,0.2,2.71,0.03,3.2909454205,17,10,7
Miami,Buffalo,-3,-4.66,-4.21,-5,-5.31,-5.52,1.33,-3,-2.75,-9.29,-4,-11.57,-9.1,-4.84,-5.2,-9.49,-3,-4.34,-9.17,-9.22,-11.86,-7,-3,-7.16,-5.4,-4.46,-4.93,-6.7,-3,-3,,-12.46,-5.94,-5.98,-4.62,-5.93,-7.8,-3.06,-6.45,-5.9,-3.89,-9.47,-2.6,-5.2,-9.1,-7.1,-3,-5,-11,-0.1,-3.68,-7.9,-4,-2,-7,-1,-2.9,-3.18,-9.64,-7.45,-3.6,-3.5,-1.77,-4.74,-7.18,-5.33,-1.57,-2.8,-2,-3.41,-5.4,2.8553155686,25,28,7
N.Y. Jets,Baltimore,1.5,-0.5,-3.87,-2,3.84,0.03,2,2,4.57,0.75,8,1.76,1.01,1.21,-4.52,-2.3,-2.72,-0.2,-3.68,-4.25,-13.64,4,1.5,-2.8,-0.4,-0.27,-0.7,3.6,0,1,,4.14,-3.14,2.98,-2.62,2.21,-1.9,-1.84,2.25,0.2,-3.59,-5.53,1.4,0.5,-4.4,1.4,1,4,0.5,-0.3,-1.1,5.1,-2,0.5,-3,2.5,-2.1,1.15,-9.22,-2.6,-1.1,0.5,0.98,3.73,-4.45,-1.67,2.82,1.96,0.9,1.87,0.86,3.0575878168,16,24,7
Philadelphia,Minnesota,-3,-0.7,-6.94,-4,-1.18,-1.19,3.92,-2,1.46,-5.17,-10,-4.66,-3.35,-0.69,2.19,-0.44,2.19,-2.39,2.73,3.2,17,-2,-3,1.13,-4,-2.36,0.44,-2.1,-2.5,-2.5,,-9.05,-1.34,-2.98,-4,-4.94,-5.5,0.19,-0.85,-2.8,-7,0.89,-0.1,-1,1.6,-0.9,2,-1,-2.9,-1.3,-0.49,-3.2,6,-2,-1,3.5,-3.3,-2.23,-7.6,-0.55,2.4,-2.5,1.9,-2.29,-0.32,5.2,4.02,-1.84,-0.4,0.4,-0.83,3.2141560233,10,21,7
Pittsburgh,New England,-7.5,0.71,4.08,-2,0.51,-0.02,3.72,-1,5.98,-0.64,10,0.84,3.7,0.14,-0.36,0.05,-0.19,0.95,-0.46,-0.94,-4.46,2,-6,0.45,-6.1,0.91,0.53,-4,-7,-7,,-2.41,1.06,0.33,-0.67,-0.15,-5.2,3.24,1.25,-2.9,-1.15,-3.15,0.2,0.33,-2.6,3.2,0.01,1,-2.8,-9.8,-5.84,-3.6,1.5,-4.5,-3,2,-1,-3.18,-1.82,0.8,3,-4.5,2.35,4.48,-3.14,2.83,4.07,-8.42,2.2,1.16,-0.36,3.2421375954,27,16,7
San Francisco,Tampa Bay,1.5,2,-4.44,1,4.49,0.9,1.13,1,3.75,3.32,6,-0.21,1.32,3.35,3.44,-2.27,3.83,1.03,2.25,2.63,13.8,1,1.5,3.47,-2.4,1.01,2.83,-0.9,-2.5,-2.5,,-3.86,1.36,-0.53,0.6,0.3,-2.8,-0.68,-2.45,-0.4,-4.07,3.85,2,1,-1.1,1.1,2,3,-1.1,3.5,-2.92,-0.8,4,-1.5,4,-2,-3.9,5.23,-2.47,6.2,-0.8,-0.5,0.39,2.2,-0.8,4.37,-1.19,1.76,-1.2,1.85,0.61,2.5407128711,34,17,7
Tennessee,Indianapolis,3.5,0.69,5.91,5,-2.8,2.57,7.2,2,3.53,-0.3,-4,1.75,1.5,5.33,3.41,2.9,3.13,0.81,4.8,5.2,5.34,1,3.5,7.33,1.7,1.1,0.4,1.6,2.5,2,,1.22,5.76,-0.35,5.86,1.56,0.8,3.67,1.55,1.4,9.93,5.06,0,2.2,6.7,6.5,3,-1,2.2,6.9,2.29,2,8,3,7,2,3.6,2.74,7.55,5.6,7,-0.5,2.67,1.26,3.43,-4.67,4.66,2.16,2.2,1.35,-2.58,2.8683007617,34,26,7
Atlanta,Green Bay,3,2.05,1.33,1,0.34,3.5,4.68,2,6.61,5.46,-3,5.98,3.81,-0.35,3.17,6.35,3.6,1.11,7.26,7.54,-1.7,3,3,5.98,2.6,1.33,2.55,2.8,3,2.5,,6.62,5.82,1.56,1.05,-2.03,2.1,4.58,2.14,5.2,-3.76,4.76,0.9,3,9.7,8.8,2,3,10.1,7.6,2.52,3.8,1.5,2,4,4.5,5,1.33,4.08,1.7,5,1.5,1.54,3.58,2.39,11.38,5.96,2.14,0.5,2.8,1.02,2.7854250155,32,33,8
Buffalo,New England,-6,-0.12,0.12,-3,-1.11,-0.59,4.87,-1,1.88,1.19,-5,-1.64,1.69,-5.15,1.3,1.19,0.82,-0.77,0.08,-0.1,-14.11,1,-4.5,-0.15,-4.8,-0.65,0.35,-1.6,-6,-5.5,,-5.03,0.42,-0.75,-2.33,-0.88,-3.1,2.01,-0.86,0.3,-5.78,-0.82,-0.7,-0.43,-3.6,0.4,-2,1,1.3,-5.5,-3.81,-1.8,1.5,-4,-3,3.5,1,-0.4,-1.9,2.55,3.5,-1.5,-1.9,3.21,-3.53,3.57,-0.43,-5.65,-0.4,0.72,-2.18,2.3542892436,41,25,8
Carolina,Arizona,3,-1.7,-7.59,-3,0.42,-1.55,2.84,0.01,-1.69,-3.97,4,-3.44,-1.7,-1.51,-3.83,-2.8,-2.41,-1.41,-4.08,-3.89,-3.74,-1,2,-3.27,-0.7,-1.55,-2.03,-1.2,2.5,2.5,,-3.58,-1.28,-0.09,-4.11,4.24,-3.9,-2.06,-0.56,1,-5.99,-6.93,-1.7,-1.41,-4.7,-0.3,0.01,2,-4.6,-0.4,1.4,-1.8,-10,0.01,-7,5,-3.2,4.08,-6.27,-6.2,-0.9,0.5,-1.24,-0.38,-7.32,2.33,1.39,10.44,0.5,0.31,1.39,3.0535859796,20,30,8
Chicago,Minnesota,-4.5,-7.99,-12.64,-10,-7.89,-9.3,3.02,-7,-6.78,-12.91,-26,-16.34,-15.94,-3.86,-9.27,-11.6,-4.8,-8.43,-12.67,-13.1,-7,-11,-5.5,-12.51,-8.7,-8.59,-7.62,-10.6,-4.5,-6,,-17.08,-12.48,-11.53,-11.15,-7.82,-11.4,-7.11,-11.07,-10.6,-12.5,-13.37,-5.2,-8.7,-8,-11.2,-6,-7,-14.6,1.8,-6.57,-11.4,-8.5,-5.5,-14,0.5,-12.4,-4.65,-12.02,-10.2,-9.2,-4.5,-7.54,-6.27,-7.86,-3.64,-6.56,-2.9,-6.7,-5.22,-6.42,4.6011372522,10,20,8
Cincinnati,Washington,3,1.14,-3.55,-1,6.56,0.16,7.72,0.01,1.89,-0.95,-3,1.95,3.87,-0.93,-1.98,-3.35,-1.57,1.09,-1.85,-1.55,-11.98,5,2.5,1.23,1.1,0.84,1.35,2.1,3,2,,-2.37,-2.8,-0.1,-2.38,1.53,-0.9,-4.14,0.9,1.8,-1.09,-2.24,4.2,0,2.9,1,2,3,-2.2,-0.6,1.11,2.3,-1,2.5,1,-0.5,-2.4,2.44,-5.27,-8.4,-5.2,0.01,3.53,-1.55,-0.05,-2.71,-3.1,0.3,-1.1,3.96,1.5,2.8744258664,27,27,8
Cleveland,N.Y. Jets,-2.5,-2.88,-2.27,-4,-4.18,-2.63,1.22,-2,0.66,0.63,-4,-6.19,-5.8,-4.75,2.39,-0.95,2.09,-4.79,0.4,1.16,-0.32,-4,-2.5,0.56,-2.3,-4.72,-1.86,-6.5,-3,-4.5,,-4.35,-0.98,-4.89,-1.45,-8.51,-2.1,-4.37,-4.86,-4.3,-7,-0.4,-2.3,-2.4,-2.4,-2.1,-3,-2,-1.2,-2.8,-2.49,-7.7,2,0.01,-2,-1,2.5,-3.63,-13.67,-3.6,-0.9,-1.5,-3.57,-8.26,-0.8,3.57,-1.91,-3.94,-3.1,-1.33,-3.01,3.0034977362,31,28,8
Dallas,Philadelphia,4.5,3.28,-0.06,2,-1.08,2.32,7.43,6,1.15,-1.08,-2,1.62,3.72,2.02,1.03,1.5,1.73,4.61,-1.04,-1.84,2.69,3,4,1.09,3.6,4.58,2.34,0.4,4,4.5,,7.24,1.62,0.92,3.72,0.23,2.6,5.65,1.23,2,5.42,-1.69,2.8,2,2.8,3.4,-1,2,2.5,7.8,5.01,1.2,-1,7,-1,4,4.7,3.79,2.52,7.2,1.5,6,0.88,5.31,0.58,2.5,1.73,2.49,3.7,1.65,2.28,2.4510258431,23,29,8
Denver,San Diego,4,6.76,2.77,8,8.97,6.3,3.9,5,6.63,5.5,17,6.27,13.26,5.94,6.58,1.59,5.85,7.41,5.19,5.24,3.06,9,4.5,6.68,4.2,7.31,6.37,9,5.5,6.5,,9.58,7.02,6.89,7.34,7.84,2.9,6.92,5.94,6.3,4.69,5.78,6.4,6.3,4,7.5,5,8,3.6,0.1,5.8,9,3.5,7.5,5,2.5,5.8,6.92,9.02,5.35,3.3,4.5,6.22,7.42,5.13,-3.57,3.34,6.12,7.5,6.16,7.44,2.9723122499,19,27,8
Houston,Detroit,2.5,2.96,2.15,2,1.78,2.04,3.51,3,3.69,1.28,16,0.3,6.25,5.21,-1.17,-0.78,0.09,4.11,-0.11,-0.2,9.88,3,2.5,1.91,1.2,4.04,2.05,1.8,2.5,2.5,,-1.48,2.02,1.63,1.84,2.68,-0.2,4.39,2.34,3.2,3.39,-0.72,3.1,2,3.2,2.9,1,2,-3.5,1.5,0.88,1.7,-1.5,4.5,2,2.5,7.3,4.8,1.38,-0.25,-2.1,2,2.75,4.39,0.81,-5.57,2.05,-0.57,1.5,1.37,1.55,2.8747577048,13,20,8
Indianapolis,Kansas City,-3,-1.07,-2.93,-3,-6.2,-1.99,4.37,-1,-2.09,-1.6,-8,-3.13,-6.28,-3.81,0.94,-2.09,1.38,-1.22,-1.42,-1.16,-0.63,-7,-3,-1.88,-2.5,-1.3,-0.93,-2.4,-2.5,-3,,-4.34,-2.58,-5.22,-1.36,-11.36,-2.6,-1,-4.37,-0.5,-4.39,-2.06,-1.8,-2.04,-2.2,-2,-3,-4,-2.9,3.1,-3.81,-3.4,-2,-1,-1,4.5,-3.6,1.46,-3.97,-0.05,-0.9,2,-0.32,-1.96,-1.19,7.05,3.05,-3.41,-0.7,-2.04,-2.04,2.9895498274,30,14,8
New Orleans,Seattle,-2.5,-4.21,2.2,-5,-7.68,-3.57,4.31,-5,-0.94,-4.94,-14,-5.48,-7.36,-0.48,-2.84,-2.28,-1.86,-5.29,-2.36,-1.93,-9.47,-10,-2.5,-0.53,-4.4,-5.2,-3.56,-6.8,-2.5,-3.5,,-6.78,-0.68,-3.93,-4.79,-10.81,-5.8,-1.26,-4.26,-2.1,-4.33,-2.14,-4.4,-3.97,0.01,-1.5,-5,-5,-7.3,1.7,-5.44,-8.1,6,-4,-1,5,-6.7,0.23,-3.97,-3.75,-0.7,-4,-2.03,-1.67,-6.48,9.13,-2.75,1.58,-4.4,-3.93,-5.75,3.8676315898,20,25,8
Tampa Bay,Oakland,-1,-0.33,-6.63,-2,-3.48,-0.35,4.15,1,-0.32,-5.11,-13,2.1,-1.29,-1.92,-0.86,0.53,-0.05,-0.15,0.08,-0.85,-13.07,2,-1,-0.69,0.2,-0.08,-0.57,1.5,1.5,0,,2.24,1.12,-0.58,-1.94,-2.36,-0.6,-0.05,0.24,0.9,-4.31,-1.73,-0.1,-0.05,5,1.1,0.01,1,1.8,2.5,-0.35,0.9,0.5,0.01,-3,4.5,-2,1.82,-2.32,1.65,1.4,0.5,-0.48,0.06,-3.43,-3.1,5.73,-0.4,-0.1,0.76,0.16,2.7167040526,30,24,8
Tennessee,Jacksonville,3,2.71,6.8,5,1.87,4.71,4.76,3,4.47,6.07,2,6,5.27,1.69,6.17,5.42,5.17,2.38,7.92,8.33,4.55,5,3,8.71,3,2.6,2.81,2.7,3.5,3,,4.33,7.32,2.65,5.37,2.02,2.5,4.06,4.54,2.6,3.64,7.89,2.1,4.76,5.9,8.5,4,2,5.9,6.4,2.06,3,10,6,8,2.5,4.9,5.68,8.61,6.9,7.6,2.5,6.08,3.46,7.43,3.36,6.05,-4.73,3.8,3.34,0.83,2.2002961978,22,36,8
Baltimore,Pittsburgh,-3.5,-2.37,-3.14,-3,-2.42,-2.87,6.06,-2,-6.53,1.68,-7,-11.32,-7.85,1.79,0.12,-3.12,1.12,-2.41,-5.19,-5.25,6,-5,-3.5,-3.67,-0.9,-2.31,-2.42,-4,2,3,,-7.81,-4.61,-4.47,-3.35,-4.37,-4.9,1.03,-4.09,-1.7,-4.45,-6.53,-2,-3,-5.1,-5.2,-2,-3,-4.6,,-1.43,-5.5,-1,-0.5,-7,4,1,-0.98,-5.31,-0.8,,2.5,-1.38,-0.68,-0.96,-3.29,-5.05,-4.83,-1.9,-1.91,-3.51,3.0928004378,14,21,9
Cleveland,Dallas,-7.5,-10.53,-16.36,-15,-8.28,-10.52,-1.78,-10,-2.31,-16.41,-6,-15.72,-16.81,-8.73,-9.34,-13.34,-6.11,-12.6,-11.75,-11.61,-16.35,-9,-8,-13.37,-9.7,-12.81,-9.48,-8.6,-7,-8,,-15.9,-13.61,-11.1,-15.37,-8.99,-11.9,-13.49,-13.6,-7.5,-7,-14.73,-5.8,-10,-12.6,-12.4,-6,-6,-14.1,,-9.33,-9,-10,-7.5,-17,-1.5,-8.5,-7.04,-13.67,-18.5,,-7.5,-6.02,-11.23,-8.99,-5.11,-8.35,-8.72,-9.8,-5.31,-7.7,3.9623924855,35,10,9
Green Bay,Indianapolis,7.5,7.39,9.36,9,11.69,8.26,4.93,8,5.36,7.33,23,6.35,9.71,7.51,6.37,6.41,5.49,7.39,8.65,8.62,5.87,12,7.5,9.45,6.9,7.4,7.38,9,7,7,,8.74,8.99,7.37,7.76,8.41,6.8,5.36,9.6,7.1,5.88,8.73,8,8,10,8.6,7,9,11.3,,6.99,9.5,10,9,11,4,5.5,8.18,10.5,9.5,,6.5,6.27,6.76,6.72,0.57,8.48,5.4,9,6.75,6.96,2.7543774046,31,26,9
Kansas City,Jacksonville,7.5,12.15,13.68,13,17.71,13.64,3.62,13,10.65,23.16,12,18.39,19.61,12.63,11.76,16.84,8.99,12.27,16.73,16.15,7,21,8.5,17.07,11.2,12.41,11.98,15,7.5,8.5,,25.55,16.39,17.64,13.34,15.83,13.4,7.5,15.4,13,11.08,15.97,12.3,13.1,13.1,16.8,10,15,22.9,,10.92,16.5,13.5,9.5,17,2.5,3.5,10.05,16.42,10.15,,11,8.29,10.57,10.58,5.86,9.23,-0.13,10.7,11.84,13.14,4.5876968115,14,19,9
Los Angeles,Carolina,-3,-0.77,-1.45,1,-3.58,-1.17,2.45,1,0.07,-0.65,-4,-5.28,0.65,7.9,-0.69,-0.26,0.67,-0.06,-1.48,-1.98,6.49,-4,-3,0.48,-2.1,0.18,-1.46,-1.4,-3,-3,,-4.23,-1.41,-2.86,2.34,-9.51,-1.2,6.97,-4.1,0.1,5.19,-3.53,-0.9,-1.41,-4.5,0.5,-2,-3,-2.1,,-2.28,-1.8,2,1,-1,-5,-1,-1.93,0.43,6.25,,-2,-3.11,4.17,-0.7,-8.14,-3.01,-2.89,-3.2,-1.63,-4.16,3.052373065,13,10,9
Miami,N.Y. Jets,3.5,3.89,7.32,5,0.94,4.47,3.98,5,6.37,9.74,-6,6.2,2.36,8.49,6.84,5.01,5.62,2.83,6.74,7.09,10.51,3,3.5,7.26,4.4,2.91,4.67,1.2,3.5,4,,5.5,7.49,3.27,6.58,-1.85,5.3,5.31,1.6,2.9,3.2,9.06,4.2,4.4,6.4,6.5,2,3,10,,3.96,0.4,7.5,3,9,-1,2.7,7.15,7.63,4.65,,3.5,1.99,3.64,5.2,4.11,6.71,2.08,3.8,2.93,2.09,2.8936854055,23,27,9
Minnesota,Detroit,6,8.98,11.48,7,8.29,7.99,5.75,8,8.73,8.95,17,9.87,12.48,12.71,8.39,6.24,6.3,8.94,9.33,10.02,9.67,9,6,10.57,5.3,8.84,9.08,8,5.5,6,,9.47,9.69,9.01,8.27,4.94,4.6,5.44,7.8,7.1,5.14,9.05,7.4,8.27,9.8,9.8,6,7,6.9,,5.93,8.4,7.5,7,10,1,8.1,9.74,10.59,9.85,,7,5.67,4.23,7.23,-1.02,5.7,2.65,7.1,6.32,5.71,2.7151260961,22,16,9
N.Y. Giants,Philadelphia,3,-1.28,-0.1,-1,-3.24,-1.63,4.46,1,-2.51,-1.7,-1,-6.98,-1.68,6.24,-4.65,-4.22,-1.53,0,-6.93,-7.58,1.7,-5,2,-3.46,0.4,-0.09,-2.25,-3.4,2.5,3,,-2.61,-3.81,-1.89,-0.1,-2.42,-1.7,1.9,-0.9,-1.5,2.01,-6.8,0.3,-1.68,-2.3,-2.1,-3,-1,-7,,2.39,-3.1,-3.5,3,-3,-1,1.5,2.37,-3.8,-2.8,,3.5,0.54,0.8,-2.58,-4.57,-1.24,1.67,0.8,-0.81,-1.36,2.7889614129,23,28,9
Oakland,Denver,0,-0.75,-1.01,-1,-7.5,-2.08,1.5,1,-1.6,-3.68,-4,-5.42,-5.64,0.57,-1.72,-1.03,-0.18,-0.1,-3.52,-3.35,-7,-5,0,0.05,-0.6,-0.05,-1.22,-5.5,0,-2.5,,-3.2,-3.01,-4.56,0.65,-2.53,-1.2,3.38,-0.89,-2.9,2.15,-4.48,-0.8,-1.76,-3.5,-0.8,-3,-4,-4.1,,-1.76,-5.2,-4,2,-3,2.5,-2,-1.28,-2.63,1.15,,0.5,-1.35,1.44,-0.88,4.63,-4.94,1.52,-0.7,-1.8,-3.43,2.4788893084,20,30,9
San Diego,Tennessee,3.5,7.36,0.75,5,8.44,6.67,1.69,8,6.31,9.17,1,6.59,6.88,1.83,4.11,9.37,3.95,6.51,10.54,10.14,7.13,12,4.5,8.92,6,6.37,8.07,7.3,4.5,4.5,,12.53,7.99,7.84,3.49,3.62,6.5,3.93,9.31,6.5,3.63,8.24,8.5,6.59,8.3,10.9,5,9,13.2,,4.17,7.8,6,2.5,11,1.5,1,6.56,6.76,5.7,,6.5,4.51,5.74,5.02,7.38,9.76,1.78,5.7,6.47,7.55,2.868223032,35,43,9
San Francisco,New Orleans,-6,-1.55,-6.99,-6,0.56,-4.29,-0.44,-5,-1.93,-4.77,2,-6.51,-2.63,-3.54,-2.43,-10.33,-1.59,-1.36,-6.4,-6.8,-7.1,-4,-6,-5.67,-4.8,-1.45,-1.61,-5.4,-3.5,-3.5,,-14.43,-6.41,-5.88,-5.76,-0.36,-6.7,-1.79,-6.2,-5.6,-9.32,-7.63,-1.7,-4.4,-11.7,-8.1,-1,-3,-12.3,,-3.94,-6,-9,-2.5,-8,-5,-1.5,1.95,-8.5,3.95,,-3.5,-2.99,0.82,-4.4,-6.14,-4.91,-3.77,-4,-1.91,-2.96,3.4866065123,41,23,9
Seattle,Buffalo,6.5,2.5,5.13,3,8.04,2.86,4.89,5,1.65,-2.66,5,-1.27,3.11,2.58,2.59,0.6,2.96,3.5,-0.11,-0.61,-7.42,5,5.5,0.2,4.3,3.34,1.81,6.8,6.5,6.5,,5.87,1.09,1.91,4.12,6.28,1.6,4.49,3.8,4.1,4.22,-1.92,4.8,3.34,-0.7,4,3,4,3.6,,5.02,6.7,0.5,6.5,-2,4,3.1,4.06,0.31,-1.3,,5,3.73,4.04,1.54,-2.67,2.66,5.84,4.3,3.78,3.74,2.4547380451,25,31,9
Tampa Bay,Atlanta,-3.5,-2.38,-6.25,-5,-5.51,-4.14,-0.67,-2,-3.49,-5.47,-13,-6.27,-6.02,-5.92,-2.77,-4.77,-1.83,-1.71,-5.57,-6.25,-9.2,-4,-3.5,-5.17,-3.3,-1.81,-2.84,-3.6,-3.5,-3,,-5.27,-4.81,-4.39,-3.69,-1.74,-3,1.99,-4.19,-4.6,-4.45,-7.51,-1.5,-4.1,-9.9,-4,-3,-3,-4.4,-8.2,-2.01,-4.3,-3,-3,-9,-1,-4.3,-2.62,-6.62,-0.55,,-2,-1.65,0.82,-5.69,-9.04,-4.23,-0.94,-1.7,-1.91,-2.24,2.5829431047,43,28,9
