Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linewunder,linepig,linens,linecpa,lineexcel,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,lineschmidt,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,linegrinder,lineself,linejohns,linemass,linecoff,lineesp,linereister,linetsr,linelog,linestrength,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linemrr,linedok,linepugh,linest,linecovers,lineatom,linewhatif,linedwig,lineppros,linegametime,linepickle,linecrunch,linensr,linelinx,linecombo,linegirl,linelaff,linepasteur,linearmstrong,linecover81,linerwp,linebmc,linepi1,linepi2,linepi3,linebaldwin,linestd,week,hscore,rscore,year
N.Y. Giants,Buffalo,3,-2.32,-7.28,-4,-6.2,-2.21,2,3,2.1,-4.58,3,-3.43,-2.23,-1.03,-1.88,-7.85,8.97,1,-9.88,-7.13,-10.29,-7,2,2.5,-11.62,,-1.94,-2.72,0.44,-3.7,3,2.7,,,-5.91,,3.6,-3,,0,-2.93,,-2.74,-10.1,-8.3,6,-9.06,-3.9,-3.38,0.67,-13.15,-9.5,0.5,,-1,-6.5,,3,-3,4.7,3.3,0.85,2.71,3.33,14.5,-8.29,3.74,2.7,10.94,-2.75,3.4,-3.1,-3.9,4.32,5.4735667663,6,27,24,2011
N.Y. Jets,Miami,6.5,11.95,6.6,9,10.87,10.2,7,9,21,19.71,5,6.94,9.46,17.3,9.35,12.65,6.72,6,4.5,10.9,4.5,7,13,7,16.36,,12.27,12.03,11.23,13.6,8,7.9,,,12.34,,9.4,6,,9.42,9.39,,9.97,10.6,14.8,6,9.57,14.1,6.52,2.96,13.73,13,11.6,,4,15.8,,7.5,10,9.6,9.94,13.72,15.96,10.93,16.4,6.72,6.37,6.1,11.09,14.28,8.8,11.4,10.1,6.62,3.7998159417,6,24,6,2011
New England,Dallas,6.5,10.01,6,12,13.39,8.96,9,9,11.3,11.72,20,7.29,10.53,8.51,9.06,11.25,10.23,6,13.12,10.03,12.99,-6.91,15,7,10.26,,9.84,10.16,9.11,9.2,7,8.7,,,13.81,,8.7,9,,4.01,14.4,,9.27,5.2,12.3,6,5.6,15.3,6.35,7.31,9.34,-3,10.1,,3,9.2,,9,17.7,-5.2,12.5,10.25,10.12,8.93,-6.8,6.93,8.17,9.2,-11.88,11.8,10.6,8.3,10.6,7.61,5.2830374632,6,20,16,2011
Oakland,Cleveland,7,12.24,4.39,9,5.32,10.12,11,10,13.7,19.3,3,8.1,4.65,14.4,7.5,18.92,6.15,3,4.5,16.16,4.5,12.85,14,7,20.46,,11.49,13.04,8.66,18.9,7,4.8,,,14.67,,11.8,7,,7.58,11.28,,8.85,12,17.4,2,14.67,18.9,7.92,3.42,16.92,8,8.1,,4,20,,7,11.3,8.3,10.43,14.25,10.14,6.58,22,2.97,5.34,7.4,11.8,18.48,9,8.7,7.9,7.32,5.1245003669,6,24,17,2011
Pittsburgh,Jacksonville,12.5,13.15,11.01,11,16.18,13.25,13,14,24.2,19.71,4,5.2,10.73,15.05,15.53,13.72,9.61,11,12.9,11.42,13.21,7,18,12.5,13.4,,11.39,15.21,14.01,12,13,5.8,,,19.56,,14.9,11,,1.74,11.02,,13,11.1,14.4,12,16.4,21.9,7.84,12.98,13.35,18,10.9,,13,15.2,,11.5,10.1,8,17.3,18.52,17.51,10.83,11.2,12.7,,12,11.45,16.36,20,14.9,14.6,11.89,4.0764967094,6,17,13,2011
Tampa Bay,New Orleans,-6.5,-5.73,-7.92,-7,-6.66,-6,-4,-3,5,-4.33,-14,-4.39,-5.26,-0.11,-7.32,-11.84,1.76,-5,-10.93,-7.28,-11.02,-7,-5,-6.5,-11.56,,-3.33,-8.98,-2.24,-8.3,-5,-4.4,,,-4.85,,-5.2,-6,,-0.58,-8.55,,-5.26,-21.1,-3.4,-3,-8.72,-7.8,-3.76,-4.53,-12.96,-9,-3.1,,-5,-11.3,,-2,-7,-6.7,-7.55,0.78,4.13,3.25,-7,-3.06,-3.62,-5.2,-10.08,-9.83,-6.4,-3.4,-3.4,-7.73,4.3481190587,6,26,20,2011
Washington,Philadelphia,-3,4.24,1.1,6,-5.08,3.31,-2,2,-0.2,10.61,4,4.11,-3.2,13.05,8.88,5.89,-1.19,2,-0.01,8.2,-0.98,-0.19,-2,-2,6.09,,6.43,2.32,4.56,7.6,1,2.4,,,3.02,,6.4,-3,,1.12,2.46,,3.45,6.1,11.7,0.01,3.61,2.6,3.59,0.87,3.78,5.5,6.4,,1,5.6,,4,4.3,3.3,0.55,2.54,3.21,6.62,9.1,5.89,-2.83,-1.2,8.5,-0.81,0.2,4.1,7.7,0.74,3.9434339005,6,13,20,2011
Arizona,Pittsburgh,-4,-7.63,0.43,-8,-7.93,-6.09,-9,-6,-12.3,-1.7,3,1.16,-12.14,-5.77,-3.69,-6.51,-5.88,-5,-1.85,-5.21,-2.27,6.89,-14,-4,-7.02,,-8.03,-7.33,-7.31,-0.3,-3.5,-0.4,,,-6.92,,-6.1,2,,-8.78,-6.73,,-6,-8.6,-8.5,-7,-5.77,-13.6,-1.61,-4.88,-8.28,-4.5,-3,,-11,-5.6,,-4,-12.3,-4.6,-6.24,-14.61,-9.46,-6.63,-4.1,-4.64,-2.44,-2.7,-17.74,-6.47,-10.3,-4,-4,-4.57,4.1252543195,7,20,32,2011
Carolina,Washington,2.5,-0.03,-3.83,-4,-2.58,-0.5,0,0.01,-5,2.78,1,-5.09,-1.4,3.52,-3.08,1.42,-1.35,-1,2.08,-0.69,2.43,7,0.01,2,-1.1,,-0.74,0.41,-2.58,1.1,2,1.6,,,0.25,,1.9,4,,-2.99,-3.82,,-0.03,0.6,2.5,-1,0.3,1.9,3.07,-1.12,-1.2,3,-1,,-1,-1.1,,-0.5,-11.8,1.8,1.35,-8.33,-2.11,0.78,1.5,-2.69,1.64,3.4,-11.27,2.15,0.5,-0.2,-2.2,0.41,3.1719640586,7,33,20,2011
Cleveland,Seattle,3,0.3,2.68,1,5.25,0.86,1,-1,3,-0.19,3,-1.02,0.17,-0.53,3.15,-5.2,3.59,3,-2.17,-0.88,-1.77,-15.03,4,3,-1.55,,-1.14,2.03,0.42,0.1,3,2.7,,,0.23,,0.2,5,,-7,5.93,,0.23,0.7,-3.3,3,-0.89,-1.4,-0.9,0.02,-0.34,-0.5,1.5,,2,-1.1,,2,6.1,2,3.53,-3.57,2.44,1.87,1.2,5.02,2.58,3,-1.48,-1.72,0.2,-0.8,1.9,3.05,2.4147088091,7,6,3,2011
Dallas,St. Louis,14,17.72,15.93,14,13.79,15.26,13,11,17.5,19.9,3,10.04,16.11,15.18,14.27,22.65,3.45,10,19.25,18.58,19.93,3.62,17,14,22.45,,18.03,17.67,13.01,20.5,9.5,9.2,,,19.23,,12.2,10,,7,16.24,,15.69,22.7,18.8,8,20.25,18.7,13.02,13.34,21.55,21,8.5,,16,21.4,,10,8.5,14.6,14.86,22.15,16.84,9.98,20.4,8.16,10.13,8.7,22.98,15.69,10.9,12.7,14.6,13.97,4.8639289012,7,34,7,2011
Detroit,Atlanta,4.5,7.46,8.88,11,8.97,8.08,5,5,3.4,10.2,16,8.17,6.18,7.46,11.68,7.27,-0.12,4,12.39,11.1,12.78,7,5,5,14.66,,5.94,8.91,9.27,11.7,6,3.8,,,10.1,,6.6,6,,8.53,11.26,,8.17,12.5,12.1,5,13.97,6.7,8.82,6.07,13.93,9.5,6,,2,12.1,,6.5,1,10.2,5.75,5.59,4.44,5.47,14.4,10.86,4.16,4,10.69,8.16,3.9,8,8.9,5.1,3.5148632465,7,16,23,2011
Jacksonville,Baltimore,-9.5,-9.9,-7.52,-13,-12.97,-12.32,-9,-10,-23,-12.48,-3,-11.24,-15.3,-7.77,-16.35,-12.17,-2.12,-10,-18.38,-10.8,-18.41,-15.51,-14,-9.5,-16.16,,-7.72,-13.8,-10.96,-9.3,-9.5,-6.2,,,-13.7,,-11.1,-6,,-11.91,-17.11,,-12.17,-14.1,-9.7,-9,-19.54,-17.2,-11.38,-10.33,-20.93,-8.5,-6.5,,-16,-22.2,,-8,-11,-11.4,-13.46,-14.1,-14.41,-5.82,-13.4,-13.74,-7.41,-7.2,-22.49,-11.81,-14.1,-15.7,-15.7,-8.49,4.3448262548,7,12,7,2011
Miami,Denver,-1,1.21,2.39,-0.25,0.66,0.95,3,4,-0.4,0.68,5,-2.31,0.2,-2.41,-0.39,-3.22,4.24,1,-0.01,-2.11,-0.04,2.97,7,-1,-1.38,,0.15,2.03,1.47,-0.4,3,3.8,,,0.22,,3.1,4,,-12.01,2.89,,1,0.8,1.5,5,-3.28,3.1,0.35,3.1,-2.76,-3.5,0.5,,3,-0.1,,2,4.3,-3,4.85,7.24,1.73,3.86,-5,0.02,1.4,-0.5,-10.2,1.54,6.5,2.4,-1.2,2.71,3.096430907,7,15,18,2011
Minnesota,Green Bay,-10,-11.11,-0.79,-15,-11.28,-10.87,-10,-8,-20.6,-11.94,-20,-10.97,-11.2,-14.13,-8.58,-14.72,-4.07,-9,-14.32,-11.22,-14.33,-13.32,-13,-10,-14.1,,-13.23,-9.64,-9.28,-11.9,-7,-5.5,,,-12.4,,-8.2,-8,,-7,-12.79,,-11.2,-14.9,-12.1,-3,-12.4,-14.5,-4.49,-7.93,-15.87,-15,-11,,-12,-13.7,,-6.5,-11.5,-10.7,-10.36,-12.72,-14.4,-8.2,-11,-6.28,-7.73,-6,-23.3,-11.26,-10.8,-9.7,-9.7,-6.78,4.1204451947,7,27,33,2011
N.Y. Jets,San Diego,-1,5.14,-0.6,3,8.25,4.17,3,4,7.6,6.87,4,2.62,2.7,1.31,3.09,4.93,1.22,-2,11.38,4.2,11.52,9.35,6,0,8.79,,0.97,9.24,3.81,9.1,2.5,2.7,,,6.87,,4.5,-3,,-6.01,5.22,,4,4.3,4.7,2,8.68,9.9,7.91,3.83,10.64,10,1.5,,-2,10.1,,3.5,-5,3.5,5.62,4.39,4.52,1.44,9.5,1.09,-0.47,-4.2,-3.03,5.23,3.1,5.6,2.6,-0.61,3.6938308022,7,27,21,2011
New Orleans,Indianapolis,14,16.18,11.86,18,13.9,15.61,11,10,13.7,22.73,-4,8.64,18.24,21.26,13,16.4,3.92,12,23.19,18.07,23.33,7,11,14,22.16,,17.67,15.03,13.32,19.6,14,15.6,,,17.93,,13.1,10,,7,20.45,,15.11,25.2,19,10,19.03,12.8,9.65,13.86,20.47,18,13,,13,19.8,,12.5,5.6,11.4,16.89,14.63,11.94,10.18,23,12.22,13.46,10.1,22.8,15.11,14.6,15.8,15.7,13.11,5.3794179834,7,62,7,2011
Oakland,Kansas City,3.5,10.85,8.14,12,10.79,10.65,10,7,13.5,16.26,3,7.5,2.83,16.4,13.82,10.62,3.63,4,18.41,11.22,18.88,7,15,4.5,18.44,,9.05,14.26,9.29,15.8,6,2.8,,,11.28,,7.9,2,,7,15.55,,10.03,19.4,14.1,4,19.92,12.6,9.5,5.8,21.83,18.5,10,,2,17.4,,4.5,5,6.8,9.89,9.81,10.03,6.56,15.8,10.64,4.15,5,16.52,7.85,5.7,10.4,9.8,8.31,5.1046288763,7,0,28,2011
Tampa Bay,Chicago,-1.5,-2.4,0.9,-2,-5.57,-2.34,-2,-3,0.7,-3,7,-2.3,0.41,2.72,-6.06,-2.84,-0.7,1,-6.64,-1.81,-6.78,-3.81,-7,-1.5,-1.84,,0.97,-5.96,0.17,-3.4,1,0.9,,,-2.35,,-2.4,3,,-0.34,-1.49,,-2.3,-8.3,5.4,0.01,-8.84,-7.8,-4.59,-5.8,-8.53,-8,2,,-1,-6.6,,-0.5,2.2,0.1,-4.05,2.78,1.48,2.25,-4.3,2.33,-2.24,3,-0.14,1.33,-4.8,-4.4,-4.4,-2.62,3.7887202123,7,18,24,2011
Tennessee,Houston,2.5,3.32,-0.83,2,1.82,2.04,1,2,1.5,3.74,11,2.14,3.52,4.88,2.69,1.97,4.8,2,1.8,3,2.07,-0.16,0.01,2.5,3.36,,4.6,1.89,3.12,6.8,3,0.8,,,3.38,,1.8,5,,3.84,-0.64,,2,-2.7,6.8,0.01,0.83,-0.8,0.67,2.03,0.68,2,3,,-1,-0.8,,2.5,-2.1,9.5,-0.06,0.75,1.16,0.81,0.8,1.53,2.95,4.7,-2.93,1.36,-0.1,1.8,1.8,1.34,2.5508623324,7,7,41,2011
Baltimore,Arizona,11.5,15.35,17.01,16,25.04,16.74,14,13,22.1,24.66,1,12.05,20,18.79,17.65,14.11,10.34,12,21.42,14.47,21.86,7,24,12.5,19.87,,12.89,19.47,21.22,13.1,13,,,,20.48,16.35,14.3,9,,16.23,21.26,,16.76,17.7,17.2,11,19.92,24,16.76,15.64,20.88,16,11.4,,10,,,12.5,24.8,11.5,18.13,16.51,19.67,13.29,20.9,9.78,12.56,16.9,20.52,18.1,18.7,19,15.8,15.21,4.6263238805,8,30,27,2011
Buffalo,Washington,4,12.1,6.62,9,7.38,8.51,4,6,12.4,14.53,1,5.55,10.71,11.89,7.43,10.1,1.36,4,15.4,11.19,15.66,7,8,5,13.36,,13.62,10.83,7.06,7.8,5,,,,11.94,8.75,6,9,,7,8.8,,8,7.7,14.7,0.01,14.18,11.5,9.8,5.61,9.93,12.5,8,,4,,,5.5,10,4.3,6.7,9.41,6.98,6.15,8.9,6.28,6.21,10.7,9.53,10,6.4,6.6,9.2,1.64,3.4719135156,8,23,0,2011
Carolina,Minnesota,3,4.64,3.78,4,2.39,4.01,3,2,1.8,10.52,1,2.66,0.07,16.55,4.57,3.35,-1.74,3,4.86,3.9,5.01,7,0.01,3,6.08,,3.92,5.28,1.33,4.8,4.5,,,,4.44,5.71,3.3,7,,1.04,-0.45,,4,7.6,5.9,1,5.73,4,4.01,1.78,5.15,7.5,5.6,,-2,,,2.5,-3.1,6.7,2.99,-1.41,1.93,5.13,7.9,6.57,3.78,6.5,3.38,4.82,1.9,0.6,4.8,3.32,3.2998617738,8,21,24,2011
Denver,Detroit,-3.5,-9.37,-2.78,-8,-6.73,-5.95,-3,-3,-7,-7.58,-13,-3.16,-3.98,-2.31,-7.26,-4.34,-0.63,-6,-10.71,-6.41,-10.4,-3.09,-6,-3.5,-10.69,,-8.38,-10.42,-6.29,-7.9,-3.5,,,,-7.09,-7.55,-1.2,-4,,-7,-10.34,,-6,-17.2,-3.7,-4,-9.72,-4.4,-3.92,-2.2,-13.66,-10,-3.8,,-8,,,-3.5,-6.3,-2.3,-3.15,-11.79,-7.57,-5.05,-7.4,-6.79,-1.8,-1.1,-15.42,-9.35,-5,-5,-5,3.28,3.9633982093,8,10,45,2011
Houston,Jacksonville,10,10.4,8.89,10,13.88,11.14,10,12,15.1,15.91,6,6.5,11.01,8.82,17.07,9.35,3.93,9,15.28,9.25,15.07,13.28,14,10,13.27,,6.77,14.88,11.7,7.2,10,,,,13.42,8.62,9.9,8,,7.12,17.4,,10.8,11.2,13.1,10,13.42,14,9,10.79,13.08,11.5,7.1,,15,,,9,11.7,9.6,12.98,9.11,14.27,7.01,11,11.15,10.51,,13.86,8.25,10.2,10.8,9.9,12.27,2.8211519627,8,24,14,2011
Kansas City,San Diego,-3,-0.08,-1.66,-3,-5.15,-1.83,-5,0.01,-7.2,-4.92,-4,0.72,-4.73,-6.34,-3.89,3.61,-0.02,-3,1.51,1.97,0.53,-7,-5,-3,-1.26,,1.05,-1.69,-1.59,0.9,-4,,,,0.95,-0.14,2.4,-2,,0.19,-8.98,,-1.66,-6.1,5.5,-5,-4.36,6.1,0.44,-2.35,-4.19,-6,0.1,,-5,,,2,-7,-2.7,-2.48,3.54,-5.46,-0.27,-0.6,-5.73,-2.45,-5.6,-7.01,5.59,-2.6,-1.4,-1.4,-1.42,3.5249681596,8,23,20,2011
N.Y. Giants,Miami,9.5,10.83,8.7,11,3.14,9.31,7,7,14.6,14.96,6,9.4,5.26,16.9,11.89,7.96,6.62,10,10.78,9.37,10.43,-0.44,6,9.5,11.32,,13.42,8.8,8.97,12,10,,,,9.21,12.59,10.3,11,,16.74,6.98,,9.21,7.8,13.1,5,7.69,7.4,2.91,7.44,7.99,5.5,12.1,,6,,,10.5,14,10.5,9.14,14.91,12.1,11.02,9.3,4.73,9.24,11.9,18.32,11.02,9,8,11.1,7.99,3.2624571762,8,20,17,2011
Philadelphia,Dallas,3,-2.25,-2.91,-1,0.61,-0.14,1,1,2,-3.37,-3,1.59,1.77,-0.39,0.21,-1.1,5.97,1,1.19,-1.06,1.21,-11.12,1,2.5,-1.24,,-3.25,-1.67,-1.65,-0.8,3.5,,,,-0.35,-1.15,3,-6,,-13.46,-0.65,,0.3,-2.3,4.1,3,-2.72,-2.5,-1.48,3.86,-4.01,-6,2.5,,-6,,,1.5,1.6,-1.5,1.86,1.09,1.6,1.17,-2.6,-3.86,3.55,3.8,-7.67,1.47,0.4,0.3,1,2.24,2.8518247975,8,34,7,2011
Pittsburgh,New England,-3,-3.95,-1.63,-3,-1.78,-2.01,0,0.01,0.2,-4.74,-1,-2.6,-2.05,-2.82,1.3,-2.3,2.57,-2,-6.48,-2.99,-6.17,0.95,-3,-3,-3.37,,-5.07,-2.83,-1.29,-3.4,-1.5,,,,-2,-2.63,-0.6,-3,,-13.79,-10.69,,-2,-3.2,0.8,1,-4.57,-3.6,-3.18,-4.88,-5.7,4,0.5,,-1,,,0.5,-7.5,-2.1,-0.56,-0.45,0.94,0.04,-1.1,-1.47,-0.51,-4,-6.34,-0.46,1,-1.5,1.3,-0.21,2.5472877934,8,25,17,2011
San Francisco,Cleveland,9,20.56,12.29,12,15.39,14.3,12,12,10.1,19.91,6,12.2,5.99,13.67,15.64,17.4,3.77,5,25.73,18.55,25.33,7,13,9.5,24.74,,18.06,23.92,17.08,18.2,9.5,,,,18.79,17,14.8,4,,7,9.64,,13.67,19.6,17.8,5,25.11,19.1,16.81,11.84,25.32,17.5,11.3,,9,,,10.5,5,7.4,11.64,13.35,10.42,7.8,16.7,7.49,8.48,10.6,16.08,22.12,12.8,13.8,10.4,10.84,5.5251146006,8,20,10,2011
Seattle,Cincinnati,-1.5,-3.58,-3.38,-4,-0.28,-2.31,-3,2,-4.7,-2.75,5,-3.28,1.86,-1.93,-5.77,-2.4,2.59,-6,-2.6,-2.7,-2.8,-4.91,-2,-1.5,-2.61,,-2.77,-4.71,1.15,-2.4,-2.5,,,,-3.55,-2.53,1.1,-6,,-7.19,-8.06,,-2.45,-5.6,1.8,-1,-2.45,-0.7,2.3,-3.48,-5.28,-0.5,-0.7,,-2,,,0.5,-3.5,-4,1.06,1.17,-0.51,1.12,-3.9,-7.37,-1.54,-2.9,-12.55,-2.59,-2.3,-5.9,-5.9,0.32,3.0287327632,8,12,34,2011
St. Louis,New Orleans,-13.5,-18.29,-12.84,-18,-16.17,-15.14,-14,-10,-17.2,-17.03,-6,-10.62,-10.59,-11.33,-17.2,-21.3,-0.3,-15,-17.71,-15.5,-18.19,-7,-18,-13.5,-21.02,,-18.05,-19.01,-11.07,-16.4,-11.5,,,,-20.62,-14.43,-10.9,-10,,-7,-20.32,,-15.3,-26,-13,-9,-21.32,-18,-5.63,-12.18,-24.26,-21.5,-9,,-14,,,-9.5,-12.6,-13,-15.3,-20.55,-13.9,-7.13,-22,-14.13,-13.51,-19,-30.01,-17.28,-17.7,-16.5,-16.5,-12.89,5.3249875824,8,31,21,2011
Tennessee,Indianapolis,7.5,12.23,9.46,12,11.26,10.05,7,6,17.2,15.76,6,8.38,3.65,17.01,10.11,7.54,2.49,8,10.54,10.78,11.39,4.91,8,8,14.51,,12.97,11.47,10.28,11.1,6.5,,,,10.37,12.02,8.7,5,,13.9,15.27,,10.37,11,11.2,6,14.77,6.9,8.06,10.77,13.13,12,10.8,,12,,,9,3,10.5,12.09,7.49,9.56,6.99,14.5,12.87,7.83,5.6,18.45,3.67,8.9,9.1,11.4,6.91,3.5995058918,8,27,10,2011
Arizona,St. Louis,1,3.96,8.13,4,8.64,5.35,6,3,11.8,11.3,3,7.33,8.72,2.42,9.4,5.68,0.24,2,6.58,4.69,11.16,7,4,2,6.83,,0.68,6.84,4.45,6.5,4.5,4.4,,,8.7,2.4,2.8,4,,-0.47,6.89,,4.8,4.3,6.6,2,7.41,3.3,4.34,4.64,6.95,8.5,2.5,,1,9.2,,4,6,4.8,6.93,-7,8.83,0.37,11.2,6.89,2.35,3.6,4.23,5.56,2.2,4.3,3.9,0.29,3.1805146334,9,19,13,2011
Buffalo,N.Y. Jets,2.5,7.95,5.51,6,4.36,4.85,2,-1,1.3,9.02,5,4.83,2.19,6.45,6.77,5.66,-3.13,2,10.44,8.48,8.75,7,-2,2.5,10.34,,7.9,8.3,2.06,8.9,1.5,-0.9,,,8.1,7.76,0.6,4,,2.77,4.74,,5.16,9.3,11,-2,10.76,0.9,8.72,-2.04,9.35,11.5,3.5,,-4,8.6,,4,3,2.1,-0.5,-0.39,0.12,2.23,9.1,5.11,1.81,-0.2,6.98,8.69,-1.2,3.9,3.9,0.35,4.1368887428,9,11,27,2011
Dallas,Seattle,10.5,9.74,11.55,8,11.12,9.85,9,10,17.4,10.47,7,6.78,14.61,5.29,8.74,6.74,4.56,9,8.76,8.22,10.96,9.34,11,10.5,11.25,,7.14,12.85,8.5,9.6,12.5,16.5,,,11.23,8.45,8.3,7,,2.56,14.21,,9.77,13.3,11.7,8,10.43,9.8,8.79,11.03,11.86,11,7.5,,10,12.3,,8,14,11.6,11.91,7.16,9.49,5.19,12.6,8.22,11.44,10.9,9.32,9.43,9.8,9.1,8.6,10.53,2.5770400376,9,23,13,2011
Houston,Cleveland,10.5,11.92,5.74,10,12.12,11.56,12,12,17.8,12.68,6,8.87,8.93,7.41,13.29,10.8,4.24,6,16.66,11.16,12.96,10.18,16,10.5,14.73,,8.52,16,10.44,9.9,10,8.6,,,14.59,9.68,7.7,11,,4.02,16.26,,11.33,15.5,14.2,9,16.51,15.8,9.04,10.29,15.65,14.5,10,,12,14.7,,9,9.5,12.2,10.95,11.42,12.57,6.06,12.8,6.49,10.61,,15.55,12.76,13.6,11.5,9.8,13.57,3.2310430834,9,30,12,2011
Indianapolis,Atlanta,-7,-13.75,-8.44,-13,-11.83,-9.88,-5,-8,-11.9,-10.87,3,-7.42,-13.45,-12.41,-6.57,-11.82,1.37,-10,-13.59,-10.05,-6.95,-11.55,-9,-7,-13.87,,-16.26,-11.72,-7.5,-7.6,-8.5,-7.8,,,-10.09,-12.22,-10.1,-3,,-7.91,-4.82,,-10.09,-15.8,-7.6,-4,-13.29,-15.9,-5.19,-12.38,-16.27,-11.5,-8,,-15,-14.6,,-7,-10,-2.5,-13.46,-12.83,-4.97,-6.25,-10.1,-6.36,-5.85,-7.7,-22.08,-13.05,-9.6,-12.1,-12.1,2.53,4.7090162327,9,7,31,2011
Kansas City,Miami,5.5,11.98,8.19,9,0.55,7.23,4,8,10.7,5.28,3,8.37,7.89,10.09,5.22,10.47,5.63,6,10.34,11.07,10.72,-0.11,4,5.5,9.69,,18.09,6.94,7.56,7.6,5.5,1.3,,,11.37,12.82,7.9,3,,9.06,-4.81,,7.58,4.7,15.3,0.01,4.42,11.5,4.52,3.71,5.57,3,10.5,,6,10,,9,7,4.4,5.82,19.75,5.01,11.2,6.5,0.85,4.56,4.7,18.05,13.25,5.7,4.5,8.1,2.32,4.5409290954,9,3,31,2011
New England,N.Y. Giants,9.5,9.65,5.9,10,8.82,9.16,9,10,10.3,11.6,8,6.05,14.68,3.29,5.93,10.06,7.12,5,11.13,9.91,16.58,-3.61,15,9.5,11.6,,8.22,11.12,9.3,7.7,7.5,10.8,,,13.1,6.74,7,12,,3.2,15.16,,9.27,10.2,13.8,5,12.23,14.3,10.94,9.24,10.49,8,3,,4,13.1,,7.5,5,4.9,10.11,8.07,8.72,5.52,18.2,3.4,8.32,8.3,7.14,10.51,6.4,7.8,4.5,5.88,3.334278967,9,20,24,2011
New Orleans,Tampa Bay,8.5,6.6,5.75,8,14.71,8.73,8,7,2.1,15.67,7,5.12,11.42,6.98,12.59,4.75,4.24,7,9.58,5.51,11.75,7,9,8.5,11.58,,1.47,12,6.11,8.5,8,8.6,,,9.42,6.09,5.6,8,,0.55,12.77,,8.6,13,8.8,8,12.26,4.6,6.48,5.28,10.9,19,5.5,,2,11.4,,7.5,10,,11.45,-1.48,2.48,2.88,9.5,5.98,9.54,8.3,4,7.66,11.7,11,8.8,10.58,3.9798432669,9,27,16,2011
Oakland,Denver,7,7.62,6.45,9,5.58,7.3,9,7,11.9,6.75,3,7.19,6.51,4.29,7.71,5.57,8.24,7,8.72,7.01,9.5,0.96,13,7,8.95,,9.01,6.37,9.28,9.6,8,5.6,,,8.14,7.91,6,1,,3.64,9.41,,7,6.6,11.1,3,7.94,8.4,5.21,6.39,8.33,6,7,,4,10.7,,6,9.4,5.7,5.48,16.44,10.77,7.31,10.6,6.09,8.31,8.1,10.7,6.52,8,7,4.9,5.75,2.4628343883,9,24,38,2011
Philadelphia,Chicago,7.5,0.5,4.21,1,1.89,3.35,5,4,-3.6,4.03,4,5.42,4.34,0.96,3.65,1.75,2.93,3,5.85,2.58,5.25,13.25,2,6.5,2.25,,-2.46,3.91,-2.34,4.5,6.5,8.5,,,4.08,0.36,3.7,10,,-0.21,0.22,,3.09,6.7,6.1,7,1.25,4,2.33,1.43,0.89,0.01,2,,3,2.1,,4.5,2.8,9.7,7.04,-1.65,-0.5,-0.39,4.4,-0.23,6.74,6.5,-4.21,3.31,3.5,2,1.2,12.32,3.4725126019,9,24,30,2011
Pittsburgh,Baltimore,3.5,1.67,4.53,1,1.77,1.64,3,3,2.3,0.09,13,-1.15,5.39,8.02,-0.98,4.03,4.44,2,-3.29,2.26,-12.25,12.39,3,3.5,0.23,,4,-1.41,2.29,0.7,3.5,2.7,,,4.29,1.7,4.1,5,,1.86,-8.2,,2.1,-2.2,6.6,2,-3.19,5.9,-0.43,2.34,-3.53,2.5,3.5,,1,-0.6,,3,6,-2.5,2.72,10.31,-1.21,5.1,-0.8,-1.76,1.7,2.6,1.76,3.75,2.6,1.9,1.7,5.38,3.2918225473,9,20,23,2011
San Diego,Green Bay,-5.5,-8.72,-1.28,-10,-4.61,-5.99,-5,-2,-11.3,-7.68,-4,-5.84,-6.37,-3.8,-4.4,-9.61,0.83,-9,-10.16,-7.84,-10.78,-16.48,-5,-5.5,-10.09,,-10.53,-8.48,-3.83,-10.6,-5.5,-2.9,,,-9.81,-8.15,-3.3,3,,-2.32,-8.47,,-5.96,-6.2,-5.5,0.01,-10.37,-3.7,-3.89,-3.2,-12.58,-9.5,-6,,-10,-10.1,,-4,-3,-1.5,-4.6,-8.42,-5.02,-1.65,-9.3,-5.92,-3.42,-7.1,-15.13,-9.14,-5.7,-7.3,-7.3,9.05,4.0508417327,9,38,45,2011
Tennessee,Cincinnati,2.5,-3.76,-2.58,-2,1.67,-0.97,-1,-1,12.5,-4.71,2,-3.3,-0.16,-3.08,-3.18,-6.23,5.81,-2,-2.47,-2.04,1,-0.68,0.01,2,-3.95,,-3.62,-3.91,0.53,-0.6,3,3,,,-2.48,-1.55,-1.2,5,,-0.23,7.16,,-1.35,-4.8,-1.5,2,-3.02,-8,-1.9,1.52,-5.01,-1.5,-1,,3,-6.4,,0.5,5,3.3,-0.28,1.2,6.66,4.04,-1.6,-5.43,2.4,2.5,-4.14,-5.87,0.8,-1.1,1.6,-0.11,3.6858609926,9,17,24,2011
