Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linewunder,linepig,linens,linecpa,lineexcel,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,lineschmidt,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,linegrinder,lineself,linejohns,linemass,linecoff,lineesp,linereister,linetsr,linelog,linestrength,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linemrr,linedok,linepugh,linest,linecovers,lineatom,linewhatif,linedwig,lineppros,linegametime,linepickle,linecrunch,linensr,linelinx,linecombo,linegirl,linelaff,linepasteur,linearmstrong,linecover81,linerwp,linebmc,linepi1,linepi2,linepi3,linebaldwin,linestd,week,hscore,rscore,year
New Orleans,Chicago,4,2.53,2.06,,1.3,1.2,2,4,-2.5,7.09,-7,-2.25,7.82,7.42,-13.58,-2.2,3.46,2,-4.55,-2.39,-5.62,-7,1,4,,,2.6,2.45,-0.53,,7,5,,,-2.9,,0.8,8,,4.18,-2.51,,1.85,-4.1,-2.1,5,2.8,-2.9,3.25,5.58,-2.77,3.5,3,,-1,-3.5,1.07,3,-2.7,1.8,5.07,-3.01,-0.3,1.89,-2.8,2.21,6.75,,-1.94,8.16,1.6,0.4,0.7,3.33,4.0633210301,2,30,13,2011
Pittsburgh,Seattle,13.5,13.74,15.84,,16.43,12.65,12,11,23.9,14.04,7,2,18.45,13.71,-1.39,12.69,10.48,11,2.5,13.06,2.5,7,17,13.5,,,14.29,13.35,15.3,,13,11.5,,,17.44,,10.7,7,,7,15.16,,13.17,12.9,13.1,10,11.3,15.4,10.75,13.23,12.37,19,14.5,,13,16.1,11.49,5.5,12,9.1,16.89,12.39,16.91,9.92,17,9.51,13.97,,8.79,20.42,18,13.8,14.8,12.77,4.2695201598,2,24,0,2011
San Francisco,Dallas,-3,-1.68,3.96,,-0.65,-0.16,0,-2,-9.5,-0.33,-13,6.25,-5.09,-0.2,15.75,-2.28,2.68,-2,-0.65,1.05,-1.31,-7,0.01,-2.5,,,-1.29,-2.1,3.25,,-3,0.5,,,-2.14,,1.5,-6,,1.22,-0.51,,-0.62,2.3,-0.6,-1,-1.6,1,0.75,-0.69,0.86,2,-0.5,,-4,0.2,-1.87,3.5,-1.7,2.6,-2.26,1.03,-3.86,1.79,0.6,5.93,-2.65,,-1.02,-5.39,-1.1,0.3,0.3,-2.89,3.9903338123,2,24,27,2011
Tennessee,Baltimore,-5.5,-5.9,-3.45,,-6.29,-7.88,-6,-7,-24.3,-7.07,-3,-1.85,-10.74,-7.92,-14.44,-11.06,0.4,-7,-11.49,-8.53,-10.63,-7,-11,-5.5,,,-5.65,-6.42,-6.68,,-3.5,-5.5,,,-9.03,,-7.1,-7,,-7,-16.32,,-7.2,-13,-8.2,-4,-7.3,-18.8,-2.25,-5.69,-15.64,-2,-8.5,,-6,-8.3,-4.29,-2,-7,1.6,-8.96,-16.5,-15.56,-6.83,-8.4,-1.31,-6.07,,-8.97,-7.97,-9.1,-12.5,-12.5,-5.33,4.9182884175,2,26,13,2011
Washington,Arizona,4.5,5.33,5.24,,13.25,6.78,8,3,4.7,4.52,14,2,0.63,4.32,8.47,14.1,4.52,3,2.5,11.7,13.42,7,12,4.5,,,4.7,5.96,7.77,,3,3,,,13.32,,6.6,-4,,9.05,13.94,,5.58,9.7,11,7,0.3,17.2,2.75,7.39,9.21,9.5,3.5,,4,17.5,4.86,4,17,5.3,5.83,9.17,4.66,4.62,10.7,6.62,3.5,,3.59,-0.23,4.5,6.9,6.8,6.95,4.380808456,2,22,21,2011
Buffalo,New England,-7,-5.29,-0.03,-6,-11.53,-7.3,-8,-8,-18,-8.3,-6,2,-9.74,-3.82,4.92,-5.67,-7.07,-6,-13.93,-4.77,-2.5,-7,-15,-7,,,-5.19,-5.44,-7.37,-7,-8,-11,,,-8.77,,-5.9,-7,,-11.23,-9.79,,-7.63,-1,-1.4,-6,-5.6,-11.4,-4.53,-7.89,-8.76,-13,-3,,-9,-12.7,-4.42,-3,-14.4,-3.5,-11.35,-4.66,-11.31,-4.61,-23,-1.03,-9.99,-8,-11.28,-13.51,-14.3,-7.9,-7.9,-9.36,4.7654853666,3,34,31,2011
Carolina,Jacksonville,3.5,-1.01,-1.14,-0.25,-1.97,0.79,-2,2,-0.6,7.84,3,-1.85,5.11,3.76,10.67,-3.5,-2.45,1,9.95,-2.91,9.24,5.94,0.01,3,,,-4.25,2.23,-3.77,1.9,2.5,0.5,,,-1.64,,1.2,-3,,4.47,-8.83,,0.5,2.7,-4.7,2,4.5,2.4,2.88,0.5,3.54,-4.5,3,,5,2.1,-4.02,2,-8.3,3.9,2.38,-11.55,-0.32,-0.05,-2.1,0.41,2.75,3.1,0.77,0.26,-2.1,0.4,0.4,-1.7,3.8387620434,3,16,10,2011
Chicago,Green Bay,-4.5,-2.01,0.87,-2,-2.57,-2.57,-3,-2,-7.7,-1.15,-8,-2.25,-4.32,-1.32,-1.15,-1.65,-0.75,-5,-7.43,-0.22,3.5,-7,-5,-4.5,,,-2.83,-1.5,-3.74,-3,-3.5,-4,,,-2,,0.6,-8,,-10.16,-3.05,,-2.69,-3.3,-0.8,-2,-3.2,-3,-2.26,-4.3,-3.99,-5,-3.5,,-1,2,-5.02,-1,-1,-5.2,-1.07,-1.98,-3.95,-0.19,-0.3,1.86,-3.95,-3.8,-4.34,-7.54,-3.2,-3.8,-3.8,-2.8,2.113390633,3,17,27,2011
Cincinnati,San Francisco,1,5.65,7.52,3,6.9,3.18,3,1,13.8,3.28,3,0.02,1.56,1.67,1.47,4.83,2.2,2,11.09,5.8,6.12,5.55,4,1,,,6.72,4.93,2.72,-0.5,2,1.5,,,7.27,,1.6,3,,1.75,5,,2.86,-0.3,6.6,3,-0.1,2.2,2.01,0.52,3.01,4.5,4,,-5,3.7,4.85,1.5,3,7.4,0.62,-2.31,9.05,4.31,6.8,1.04,2.2,-0.5,-1.1,0.56,0.9,2,1.2,5.54,3.0843631602,3,8,13,2011
Cleveland,Miami,-2,0.55,3.29,1,-2.39,1.53,1,2,0.8,2.94,-4,4.52,-0.11,2.1,11.14,2.94,2.94,1,2.52,1.55,6.24,0.67,2,-1,,,0.99,0.14,-0.3,2,3,2,,,2.23,,6.2,2,,-5.86,-3.47,,1.59,-0.4,3.5,-1,3.3,1.5,3.3,1.41,-2.52,1,5.5,,-1,-3.4,1.84,3.5,-0.1,2.2,1.24,0.23,1.64,2.47,0.2,2.66,2.41,5.1,-1.91,-1.84,-1.3,0.7,0.7,0.74,2.4632951152,3,17,16,2011
