Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linewunder,linepig,linens,linecpa,lineexcel,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,lineschmidt,linel1,linel2h,linefox,lineca,linebihl,linedoi,linesage,linesagp,lineps,lineopen,linepts,linejohns,linemass,linecoff,lineesp,linetalisman,linerx,linel2to,linelog,linemidweek,linemed,linekerns,linejens,lineash,linestjohn,lineburd,linemrr,linedok,linepugh,linest,linecovers,linelock,linesun2,linewhatif,lineround,linedwig,lineff,linegametime,linesmart,lineshark,linebemiss,linelinx,linecombo,linegirl,linelaff,linepasteur,linearmstrong,linesun1,linedonchess,linerwp,linepi1,linepi2,linepi3,linestd,rscore,hscore,week
Chicago,Minnesota,6,5.49,5.65,6,7.55,6.93,,8,3,12.5,-1,6.75,4.39,16.48,14.84,5.09,9.23,,5.32,,6.22,2.5,6,6,,7.22,5.51,5.48,,5.5,14,,6,,6.9,6.52,6.4,1.87,2.01,6,6.2,6.2,8.6,5,8,3.6,5.49,6.2,10.81,7,7.5,7,3,2,,10.55,8.5,5,,13,5.43,,,,6.7,4.08,,3,10,5.27,5.4,8.2,7.2,3.3030836589,30,31,2
Cincinnati,Pittsburgh,6,2.15,-0.83,6,5.63,6.83,,6,6,11.93,22,2.5,9.29,3.96,12.28,10.31,4.87,,12.09,,8.22,10.36,8,6,,6.78,2.09,2.2,,6,5,,7,,8,8.86,6.6,8.78,8.55,6.5,6.2,3.7,12.9,6,7.55,8.3,4.66,6.59,7.68,4,6,8,6,1,,14.6,4.5,4,,4,4.84,,,,16.9,4.14,,6,8,21.49,5.9,6.9,6.2,4.4429976732,10,20,2
Green Bay,Washington,7,8.89,3.84,3,10.13,6.88,,9,4,15.99,20,2.5,5.1,13.35,3.16,12.35,2.86,,2.19,,6.22,7.14,11,7,,7.2,8.86,8.91,,6.5,1,,7,,6.5,2.84,6.6,4.65,7.27,7,6.67,6.9,11.7,1,7.26,11.9,5.35,8.57,7.29,8,10,8,6,1,,4.75,5.25,6,,0.01,6.67,,,,15.8,4.2,,6,11,-0.53,11,11.1,11.6,4.3834344027,20,38,2
Houston,Tennessee,7,9.87,12.73,8,10.5,7.61,,11,10,0.52,3,2.5,6.35,-2,-7.08,3.4,1.5,,9.78,,12.22,4.08,12,7,,9.57,10.07,9.67,,8.5,-3,,6,,4.7,11.95,1.9,9.48,9,9.5,8.3,12.1,7.9,9,7.08,5.4,7.4,7.48,6.53,13,11,21,9,3,,8.45,7.5,8,,6,7.65,,,,17.4,8.45,,9,11,13.79,8.8,9.7,8.3,4.9636304874,24,30,2
Indianapolis,Miami,1.5,2.46,3.78,1,-2.59,0.17,,3,0.01,-4.85,7,2.5,-0.89,-2.41,-7.71,-3.87,-2.31,,0.1,,2.22,0.01,0.01,1.5,,2.99,2.6,2.33,,0,-8,,-3,,-0.8,-1.88,-2.7,1.95,5,2.5,0.2,0.2,-1.1,-1,2.33,-0.8,3.28,0.07,-3.99,-2,2.5,4,3,-1,,-4.55,4,4,,-3,3.72,,,,-4.7,1.38,,1,5,0.31,3.6,0.8,2.2,3.2464269229,24,20,2
Kansas City,Dallas,3,-7.11,-2.9,-3,-8.6,-0.87,,0.01,-8,3.12,-3,2.5,5.11,-9.18,19.73,-2.21,24.44,,-3.19,,-0.78,-3.59,-8,2,,-2.36,-6.72,-7.5,,2.5,22,,-5,,4.7,-4.51,2.2,0.42,-3.53,3,-0.8,-4,-0.8,0.01,4.24,-4.3,0.76,-2.02,-4.35,-8,0.5,1,-5,-5,,4.1,0.5,2,,1,1.45,,,,-6.5,0.93,,-4,-9,-11.76,-0.8,1.5,-0.2,7.2659350801,16,17,2
N.Y. Giants,Denver,-3.5,1.74,-2.17,1,0.1,-4.73,,-3,5,-13.63,-13,-1.75,-1.4,-14.76,-13.82,-10.13,-10.05,,-0.63,,-5.89,-1.41,-2,-3.5,,-1.86,1.87,1.59,,-6,-26,,-4,,-4.7,-2.38,-7,-6.76,-4.64,-4.5,-3,-5.9,-10.7,-1,-2.92,-10.4,0.87,-6.16,-8.97,-2,-3,-2,-2,-8,,-6.85,-2.75,0.01,,-7,-2.91,,,,-3.5,-0.06,,-2,-7,-17.24,-4.7,-6.2,-6.6,5.7763302174,41,23,2
New England,N.Y. Jets,11,15.87,11.38,9,12.89,12.67,,13,20,12.42,20,3.3,18.73,20.45,3.86,11.84,4.38,,13.43,,10.55,11.37,19,11,,14.02,16.06,15.67,,10,2,,10,,6.5,15.41,13.4,8.81,10.82,11,12.89,12.7,13.2,7,12.43,19.3,11.38,13.72,11.78,19.5,14,18,15,6,,9.25,12.75,10,,1,13,,,,28,10.67,,15,14,30.23,14.4,11,14.7,5.8475690492,10,13,2
Oakland,Jacksonville,3.5,7.99,5.23,5,5.12,8.73,,6,9,15.95,11,2.5,10.84,1.85,18.22,15.97,18.48,,7.77,,4.22,3.62,10,4.5,,6.08,8.15,7.83,,3.5,23,,10,,7.5,8.16,9.6,7.7,4.03,5.5,7.7,11.2,15.5,7,7.66,17.7,5.6,9.18,14,5.5,3.5,11,6,1,,19.25,5.5,4,,10,6.82,,,,16.6,5.77,,5,11,19.24,4.8,5.2,4.7,5.0588104452,9,19,2
Philadelphia,San Diego,7.5,1.91,-3.85,3,-3.06,2.65,,4,-8,4.24,-7,6.75,-3.27,14.24,10.66,4.81,7.58,,-0.75,,-1.78,-10.28,0.01,6.5,,1.51,1.98,1.84,,7,10,,1,,6.2,-3.56,6.1,0.33,-0.51,7,2,1.6,8,5,3.73,0.1,2.11,4.47,4.35,-4,4.5,7,-4,2,,4.9,10.25,4,,9,4.92,,,,9.9,2.06,,-4,2,-2.14,1.9,2,1.1,4.7120002933,33,30,2
Seattle,San Francisco,3,-0.72,5.88,2,9.87,3.24,,3,17,-0.85,-3,2.5,-1.64,0.05,10.19,5,5.14,,4.89,,-3.78,15.89,6,3,,2.11,-0.57,-0.88,,3,0,,3,,4.6,4.93,5.3,7.29,2.1,3,3,-0.6,5.7,3,6.34,6.1,3.31,2.63,-0.72,5,3,3,9,3,,13,2.5,2,,-1,3.06,,,,22.2,2.77,,8,4,10.41,-0.4,0.3,-0.7,4.6523732791,3,29,2
Tampa Bay,New Orleans,-3,-2.3,4.92,-3,-3.46,-3,,-2,-8,-11.78,-7,-0.55,-5.4,-21.11,-5.9,-3.43,-0.44,,-0.69,,0.66,-1.35,-6,-3,,-0.46,-2.1,-2.5,,-3,-6,,-3,,-1.7,-2.02,-4.8,-3.68,-4.12,-3,-2.3,-3.4,-2,-3,-0.47,-6.7,-0.63,-2.08,-7.3,0.5,-4,-5,-2,-3,,0.75,-0.25,0.01,,-7,3.24,,,,-9.8,3.86,,-2,-4,-10.5,-1.2,-4.2,-1.4,4.2443944207,16,14,2
Baltimore,Houston,-1,-0.31,1.61,1,5.86,-0.27,,1,5,-3.87,-1,-5.75,-4.13,-5.2,-7.22,-1.88,-3.3,,2.63,,2.26,-1.49,7,-1,,2.66,-0.2,-0.45,,-2.5,-10.5,,3,,-1,2.62,5.8,5.6,-4.53,-2.5,-0.25,-6.5,1,0.01,-0.58,7.8,2.17,-0.37,0.74,6.5,-1,3,4,-3,-5,-3.7,-5,1,,-10.6,1.07,,,,6.6,-1.75,,4,1,-3.81,0.4,-0.5,-0.3,4.2949211028,9,30,3
Carolina,N.Y. Giants,-1.5,-3.13,1.8,2,-5.67,2.17,,-1,-1,0.77,-8,3.37,-0.83,-0.19,6.59,5.84,4.84,,4.18,,8.47,3.7,2,-1.5,,-0.54,-3.14,-3.15,,2.5,9.5,,3,,3.3,3.07,2.3,-3.89,2.49,1,1.6,-2.3,9,1,2.76,8,-0.24,-0.73,3.92,-1.5,-1,6,2,-2,9,11.2,-1,2,,7.9,1.2,,,,24.1,3.6,,1,3,19.08,0.5,-0.6,1.4,5.5444255038,0,38,3
Cincinnati,Green Bay,-2.5,-1.39,-0.07,1,-0.89,-0.09,,0.01,-2,-1.46,-5,2.5,-4.85,-4.07,2.7,-1.97,2.84,,2.98,,3,2.32,-2,-2.5,,-0.84,-1.45,-1.36,,1,-1.5,,-1,,-0.01,2.44,-1.5,4.89,-7.75,-2.5,-0.95,-2.2,2,2,-1.04,-3.1,0.01,-3.07,-2.18,-1.5,-1.5,2,2,-2,10,0.75,0.75,2,,-2.3,2.49,,,,-12,4.15,,2,2,-4.07,-1.7,-1.3,-1.3,3.1956508232,30,34,3
Dallas,St. Louis,3,9.05,4.07,4,7.61,3.95,,7,4,9.43,11,5.04,0.86,9.28,6.61,3.76,4.99,,3.63,,-2.81,-10.06,5,3,,3.01,8.93,9.15,,3,5,,3,,4.6,0.34,-1.6,5.24,0.73,3.5,4.04,6.5,1.1,3,1.51,1.3,2.6,3.79,5.64,3.5,8,-1,-3,1,7,5.7,1.5,4,,3.7,5.74,,,,-15.9,6.1,,-2,2,-9.21,4.8,5.8,5.4,4.552968793,7,31,3
Denver,Oakland,14,14.84,17.11,13,19.16,17.39,,18,16,23.37,10,6.75,11.98,25.51,10.49,24.24,7.05,,22.09,,17.26,7,25,14,,15.66,14.75,14.92,,14.5,18,,18,,14.2,19.09,23.3,17.13,7,15.5,17.12,22.3,18.7,12,15.24,27.1,11.55,20.09,25.49,22,18,34,18,16,17,23.5,14,13,,15.7,15.01,,,,19,11,,18,13,14.71,21.3,23.2,21.9,5.3874014109,21,37,3
