Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linewunder,linepig,linens,linecpa,lineexcel,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,lineschmidt,linel1,linel2h,linefox,lineca,linebihl,linedoi,linesage,linesagp,lineps,lineopen,linepts,linejohns,linemass,linecoff,lineesp,linetalisman,linerx,linel2to,linelog,linemidweek,linemed,linekerns,linejens,lineash,linestjohn,lineburd,linemrr,linedok,linepugh,linest,linecovers,linelock,linesun2,linewhatif,lineround,linedwig,lineff,linegametime,linesmart,lineshark,linebemiss,linelinx,linecombo,linegirl,linelaff,linepasteur,linearmstrong,linesun1,linedonchess,linerwp,linepi1,linepi2,linepi3,linestd,rscore,hscore,week
Green Bay,Cleveland,9.5,12.18,7.24,8,14.77,10.49,,13,16.5,14.65,11,5.9,11.84,13.81,7.46,10.12,5.93,,12.36,,12.23,7,14,9.5,12.4,11.78,12.67,12.05,10.3,11,6.77,11.3,11,7.83,11.2,7.1,8.8,13.28,5.55,10,11.1,14.9,11.7,8,11.38,13.5,8.48,15.51,10.68,20,11,11,9,1,10,9.9,15.5,6,9.3,5.3,11.34,3.9,,,,9.08,,9,5,,12,10.3,11.5,3.4920776188,13,31,7
Indianapolis,Denver,-6,-2.45,0.51,-2,-4.11,-2.79,,-3,0.01,-7.35,-8,-0.13,0.64,-9.62,1.57,-4.38,1.98,,-2.08,,-2.32,-5.65,-6,-5,-0.84,-5.57,-4.13,-0.51,-6.8,-5.5,-8.5,-2.7,-4,-0.23,0.6,-7.35,-4.7,-7.23,-7,-6.5,-2.75,-3.3,-2.5,-4,1.03,-0.6,-2.12,-7.21,-2.8,-12,-3,-9,-6,-4,0.01,-1.3,-0.5,-1,7.1,-8.8,-3.59,1.38,,,,-0.57,,-5,-3,,-3.4,-4.3,-2.9,3.5601631031,33,39,7
Jacksonville,San Diego,-7,-12.6,-16.68,-10,-18.04,-10.5,,-8,-9.5,-16.98,-11,-9.28,-3.76,-19.6,-10.71,-15.24,-8.08,,-12.37,,-12.6,-14.09,-11,-7.5,-10.03,-4.56,-14.27,-12,-8.6,-7.5,-21.33,-7.8,-13,-8.39,-8.6,-10.16,-10.8,-16.83,-7,-7,-10.1,-14.6,-8.4,-9,-6.01,-13.6,-5.82,-11.65,-14.51,-15.5,-6,-12,-11,-10,-10,-14,-6.5,-6,-3,-20.6,-7.51,-0.7,,,,-5.75,,-11,-9,,-10.8,-12.8,-11.9,4.4105104461,24,6,7
Kansas City,Houston,6,11.84,9.07,11,6.51,12.42,,9,6.75,17.14,-17,13.79,3.52,11.77,23.26,19.42,16.2,,24.26,,24.39,7,8,7,21.08,1.88,10.48,14.06,16.5,4,27.33,19,15,16.51,15.2,0.23,8.5,10.55,7,6,11.3,10.4,15.6,1,6.44,23.3,2.81,11.45,22.07,13.5,10.5,12,7,9,19,20.65,6.5,6,11.4,24.4,7.6,1.19,,,,6.98,,8,8,,9.5,13.9,11.2,7.4211531991,16,17,7
Miami,Buffalo,7,7.96,3.96,8,7.69,7.22,,6,2.5,8.03,10,7.34,10.27,7.99,5.17,7.97,4.45,,10.62,,9.98,7,5,7,11.44,9.58,8.85,7.42,8.8,7.5,3.9,10.8,7,8.02,6,4.78,4,7.87,5.57,7,7.38,6.2,9.7,4,10.65,3.9,6.27,10.38,7.85,0.01,8.5,9,4,3,7,9.55,6,6,6.2,2.7,7.13,3.59,,,,6.74,,4,9,,5.8,6.7,5.4,2.4539575128,23,21,7
N.Y. Giants,Minnesota,3.5,0.19,2.44,-2,-2.67,0.33,,4,10,-6.86,6,-1.29,-3.33,-4.37,-3.35,1.28,-3.18,,1.74,,1.69,-9.11,1,3,1.04,3.87,1.05,-0.42,3.8,3,-10.07,2.7,0.01,-1.26,2.7,0.97,2,6.72,-7,3.5,0.74,0.1,3,2,4.88,-0.7,3.3,0.28,-2.27,-1,3.5,6,-1,1,-1,-2.7,1,0.01,1.9,-10.2,1.37,2.65,,,,3.46,,-1,3,,0.2,0.5,-0.5,3.6593650361,7,23,7
N.Y. Jets,New England,-3,-7.81,-4.31,-7,-14.31,-6.85,,-8,-0.25,-10.84,-3,-4.65,-1.65,-12.41,-6.32,-8.12,-1.91,,-5.81,,-6.57,-7,-11,-4,-7.37,-5.53,-6.84,-8.44,-4,-3,-8.83,-4.9,-7,-7.07,-8.7,-10.39,-6.4,1.67,-3.69,-3.5,-7.19,-6.4,-8.1,-2,-6.21,-12.4,-2.88,-8.95,-8.71,-9,-7,-12,-11,-4,-11,-9.2,-7.5,-4,-7.3,-9.1,-7.96,-0.54,,,,2.08,,-11,-8,,-8.5,-8.7,-9.1,3.5495980475,27,30,7
Philadelphia,Dallas,2.5,-0.95,4.04,-0.25,-6.35,-1.57,,0.01,2,-4.88,-6,-1.68,-8.12,-2.22,-1.82,-0.19,-0.6,,-1.69,,-2.56,-7.11,-4,1.5,-0.27,3.44,0.83,-2.4,-4.6,0,-6.33,0,-3,0.25,-0.3,-5.87,1.2,-1.68,0.19,2.5,-1.34,1,0.9,1,2.46,-5.4,1.63,0.17,-5.44,-3.5,-0.5,-1,-5,-1,-5,-2.15,1,1,-4,-6.8,0.24,1.64,,,,3.59,,-5,-3,,-2.6,-3.3,-3.3,2.9688422875,17,3,7
Pittsburgh,Baltimore,3,-3.54,-2.36,-5,-2.61,-4.04,,-1,-4,-8.01,7,-0.76,-7.66,-8.76,-2.69,-6.06,-0.26,,-3.15,,-3.51,-4.49,-6,1.5,-7.83,1.59,-2.79,-3.92,-4.7,2.5,-5.43,-6.6,-7,-5.32,-1,-4.47,-4.2,-2.83,-1.6,3,-3.81,-5.7,-4.5,-2,-0.79,-5,-1.64,0.18,-7.58,-9.5,-0.5,-3,1,-3,-9,-8.5,-3,0.01,-5.1,-5.9,1.06,0.43,,,,2.12,,1,-13,,-3.2,-3.7,-3.7,3.4738702416,16,19,7
Tennessee,San Francisco,-3,-1.24,2.72,-4,-4.04,-2.01,,-4,10.25,-1.51,-8,1.25,-6.85,-3.4,1.22,-1.36,2,,1.19,,1.43,-0.25,-10,-3,-1.07,-5.41,-1.21,-0.91,4.5,-5,-1.33,-0.4,-3,-2.89,-0.5,-9.53,-2,-1.47,0.82,-4,-2.38,-3.2,-0.4,-5,-3.3,-4.8,-1.4,-6.25,-2.57,6.5,-3,-2,-3,-4,-1,0.3,-4.5,-4,2.9,-2.2,-5.73,1.53,,,,2.58,,-3,-5,,-4,-3.7,-3.5,3.6388255693,31,17,7
Washington,Chicago,0,-1.75,-5.11,-4,-4.24,-1.2,,0.01,-1,-6.12,-7,-1.92,3.05,-7.82,-3.44,2.03,-1.98,,0.84,,0.46,-9.87,-2,0,0.22,0.14,-1.05,-2.1,1.7,2,-8.03,0.01,-2,-3.61,1.3,1.03,-0.1,2.27,-4.07,0,-0.95,-0.6,-0.5,2,0.84,1.4,0.72,-5.37,0.05,2.5,-1,-7,-4,-4,-3,-1.7,5,1,-0.9,-8.4,0.85,1.94,,,,3.26,,-4,-6,,-2.9,-2.7,-2.5,3.1852862585,41,45,7
Arizona,Atlanta,3,1.85,4.3,4,1.01,2.47,,1,1,3.19,3,0.9,-1.77,6.46,0.01,6.11,1.08,,5.13,,5.19,6.63,-3,3,7.44,-1.1,2,1.15,4.5,2.5,-2.33,3.95,3,4.87,3,-1.1,2.7,1.75,7.76,3,2.7,-1.7,7.4,1,7.57,6.1,1.45,-2.72,4.26,3.5,0.5,-2,-1,-3,5,4.95,3.5,1,5.5,-3,0.48,1.37,,,8.3,5.25,,-1,3,3.47,-1,1.9,0.2,2.9723480951,13,27,8
Cincinnati,N.Y. Jets,6,9.77,4.07,8,10.24,8.54,,10,4.5,14.22,3,5.48,3.49,12.15,8.13,10.67,5.88,,7.17,,7.88,7,11,6.5,11.67,8.75,9.25,9.82,8.1,7,6.86,9.35,10,7.98,8.8,12.29,7.3,3.89,2.01,6,8.8,8.6,12,6,4.23,14.3,5.84,9.64,9.9,10,8.5,8,11,2,12,11.85,9.5,7,10.2,5.5,9.41,4.19,,,10.3,3.46,,10,6,7.03,10.3,12.6,10.4,2.9233266185,9,49,8
Denver,Washington,11.5,13.35,8.63,17,13.1,14.24,,11,11.5,17.76,7,10.61,20.75,15.95,13.5,13.4,12.37,,19.15,,19,15.82,15,12,17.86,10.71,13.19,13,17.2,12,20.76,17.15,13,12.74,9.2,11.5,16.2,20.14,15.33,11.5,13.36,12.4,14.1,7,11.33,12.7,10.22,15.7,17.8,13,12.5,15,14,6,19,19.25,12.5,12,6.8,18.3,12.45,6.45,,,22.3,12.74,,13,17,13.36,16,16.6,16.6,3.7676364891,21,45,8
Detroit,Dallas,3,-0.05,7.57,2,1.77,0.31,,0.01,2.75,2.65,3,-1.14,-2.13,3.25,0.42,-2.49,1.26,,-4.2,,-3.82,-11.71,1,2.5,-0.53,2.48,0.77,-1.54,-0.6,3,-2.71,-2.45,-2,-0.03,-0.5,6.02,-1,-4.01,0.98,3,0.01,0.3,0.2,3,-0.45,-1.1,2.88,1.19,-3.64,3,0.01,-1,1,1,-3,-0.45,1.5,2,-2.2,-3.4,2.13,3.41,,,-1.2,5.51,,1,-3,-2.39,0.9,-0.2,-0.2,2.4626653733,30,31,8
Jacksonville,San Francisco,-16,-21.3,-17.14,-20,-17.57,-18.77,,-18,-5.75,-25.98,-26,-16.4,-14.15,-27.36,-17.61,-22.77,-14.02,,-22.4,,-22.19,-14.98,-26,-16,-17.62,-13.84,-24.91,-20.27,-12.1,-14.5,-26.71,-17.5,-24,-15.08,-18.4,-26.39,-17.2,-18.62,-7,-16,-18.4,-26,-13.7,-16,-12.35,-27.7,-12.95,-20.68,-24.21,-18.5,-14.5,-18,-17,-11,-21,-22.9,-18,-13,-9.5,-22.5,-18.69,-5.41,,,-20.1,-6.44,,-16,-23,-24.81,-23,-24.4,-24,5.6410430657,42,10,8
Kansas City,Cleveland,9,10.37,10.34,10,6.22,10.17,,9,12.5,10.47,-10,14.26,4.71,9.26,16.9,11.04,11.7,,16.53,,16.58,10.37,3,9,16.02,6.22,8.87,11.49,11.8,7.5,17.14,14.85,12,13.58,6.3,9.28,8,9.43,7,8,10,11.6,12.5,4,10.89,7,5.51,8.66,15.06,7,12,16,7,4,13,13.65,7.6,6,8.7,15,8.22,2.66,,,12.8,9.09,,6,8,14.14,8.9,10.5,9.4,4.467246932,17,23,8
Minnesota,Green Bay,-9,-9.4,-8.59,-12,-9.96,-10.3,,-10,-11.25,-12.69,-10,-9.01,-6.69,-9.23,-7.52,-13.3,-4.44,,-15.29,,-15.16,-7,-11,-9,-13.93,-5.11,-8.78,-10.71,-9.8,-7.5,-14,-13.15,-10,-11.79,-12.6,-2.75,-8.8,-15.2,-14.63,-8,-10.2,-23.4,-12.1,-7,-11.08,-18.8,-2.06,-10.68,-16.33,-15,-9.5,-14,-4,-4,-17,-13.75,-12,-5,-9.7,-13.9,-7.83,1.73,,,-15.3,1.39,,-4,-12,-12.47,-10.2,-11.2,-11.7,4.5689114368,44,31,8
New England,Miami,7,7.52,6.01,7,6.84,6.7,,8,5.75,12.13,9,5.04,10.26,13.12,6.94,4.45,5.45,,2.95,,3.43,-8.8,10,7,5.27,5.39,7.38,7.14,5.2,7,5.4,3.25,4,6.72,6.2,10.04,6.4,1.41,7.15,6,6.84,4.3,7.6,6,5.23,8.1,6.58,8.64,3.21,6,9,8,9,2,7,4.4,7,9,5.2,4,7.3,4.88,,,3.5,6.34,,9,8,2.83,9.3,7.2,9.3,2.361812749,17,27,8
New Orleans,Buffalo,11.5,13.1,11.25,13,17.94,12.18,,12,3,16.5,20,11.55,15.32,14.64,12.56,10.53,9.45,,13.06,,13.42,7,13,11.5,13.37,10.93,12.72,12.94,12.6,12.5,13.38,12.35,10,13.07,8.4,16.93,11.6,10.3,8.02,10.5,12.4,12.5,12.7,9,12.76,12.4,9.71,10.95,13.08,14.5,13.5,14,11,7,11,14.15,5,12,6.5,11.5,12.24,4.75,,,15.2,9.99,,11,16,10.17,12.1,14.6,12,3.0843726122,17,35,8
Oakland,Pittsburgh,-3,-0.19,1.87,2,-2.67,1.56,,-2,7.5,1.55,-10,4.51,-4.8,2.96,2.68,3.62,2.73,,4.77,,5.13,6.22,-4,-2,8.66,-4.04,-0.9,-0.02,7.3,-3,0.67,7.65,3,4.17,-0.9,-3.76,1.3,-2.45,-1.76,-2.5,1.87,4.1,5.1,-3,4.29,-0.7,2.87,-2.85,7.1,6,0.01,1,-2,-7,7,7,-4,0.01,6.1,-0.3,-3.63,2.14,,,6.9,3.93,,-1,7,4.41,-1.2,0.2,-0.6,4.1154399514,18,21,8
Philadelphia,N.Y. Giants,5.5,5.9,11.11,8,-3.78,6.86,,5,-0.75,5.44,-7,8.14,11.99,8.29,8.98,10.3,7.21,,9.99,,9.76,5.91,1,5.5,10.79,3.51,5.32,6.17,6.7,6.5,10,9.35,4,8.1,5.5,0.76,6.3,3.47,10.67,4.5,6.7,9.8,9.6,4,8.3,5.1,3.06,3.7,9.91,10.5,6,5,2,1,9,10.4,10,6,2.3,8.3,5.6,2.06,,,11,11.83,,2,4,9.03,4.2,6.3,5.3,3.8625335538,15,7,8
St. Louis,Seattle,-12.5,-8.12,-7.06,-12,-6.7,-9.72,,-6,-7,-13.23,-13,-7.01,-13.48,-8.91,-8.19,-10.5,-4.55,,-14.41,,-13.33,-13.11,-10,-12,-11.59,-6.91,-7.21,-9.73,-8.6,-10,-13.71,-8.45,-7,-8.49,-9.6,-12.72,-16.9,-11.94,-10.1,-11,-8.94,-15.3,-8.9,-9,-7.51,-10,-4.36,-8.94,-12.81,-13.5,-11.5,-12,-7,-14,-14,-12.85,-7.5,-6,-8.2,-13.6,-6.15,-0.72,,,-13.3,-4.55,,-8,-15,-9.37,-8.8,-8.5,-9.4,3.2456987025,14,9,8
Tampa Bay,Carolina,-7,-4.46,-10.16,-8,-9.38,-7.55,,-5,-8.75,-8.83,-4,-3.08,-9.1,-6.78,-12.47,-9.27,-5.4,,-10.96,,-10.86,-8.5,-11,-7,-10.17,-2.01,-3.02,-6.66,-2,-6.5,-15.83,-6.15,-7,-10.37,-7.5,-13.76,-5.9,-9.51,-7,-6,-7,-6.3,-7.6,-5,-6.5,-16.5,1.78,-6.07,-12.09,-9.5,-3.5,-11,-6,-8,-9,-10.75,-8.5,-2,-3,-15.5,-4.62,1.33,,,-10,-4.19,,-6,-5,-19.34,-6.1,-7.3,-7,4.1419388017,31,13,8
Buffalo,Kansas City,-4,-6.51,-4.57,-8,4.97,-5.04,,-2,-1.5,-6.45,10,-8.79,-6.79,-5.85,-10.25,-4.7,-5.96,,-7.97,,-7.69,-7.16,3,-4,-6.54,-5.73,-5.45,-6.98,-3.6,-3.5,-15.38,-7.75,-4,-8.43,-3.1,6.69,,-4.07,-7,-3,-5.85,-7.9,-4.4,-1,-7.17,0.3,-0.33,-2.33,-8.34,-2.5,-6,-16,1,-6,-7,-6.45,2,-3,,-15.1,-3.25,3.7,,,-8.4,-4.69,,1,-11,-10.99,-3.4,-5.7,-3.2,5.0642035237,23,13,9
Carolina,Atlanta,7.5,14.02,7.6,10,6.24,9.98,,7,9.5,9.18,-6,7.63,12.29,8.79,13.67,12.56,10.38,,15.05,,14.63,14.75,11,7.5,14.62,8.23,13.05,15.95,6.9,7.5,14.14,10.85,11,11.28,9.3,9.49,,10.63,7.8,9,9.49,4.2,12.8,6,7.26,18,1.54,7.35,14.79,14,7,12,7,3,13,14.8,12.5,5,,12.1,7.48,2.45,,,20,8.25,,8,6,9.04,7.9,9.1,8.9,4.3253481869,10,34,9
Cleveland,Baltimore,-3,-0.89,1.17,-0.25,-3.33,-0.74,,-2,-1.75,-5.14,-3,1.47,-4.15,2.41,-0.6,-0.85,0.92,,-1,,-1.31,2.01,-5,-2.5,0.39,-2.1,-0.34,-0.81,1.1,-3,-3.16,0.05,-3,2.14,2.1,-1.79,,-2.36,-0.38,-3,-0.65,-3.4,0.01,-2,-0.03,-2.4,-0.97,-4.55,-0.34,0.5,0.01,-1,-1,-3,4,-0.65,-5,1,,-3.9,0.5,1.65,,,-2.2,2.29,,1,4,-1.49,-1.8,-0.3,-1.3,2.2209408433,18,24,9
Dallas,Minnesota,10,17.25,17.27,15,9.72,13.93,,14,19.25,17.33,4,15.3,20.13,13.37,12.24,17.84,10.14,,18.34,,18.37,7,12,11,16.78,9.91,16.43,18.86,14.4,10.5,15.36,16.95,13,15.21,14.3,3.11,,12.38,12.58,10.5,14.4,16.8,15.5,7,12.94,20.5,4.73,9.6,17.47,16,14,13,6,5,19,17.8,14,9,,13.2,12.23,3.06,,,23,10.83,,5,15,13.48,12.4,16.1,14.4,4.5779753782,23,27,9
Green Bay,Chicago,11,12.43,6.81,10,9.47,9.93,,9,8,10.53,3,7.2,13.11,9.26,7.46,11.48,6.69,,12.53,,11.81,7,9,11,12.42,8.67,12.69,12.82,10.9,11,7.71,10.95,9,10.42,8.6,6.96,,15.83,8.11,11,9.33,17.1,10.4,7,8.06,14,5.07,8.51,11.38,14,10,11,5,8,12,12.45,16.5,7,,6.2,8.67,3.39,,,21.6,9.33,,6,6,7.45,8.3,8.5,9.3,3.409104603,27,20,9
Houston,Indianapolis,0,-7.81,-2.07,-7,-2.78,-6.66,,-3,-4.5,-7.55,11,-3.8,-12.91,-10.53,-10.54,-9.6,-6.13,,-11.76,,-12.53,-7,-5,-1.5,-9.41,-4.27,-4.62,-10.94,-4.6,-1.5,-17.29,-7.15,-6,-9.21,-3.9,-1.69,,-6.26,-5.05,-2.5,-6.26,-4.2,-8.8,3,-0.04,-11.3,2.47,-2.56,-14.18,-9,-4.5,-10,-5,-7,-13,-12.8,-3.5,-1,,-16.9,-0.77,3.2,,,-13.7,-4.09,,-6,-8,-8.56,-4.2,-5,-4.3,5.1357233243,27,24,9
Miami,Cincinnati,-3,-0.53,-3.71,-5,-5.36,-3.24,,-4,0.75,-3.22,1,-1.98,-7.08,-5.01,-4.05,-4.42,-1.64,,0.38,,0.34,1.95,-6,-3,-2.29,-2.18,-0.05,-0.37,0.01,-1.5,-7.77,-0.15,-3,-4.56,-6.4,-7.02,,-3.08,0.03,-3,-3.5,-2.2,-1.6,-4,0.43,-8.6,2.46,-2.21,-4.33,-4.5,-4,-5,-4,1,-5,-1.65,-3.5,-2,,-8.1,-3.38,3.47,,,-4.2,2.18,,-5,-4,-3.28,-4.4,-4.9,-5.1,2.7297494928,20,22,9
N.Y. Jets,New Orleans,-6,-11.27,-1.29,-10,-8.35,-9.42,,-9,0.75,-8.08,-7,-8.87,-13.82,-3.74,-11.36,-11.43,-6.74,,-13.88,,-14.59,-4.09,-14,-6.5,-12.32,-10.11,-9.31,-13.24,-8.6,-3.5,-18.36,-10.35,-9,-9.07,-9.3,-5.23,,-6.19,-6.06,-6,-9.3,-8.4,-10.7,-5,-7.6,-17.9,-2.74,-7.67,-16.78,-11,-6.5,-12,-8,-6,-14,-15.95,-6,-5,,-17.9,-7.86,0.18,,,-16.5,-1.83,,-8,-12,-9.52,-10,-13.9,-10.4,4.356803373,20,26,9
New England,Pittsburgh,7,10.94,4.49,11,9.92,9.91,,8,10.75,19.44,9,10.03,11.94,18.18,10.38,6.62,7.2,,6.64,,7.75,4.84,10,7.5,12.29,7.3,11.91,10.62,11.3,7,9.38,10.75,10,11.12,7.6,9.39,,1.78,10.15,7,10,8.3,11,5,7.48,8.3,9.7,7.41,9.8,10.5,11.5,7,7,3,14,12.4,9,9,,7.8,7.56,7.06,,,10.1,7.97,,8,17,10.09,11,10,11.6,3.1243475371,31,55,9
Oakland,Philadelphia,3,3.57,1.01,4,-0.79,3,,2,1.25,1.51,-8,4.78,5.78,4.06,3.12,3.21,3.25,,4.28,,4.05,-1.59,2,3,4.69,-1.83,1.37,6.44,8,2,1.95,2.85,3,4.36,5.1,3.92,,3.62,5.29,1,3.21,2.2,4.1,0.01,0.56,7.4,1.42,-0.9,4.57,4,1,2,3,-6,5,4.15,6,0.01,,0.8,-1.23,2.59,,,3.8,3.32,,3,8,2.17,2.9,1.8,3.2,2.9100889642,49,20,9
Seattle,Tampa Bay,17,24.7,15.18,20,22.1,19.87,,17,13.25,19.2,22,15.45,19.49,21.9,18.76,22.04,12.49,,24.15,,23.53,7,22,17,24.8,17.04,24.81,25.28,16.7,16.5,20,19.35,24,23.83,17.9,24.76,,18.69,7,17,19.49,17.3,18.9,14,15.79,23.3,10.75,17.5,22.09,23,16.5,18,18,12,25,22.55,18,14,,17.6,16.71,7.94,,,24.1,12.03,,18,25,25.9,19.2,20.5,19.7,4.2665254573,24,27,9
St. Louis,Tennessee,-3,0.79,-0.8,-0.25,0.07,-0.14,,4,0.75,-1.13,-3,-0.5,0.65,1.89,-0.1,0.91,1.16,,-2.2,,-1.99,-4.97,5,-2,0.4,-0.71,2.56,-0.36,-0.1,-3,-2.98,0.95,3,0.29,-2,-2.19,,-1.31,-2.24,-3,-0.1,-5.7,2.5,1,-1.11,2.1,1.75,-0.99,-1.11,-2,-2.5,-1,3,-8,-3,-0.75,2.5,0.01,,-3.7,0.09,2.34,,,1.7,-0.75,,4,-5,-1.3,0.4,0.7,-0.2,2.4079390642,28,21,9
Washington,San Diego,-1,-2.75,-2.74,-2,0.75,-2.02,,0.01,-5,-2.92,3,-4.97,-3.87,-3.65,-4.59,-4.27,-2.3,,-4.14,,-3.95,4.82,1,-1,-2.21,-0.16,-1.94,-2.94,-5.1,0,-10.43,-2.75,-3,-2.22,-2.8,4.58,,-5.4,-2.49,-1,-2.28,-0.8,-0.3,2,-4.52,-6,1.96,-0.3,-4.02,2,-1.5,-9,1,-3,-1,-3.6,-4,0.01,,-10.6,1.83,2.43,,,-5.1,0.45,,1,3,-4.92,-0.2,-1.5,-1.3,3.2104219912,24,30,9
Arizona,Houston,2.5,6,4.76,7,6.71,5.46,,4,3,2.99,2,3.51,-0.88,4.01,8.28,6.27,6.36,,7.95,,8.63,13.78,6,3,,2.99,3.92,7.75,6.8,3,8.63,7.26,7,7.39,7,3.28,,3.06,0.44,1,6,2.5,9.8,0.01,10.11,10.4,1.69,7.36,9.87,6.5,4,7,8,4,9,9.5,2,2,5.3,7,2.54,0.49,,,14.3,5.44,,8,6,6.82,2.3,4.1,1.9,2.9933987484,24,27,10
Atlanta,Seattle,-6,-6.2,-3.82,-14,-1.73,-7.66,,-5,-3,-9.44,6,-7.23,-1.78,-16.61,-7.85,-9.74,-4.45,,-11.1,,-10.69,-10.26,-7,-6,,-8.41,-6.24,-6.76,-6.1,-6.5,-13.47,-7.14,-7,-10.95,-6.9,-7.12,,-5.86,-16.38,-7,-7.13,-9.7,-9.6,-6,-12.44,-7.7,-2.07,-7.58,-10.38,-10.5,-7,-11,-7,-8,-13,-11.05,-10.5,-4,-5.7,-13.4,-5.44,0.28,,,-17.2,-1.06,,-6,-11,-10.1,-4.8,-5.6,-5.2,4.1882310228,33,10,10
Baltimore,Cincinnati,-1,1.22,-0.92,-4,4.94,-1.42,,-1,1.25,1.16,9,-3.24,-5.38,-3.17,-2,-1.84,-0.17,,0.58,,0.27,15.26,2,-1,,-1.22,1.19,0.63,-1,-2.5,-5.17,-0.24,2,-2.63,-3,2.38,,-1.9,-1.35,-1,-1.82,-4.7,-0.5,-1,1.76,-2.9,3.98,-5.01,-4.08,-2,-3.5,-4,2,-2,-6,-2.85,-2.5,0.01,-3.7,-5.7,-1.73,3.87,,,-5.4,2.18,,3,-3,-3.08,-1.1,-1.8,-2.2,3.0432265433,17,20,10
Chicago,Detroit,0,4.42,-2.63,2,5.03,1.77,,4,-1.5,-0.2,1,1.34,-3.95,-0.13,2.36,1.06,2.46,,1.38,,1.32,-11.5,6,0,,0.55,4.11,4.14,2.5,-2.5,0.25,1.46,3,1.16,1.9,-0.06,,-0.52,2.27,0,1.7,-0.3,4.7,1,2.68,1.8,4.38,0.09,0.43,-1,4,2,3,-3,1,0.9,2.5,3,0.8,-0.7,2.62,3.41,,,7.2,5.19,,3,7,0.46,3.7,1.6,3,2.3593147236,21,19,10
Green Bay,Philadelphia,1,11.32,3.12,11,11.98,8.26,,8,9.25,8.13,9,6.32,5.74,2.15,7.38,5.95,6.14,,9.29,,9.44,4.66,12,2.5,,8.43,10.08,12,10.7,3,7.54,9.26,7,7.53,7.3,12.42,,11.93,7.63,1,8.56,13.9,9.5,7,12.44,5.6,7.7,2.27,10.22,10.5,5.5,-3,10,-5,11,11,1.5,8,11.2,6,8.64,5.57,,,18,8.48,,9,9,7.06,9.7,8,9.7,3.8700806876,27,13,10
Indianapolis,St. Louis,10,12.96,8.62,14,9.67,11.18,,11,12.25,11.45,11,10.76,13.79,6.71,11.82,12.11,8.96,,12.06,,12.4,8.23,9,10,,9.7,11.67,13.72,13.6,11.5,12.82,11.76,10,13.57,11.2,-1.87,,11.74,9.11,10,11.52,11.4,13.2,6,5.2,10.7,5.58,10.25,12.85,9,13,14,6,10,17,14.8,16,10,14.1,11,14.33,4.68,,,19.6,9.1,,5,21,10.61,11.8,11.6,12.2,3.68205504,38,8,10
Minnesota,Washington,-3,2.19,-3.46,-4,-1.63,-1.09,,-1,-0.75,1.03,2,-1.72,-6.44,1.73,1.67,-3.61,2.22,,0.5,,0.04,-4.46,2,-3,,-0.77,2.03,1.72,2.2,-2,-1,-0.44,-2,-4.07,-2.4,-5.75,,0.71,-5.28,-3,-0.91,-3.4,-1.6,-2,1.48,0.8,2.29,0.19,-0.82,-4.5,-1.5,-2,-1,-2,-5,-0.1,2.5,1,-4.7,-1.9,1.01,3.18,,,7.3,4.33,,-1,-9,-4.08,0.01,-1.4,-0.8,2.9601228498,27,34,10
N.Y. Giants,Oakland,7.5,8.64,3.09,2,5.13,4.41,,8,8.75,-0.06,7,0.78,-3.22,1.01,0.89,7.91,1.66,,4.94,,4.89,-1.26,12,7,,5.89,9.71,6.73,1.2,6.5,-2.63,4.26,6,2.75,5.7,14.07,,6.47,2.68,9,4.71,3.5,8.8,5,2.27,12.2,4.52,8.16,4.05,1.5,6.5,7,4,1,4,3.55,7,5,2.4,-3.4,8.21,4.35,,,8.7,0.13,,4,5,1.28,6.4,6.4,5.5,3.7313160964,20,24,10
New Orleans,Dallas,7,5.55,12.94,8,8.15,6.21,,4,-1.75,10.68,10,4.17,9.4,10.57,5.85,2.26,5.33,,4.3,,4.64,11.03,6,7,,4.23,5.36,5.13,6.6,6.5,4.42,3.76,3,5.57,4.4,9.79,,4.99,7.45,7,5.56,10.7,5.6,6,9.34,4.6,6.74,4.84,3.97,5.5,4.5,11,4,7,4,4.85,8,6,2.8,3.1,4.17,5.43,,,9.7,9.01,,4,13,3.09,6,5.7,6,2.8791736538,17,49,10
Pittsburgh,Buffalo,3,4.12,-1.77,-1,6.54,1.33,,4,-2,0.92,4,0.58,-0.71,-3.51,1.95,0.83,2.29,,1.09,,0.54,5.55,2,3,,2.44,3.9,3.73,0.8,4,-0.28,-0.34,3,0.36,1,1.59,,4.22,-2.16,3.5,1.56,-2.9,1.7,4,0.42,1.3,3.15,4.5,-2.8,-0.5,3,1,2,-3,-5,-1.5,5.5,6,-4.4,-1.2,5.96,1.41,,,-6,2.88,,2,4,-1.77,3,2.2,1.9,2.8927043132,10,23,10
San Diego,Denver,-7,-4.16,-4.03,-8,-5.97,-6.07,,-5,0.01,-8.01,-1,-4.4,-2.38,-8.11,-2.54,-6.31,-0.9,,-7.76,,-8,-2.23,-9,-7,,-9.08,-5.37,-3.58,-4.5,-7,-12.38,-6.74,-7,-5.26,-2.2,-17.48,,-6.88,-7,-7,-6,-10.3,-5.4,-5,3.07,-4.8,-3.18,-9.79,-10.52,-8.5,-4,-10,-10,-6,-11,-8.45,-6,-3,-3.3,-12.4,-6,0.11,,,-12.7,1.25,,-10,-13,-7.05,-6.9,-6.6,-6.6,3.9413806124,28,20,10
