,year,name,grade,age,draft,prev.grade,model.weight,prev.attempts,last.grade,last.attempts,prior,posterior,pred,
132,2014,Cam Newton,76.1,-4.690622861,1,72.61216637,448,1475,73.2,473,73.52860382,73.07423567,74.0015107,
15,2014,Case Keenum,54.7,-3.461327858,260,60.9,77,253,60.9,253,73.52860382,71.705993,66.39022413,
165,2014,Chad Henne,46.9,-0.83,57,58.24669171,78,1876,58.5,503,73.52860382,65.03664081,64.61525291,
173,2014,Chase Daniel,68.1,-2.097878166,260,60.84407046,28,47,61,38,73.52860382,73.14323015,65.66148878,
193,2014,Colt McCoy,61.5,-2.01026694,85,56.97777695,128,703,56.2,1,73.52860382,68.24706442,62.35051439,
216,2014,Derek Anderson,70,1.214921287,31,49.84782531,97,1440,55.1,0,73.52860382,61.92985516,56.11573074,
246,2014,Drew Brees,89.1,5.628336756,32,85.30177426,659,4990,84.5,650,73.52860382,82.58070251,86.00057064,
255,2014,Drew Stanton,50.6,0.32,43,56.05394243,240,187,0,0,73.52860382,71.59157852,66.64875657,
266,2014,Eli Manning,70.9,3.65982204,1,72.27505735,601,4254,68.7,551,73.52860382,72.60184214,74.32020729,
271,2014,Geno Smith,57,-6.106091718,39,60.7,367,443,60.7,443,73.52860382,70.60370856,70.39442803,
325,2014,Joe Flacco,76.2,-0.375770021,18,68.52947573,554,3103,67.4,614,73.52860382,70.15856375,72.04900558,
334,2014,Joe Webb,62.6,-2.2,199,45.44782609,0,152,50.5,0,73.52860382,70.9449003,63.6915814,
346,2014,Josh McCown,54.7,5.162902122,81,85.55105622,327,475,86.4,224,73.52860382,76.42007971,73.87142535,
362,2014,Kirk Cousins,58.1,-3.965092402,102,53.90767414,204,203,51.4,155,73.52860382,71.18976135,67.02955228,
38,2014,Matt Barkley,46.7,-6.018480493,98,25.8,1,49,25.8,49,73.52860382,72.01879001,66.86116815,
396,2014,Matt Cassel,48.8,2.293634497,230,62.549431,71,2274,64.1,254,73.52860382,66.91317218,61.52137191,
405,2014,Matt Ryan,84.8,-0.707049966,3,79.21169908,628,3288,76.6,651,73.52860382,77.43128076,80.72223435,
416,2014,Matt Schaub,24.4,3.186173854,90,64.65103781,10,3047,58.6,358,73.52860382,67.57963887,65.39348767,
424,2014,Matthew Stafford,68.4,-3.43394935,1,78.18353796,602,2497,80.1,634,73.52860382,76.43662748,79.46532623,
461,2014,Nick Foles,65.1,-4.386721424,88,73.84905422,311,582,78.2,317,73.52860382,73.61818217,71.67038896,
486,2014,Philip Rivers,77.8,2.731690623,4,82.68246823,570,4078,88.2,544,73.52860382,80.2208697,82.64357841,
491,2014,Robert Griffin III,47.7,-5.45,2,68.92535285,214,849,65.7,456,73.52860382,71.864849,72.4635844,
501,2014,Russell Wilson,74.5,-4.244353183,3,85.30491522,452,800,83.8,407,73.52860382,77.62471213,78.30224212,
515,2014,Ryan Fitzpatrick,74.4,1.770704997,250,64.03072951,312,2464,68.1,350,73.52860382,67.62477882,63.05903743,
521,2014,Ryan Tannehill,75.7,-3.902121834,8,78.22160393,590,1072,80.4,588,73.52860382,75.48462875,77.81331718,
546,2014,Tom Brady,82.4,7.079397673,199,81.8044678,582,4038,78.8,628,73.52860382,79.56290117,80.02062906,
562,2014,Tyrod Taylor,34.1,-4.920602327,180,65.59825961,0,35,61.1,5,73.52860382,73.34778164,66.68090277,
217,2015,Aaron Rodgers,78.1,1.749486653,24,92.1131717,572,3459,93.4,520,73.52860382,86.49170531,89.0454147,
311,2015,Alex Smith,70.5,1.319644079,1,72.07797137,470,2984,72.9,464,73.52860382,72.56324092,73.33815082,
45,2015,Andrew Luck,50.1,-4.030116359,1,78.16508898,293,1813,79.4,616,73.52860382,76.06586539,78.86017948,
57,2015,Andy Dalton,81.7,-2.15742642,35,67.23486242,386,2111,66.5,481,73.52860382,69.84926621,70.02620583,
67,2015,Ben Roethlisberger,91.7,3.501711157,11,85.54539213,469,4391,86.4,608,73.52860382,82.485609,85.74338191,
73,2015,Blaine Gabbert,66.6,-4.120465435,10,46.21445535,282,784,55,7,73.52860382,64.15281906,58.95601894,
8,2015,Blake Bortles,67,-6.655715264,3,46.6,606,475,46.6,475,73.52860382,67.05210417,67.32173498,
105,2015,Brian Hoyer,62.8,-0.114989733,260,59.68070278,369,630,58.9,438,73.52860382,69.43274576,65.86875199,
112,2015,Brock Osweiler,64.4,-5.223819302,7,60.59525066,275,30,61.5,10,73.52860382,73.27500866,69.13906613,
133,2015,Cam Newton,86.5,-3.690622861,1,75.02533664,495,1923,76.1,448,73.52860382,74.36945021,75.16672472,
151,2015,Case Keenum,69.9,-2.461327858,260,57.77769784,125,330,54.7,77,73.52860382,70.68827651,63.36241003,
174,2015,Chase Daniel,57.4,-1.097878166,260,65.96814647,2,75,68.1,28,73.52860382,73.16858204,65.58161533,
